Formula,Structure type,Stoichiometry_A,Stoichiometry_B,Electronegativity difference (Pauling scale),Electronegativity difference (Martynov-Batsanov scale),Electronegativity difference (Gordy scale),Electronegativity difference (Mulliken scale),Electronegativity difference (Allred-Rochow scale),Mean electronegativity (Pauling scale),Mean electronegativity (Martynov-Batsanov scale),Mean electronegativity (Gordy scale),Mean electronegativity (Mulliken scale),Mean electronegativity (Allred-Rochow scale),Ionic character (Martynov-Batsanov scale),Sum of valence electrons,Atomic number sum,Atomic weight sum,Atomic radius sum,Atomic radius ratio,Covalent radius sum,Covalent radius ratio,2 x covalent radius difference,Zunger radius sum ratio,2 x Zunger radius sum difference,Zunger radius sum difference,Ionic radius ratio,2 x Ionic radius difference,Crystal radius sum,Crystal radius ratio,2 x Crystal radius difference,Period number difference,Group number sum,Group number difference,Family number sum,Quantum number (l) sum,Quantum number (l) difference
CePd,TlI,1,1,-1.08,-0.98,0.7854,-1.35,-0.5,3.775,1.59,4.1807,3.775,1.34,0.213450798,13,104,246.535,3.25,1.321428571,2.93,1.2890625,5.86,1.836734694,4.1,2.05,1.321428571,0.9,1.93,1.474358974,0.74,1,13,-7,7,5,1
CePd,TlI,1,1,-1.08,-0.98,0.7854,-1.35,-0.5,3.775,1.59,4.1807,3.775,1.34,0.213450798,13,104,246.535,3.25,1.321428571,2.93,1.2890625,5.86,1.836734694,4.1,2.05,1.321428571,0.9,1.93,1.474358974,0.74,1,13,-7,7,5,1
CePt,TlI,1,1,-1.16,-0.81,-3.1474,-2.5,-0.63,4.35,1.505,6.1471,4.35,1.405,0.151279196,13,136,335.195,3.2,1.37037037,2.95,1.269230769,5.9,1.666666667,3.6,1.8,1.37037037,1,1.89,1.554054054,0.82,0,13,-7,7,5,1
CePt,TlI,1,1,-1.16,-0.81,-3.1474,-2.5,-0.63,4.35,1.505,6.1471,4.35,1.405,0.151279196,13,136,335.195,3.2,1.37037037,2.95,1.269230769,5.9,1.666666667,3.6,1.8,1.37037037,1,1.89,1.554054054,0.82,0,13,-7,7,5,1
CePt,TlI,1,1,-1.16,-0.81,-3.1474,-2.5,-0.63,4.35,1.505,6.1471,4.35,1.405,0.151279196,13,136,335.195,3.2,1.37037037,2.95,1.269230769,5.9,1.666666667,3.6,1.8,1.37037037,1,1.89,1.554054054,0.82,0,13,-7,7,5,1
CePt,TlI,1,1,-1.16,-0.81,-3.1474,-2.5,-0.63,4.35,1.505,6.1471,4.35,1.405,0.151279196,13,136,335.195,3.2,1.37037037,2.95,1.269230769,5.9,1.666666667,3.6,1.8,1.37037037,1,1.89,1.554054054,0.82,0,13,-7,7,5,1
CePt,TlI,1,1,-1.16,-0.81,-3.1474,-2.5,-0.63,4.35,1.505,6.1471,4.35,1.405,0.151279196,13,136,335.195,3.2,1.37037037,2.95,1.269230769,5.9,1.666666667,3.6,1.8,1.37037037,1,1.89,1.554054054,0.82,0,13,-7,7,5,1
CePt,TlI,1,1,-1.16,-0.81,-3.1474,-2.5,-0.63,4.35,1.505,6.1471,4.35,1.405,0.151279196,13,136,335.195,3.2,1.37037037,2.95,1.269230769,5.9,1.666666667,3.6,1.8,1.37037037,1,1.89,1.554054054,0.82,0,13,-7,7,5,1
CePt,TlI,1,1,-1.16,-0.81,-3.1474,-2.5,-0.63,4.35,1.505,6.1471,4.35,1.405,0.151279196,13,136,335.195,3.2,1.37037037,2.95,1.269230769,5.9,1.666666667,3.6,1.8,1.37037037,1,1.89,1.554054054,0.82,0,13,-7,7,5,1
CePt,TlI,1,1,-1.16,-0.81,-3.1474,-2.5,-0.63,4.35,1.505,6.1471,4.35,1.405,0.151279196,13,136,335.195,3.2,1.37037037,2.95,1.269230769,5.9,1.666666667,3.6,1.8,1.37037037,1,1.89,1.554054054,0.82,0,13,-7,7,5,1
CePt,TlI,1,1,-1.16,-0.81,-3.1474,-2.5,-0.63,4.35,1.505,6.1471,4.35,1.405,0.151279196,13,136,335.195,3.2,1.37037037,2.95,1.269230769,5.9,1.666666667,3.6,1.8,1.37037037,1,1.89,1.554054054,0.82,0,13,-7,7,5,1
CePt,TlI,1,1,-1.16,-0.81,-3.1474,-2.5,-0.63,4.35,1.505,6.1471,4.35,1.405,0.151279196,13,136,335.195,3.2,1.37037037,2.95,1.269230769,5.9,1.666666667,3.6,1.8,1.37037037,1,1.89,1.554054054,0.82,0,13,-7,7,5,1
CeRh,TlI,1,1,-1.16,-0.89,0.8472,-1.2,-0.47,3.7,1.545,4.1498,3.7,1.325,0.179650656,12,103,243.0205,3.2,1.37037037,2.9,1.32,5.8,1.785714286,3.96,1.98,1.37037037,1,1.96,1.419753086,0.68,1,12,-6,7,5,1
CeRh,TlI,1,1,-1.16,-0.89,0.8472,-1.2,-0.47,3.7,1.545,4.1498,3.7,1.325,0.179650656,12,103,243.0205,3.2,1.37037037,2.9,1.32,5.8,1.785714286,3.96,1.98,1.37037037,1,1.96,1.419753086,0.68,1,12,-6,7,5,1
CeRh,TlI,1,1,-1.16,-0.89,0.8472,-1.2,-0.47,3.7,1.545,4.1498,3.7,1.325,0.179650656,12,103,243.0205,3.2,1.37037037,2.9,1.32,5.8,1.785714286,3.96,1.98,1.37037037,1,1.96,1.419753086,0.68,1,12,-6,7,5,1
