,precision,recall,f1-score,support
CsCl,1.0,1.0,1.0,136.0
CuAu,1.0,1.0,1.0,37.0
FeAs,0.987,0.987,0.987,78.0
FeB-b,1.0,0.98,0.99,197.0
FeSi,0.994,0.994,0.994,162.0
NaCl,1.0,1.0,1.0,227.0
NiAs,1.0,1.0,1.0,83.0
TlI,0.99,1.0,0.995,401.0
ZnS,1.0,1.0,1.0,89.0
accuracy,0.996,0.996,0.996,0.996
macro avg,0.997,0.996,0.996,1410.0
weighted avg,0.996,0.996,0.996,1410.0
