Formula,index_A,index_B,normalized_index_A,normalized_index_B,largest_index,smallest_index,avg_index,atomic_weight_weighted_A+B,atomic_weight_A/B,atomic_weight_A-B,period_A,period_B,group_A,group_B,group_A-B,Mendeleev_number_A,Mendeleev_number_B,Mendeleev_number_A-B,valencee_total_A,valencee_total_B,valencee_total_A-B,valencee_total_A+B,valencee_total_weighted_A+B,valencee_total_weighted_norm_A+B,unpaired_electrons_A,unpaired_electrons_B,unpaired_electrons_A-B,unpaired_electrons_A+B,unpaired_electrons_weighted_A+B,unpaired_electrons_weighted_norm_A+B,Gilman_A,Gilman_B,Gilman_A-B,Gilman_A+B,Gilman_weighted_A+B,Gilman_weighted_norm_A+B,Z_eff_A,Z_eff_B,Z_eff_A-B,Z_eff_A/B,Z_eff_max,Z_eff_min,Z_eff_avg,Z_eff_weighted_norm_A+B,ionization_energy_A,ionization_energy_B,ionization_energy_A-B,ionization_energy_A/B,ionization_energy_max,ionization_energy_min,ionization_energy_avg,ionization_energy_weighted_norm_A+B,coordination_number_A,coordination_number_B,coordination_number_A-B,ratio_closest_A,ratio_closest_B,ratio_closest_max,ratio_closest_min,ratio_closest_avg,polyhedron_distortion_A,polyhedron_distortion_B,polyhedron_distortion_max,polyhedron_distortion_min,polyhedron_distortion_avg,CIF_radius_A,CIF_radius_B,CIF_radius_A/B,CIF_radius_A-B,CIF_radius_avg,CIF_radius_weighted_norm_A+B,Pauling_radius_CN12_A,Pauling_radius_CN12_B,Pauling_radius_CN12_A/B,Pauling_radius_CN12_A-B,Pauling_radius_CN12_avg,Pauling_radius_CN12_weighted_norm_A+B,Pauling_EN_A,Pauling_EN_B,Pauling_EN_A-B,Pauling_EN_A/B,Pauling_EN_max,Pauling_EN_min,Pauling_EN_avg,Pauling_EN_weighted_norm_A+B,Martynov_Batsanov_EN_A,Martynov_Batsanov_EN_B,Martynov_Batsanov_EN_A-B,Martynov_Batsanov_EN_A/B,Martynov_Batsanov_EN_max,Martynov_Batsanov_EN_min,Martynov_Batsanov_EN_avg,Martynov_Batsanov_EN_weighted_norm_A+B,melting_point_K_A,melting_point_K_B,melting_point_K_A-B,melting_point_K_A/B,melting_point_K_max,melting_point_K_min,melting_point_K_avg,melting_point_K_weighted_norm_A+B,density_A,density_B,density_A-B,density_A/B,density_max,density_min,density_avg,density_weighted_norm_A+B,specific_heat_A,specific_heat_B,specific_heat_A-B,specific_heat_A/B,specific_heat_max,specific_heat_min,specific_heat_avg,specific_heat_weighted_norm_A+B,cohesive_energy_A,cohesive_energy_B,cohesive_energy_A-B,cohesive_energy_A/B,cohesive_energy_max,cohesive_energy_min,cohesive_energy_avg,cohesive_energy_weighted_norm_A+B,bulk_modulus_A,bulk_modulus_B,bulk_modulus_A-B,bulk_modulus_A/B,bulk_modulus_max,bulk_modulus_min,bulk_modulus_avg,bulk_modulus_weighted_norm_A+B
ErSi,1.0,1.0,0.5,0.5,1.0,1.0,1.0,167.259,5.955,139.174,6.0,3.0,3.0,14.0,-11.0,35.0,78.0,-43.0,14.0,4.0,10.0,18.0,14.0,7.0,2.0,2.0,0.0,4.0,2.0,1.0,3.0,4.0,-1.0,7.0,3.0,1.5,4.018,2.321,1.697,1.731,4.018,2.321,3.17,2.009,6.108,8.152,-2.044,0.749,8.152,6.108,7.13,3.054,12.0,4.0,8.0,0.5,1.0,1.0,0.5,0.75,0.974,1.0,1.0,0.974,0.987,1.734,1.176,1.474,0.558,1.455,0.867,1.748,1.316,1.328,0.432,1.532,0.874,1.24,1.9,-0.66,0.653,1.9,1.24,1.57,0.62,1.2,1.98,-0.78,0.606,1.98,1.2,1.59,0.6,1802.15,1683.15,119.0,1.071,1802.15,1683.15,1742.65,901.075,9.07,2.33,6.74,3.893,9.07,2.33,5.7,4.535,0.17,0.71,-0.54,0.239,0.71,0.17,0.44,0.085,3.29,4.63,-1.34,0.711,4.63,3.29,3.96,1.645,44.4,98.0,-53.6,0.453,98.0,44.4,71.2,22.2
CeSb,1.0,1.0,0.5,0.5,1.0,1.0,1.0,140.115,1.151,18.355,6.0,5.0,3.0,15.0,-12.0,15.0,85.0,-70.0,4.0,15.0,-11.0,19.0,4.0,2.0,1.0,3.0,-2.0,4.0,1.0,0.5,3.0,5.0,-2.0,8.0,3.0,1.5,3.774,3.984,-0.21,0.947,3.984,3.774,3.879,1.887,5.539,8.608,-3.07,0.643,8.608,5.539,7.074,2.769,12.0,6.0,6.0,0.5,0.5,0.5,0.5,0.5,0.99,0.868,0.99,0.868,0.929,1.819,1.434,1.268,0.385,1.626,0.91,1.818,1.59,1.143,0.228,1.704,0.909,1.12,2.05,-0.93,0.546,2.05,1.12,1.585,0.56,1.1,2.14,-1.04,0.514,2.14,1.1,1.62,0.55,1071.15,904.15,167.0,1.185,1071.15,904.15,987.65,535.575,6.66,6.69,-0.03,0.996,6.69,6.66,6.675,3.33,0.19,0.21,-0.02,0.905,0.21,0.19,0.2,0.095,4.32,2.75,1.57,1.571,4.32,2.75,3.535,2.16,21.5,38.3,-16.8,0.561,38.3,21.5,29.9,10.75
YNi,1.0,1.0,0.5,0.5,1.0,1.0,1.0,88.906,1.515,30.212,5.0,4.0,3.0,10.0,-7.0,12.0,61.0,-49.0,3.0,10.0,-7.0,13.0,3.0,1.5,1.0,2.0,-1.0,3.0,1.0,0.5,1.0,3.0,-2.0,4.0,1.0,0.5,3.379,2.996,0.383,1.128,3.379,2.996,3.188,1.69,6.217,7.64,-1.423,0.814,7.64,6.217,6.929,3.109,12.0,12.0,0.0,0.5,1.0,1.0,0.5,0.75,0.975,1.0,1.0,0.975,0.988,1.783,1.246,1.431,0.537,1.514,0.892,1.797,1.244,1.445,0.553,1.52,0.898,1.22,1.91,-0.69,0.639,1.91,1.22,1.565,0.61,1.41,1.76,-0.35,0.801,1.76,1.41,1.585,0.705,1796.15,1726.15,70.0,1.041,1796.15,1726.15,1761.15,898.075,4.47,8.9,-4.43,0.502,8.9,4.47,6.685,2.235,0.3,0.44,-0.14,0.682,0.44,0.3,0.37,0.15,4.37,4.44,-0.07,0.984,4.44,4.37,4.405,2.185,41.2,177.0,-135.8,0.233,177.0,41.2,109.1,20.6
NdSb,1.0,1.0,0.5,0.5,1.0,1.0,1.0,144.242,1.185,22.482,6.0,5.0,3.0,15.0,-12.0,19.0,85.0,-66.0,6.0,15.0,-9.0,21.0,6.0,3.0,4.0,3.0,1.0,7.0,4.0,2.0,3.0,5.0,-2.0,8.0,3.0,1.5,3.822,3.984,-0.162,0.959,3.984,3.822,3.903,1.911,5.525,8.608,-3.083,0.642,8.608,5.525,7.067,2.762,12.0,6.0,6.0,0.5,0.5,0.5,0.5,0.5,0.992,0.868,0.992,0.868,0.93,1.813,1.434,1.264,0.379,1.624,0.906,1.818,1.59,1.143,0.228,1.704,0.909,1.14,2.05,-0.91,0.556,2.05,1.14,1.595,0.57,1.2,2.14,-0.94,0.561,2.14,1.2,1.67,0.6,1289.15,904.15,385.0,1.426,1289.15,904.15,1096.65,644.575,7.0,6.69,0.31,1.046,7.0,6.69,6.845,3.5,0.19,0.21,-0.02,0.905,0.21,0.19,0.2,0.095,3.4,2.75,0.65,1.236,3.4,2.75,3.075,1.7,31.8,38.3,-6.5,0.83,38.3,31.8,35.05,15.9
SmPt,1.0,1.0,0.5,0.5,1.0,1.0,1.0,150.36,0.771,-44.724,6.0,6.0,3.0,10.0,-7.0,23.0,63.0,-40.0,8.0,10.0,-2.0,18.0,8.0,4.0,6.0,1.0,5.0,7.0,6.0,3.0,3.0,3.0,0.0,6.0,3.0,1.5,3.847,4.883,-1.036,0.788,4.883,3.847,4.365,1.924,5.644,8.959,-3.315,0.63,8.959,5.644,7.301,2.822,12.0,12.0,0.0,0.5,1.0,1.0,0.5,0.75,0.99,1.0,1.0,0.99,0.995,1.793,1.387,1.293,0.406,1.59,0.896,1.85,1.385,1.336,0.465,1.618,0.925,1.17,2.28,-1.11,0.513,2.28,1.17,1.725,0.585,1.2,1.91,-0.71,0.628,1.91,1.2,1.555,0.6,1347.15,2045.15,-698.0,0.659,2045.15,1347.15,1696.15,673.575,7.52,21.4,-13.88,0.351,21.4,7.52,14.46,3.76,0.2,0.13,0.07,1.538,0.2,0.13,0.165,0.1,2.14,5.84,-3.7,0.366,5.84,2.14,3.99,1.07,37.8,276.0,-238.2,0.137,276.0,37.8,156.9,18.9
LuSb,1.0,1.0,0.5,0.5,1.0,1.0,1.0,174.967,1.437,53.207,6.0,5.0,3.0,15.0,-12.0,41.0,85.0,-44.0,17.0,15.0,2.0,32.0,17.0,8.5,1.0,3.0,-2.0,4.0,1.0,0.5,1.0,5.0,-4.0,6.0,1.0,0.5,4.034,3.984,0.05,1.013,4.034,3.984,4.009,2.017,5.426,8.608,-3.182,0.63,8.608,5.426,7.017,2.713,12.0,6.0,6.0,0.5,0.5,0.5,0.5,0.5,0.979,0.868,0.979,0.868,0.924,1.718,1.434,1.198,0.284,1.576,0.859,1.738,1.59,1.093,0.148,1.664,0.869,1.27,2.05,-0.78,0.62,2.05,1.27,1.66,0.635,1.2,2.14,-0.94,0.561,2.14,1.2,1.67,0.6,1936.15,904.15,1032.0,2.141,1936.15,904.15,1420.15,968.075,9.84,6.69,3.15,1.471,9.84,6.69,8.265,4.92,0.15,0.21,-0.06,0.714,0.21,0.15,0.18,0.075,4.43,2.75,1.68,1.611,4.43,2.75,3.59,2.215,47.6,38.3,9.3,1.243,47.6,38.3,42.95,23.8
ErSb,1.0,1.0,0.5,0.5,1.0,1.0,1.0,167.259,1.374,45.499,6.0,5.0,3.0,15.0,-12.0,35.0,85.0,-50.0,14.0,15.0,-1.0,29.0,14.0,7.0,2.0,3.0,-1.0,5.0,2.0,1.0,3.0,5.0,-2.0,8.0,3.0,1.5,4.018,3.984,0.034,1.009,4.018,3.984,4.001,2.009,6.108,8.608,-2.501,0.71,8.608,6.108,7.358,3.054,12.0,6.0,6.0,0.5,0.5,0.5,0.5,0.5,0.974,0.868,0.974,0.868,0.921,1.734,1.434,1.209,0.3,1.584,0.867,1.748,1.59,1.099,0.158,1.669,0.874,1.24,2.05,-0.81,0.605,2.05,1.24,1.645,0.62,1.2,2.14,-0.94,0.561,2.14,1.2,1.67,0.6,1802.15,904.15,898.0,1.993,1802.15,904.15,1353.15,901.075,9.07,6.69,2.38,1.356,9.07,6.69,7.88,4.535,0.17,0.21,-0.04,0.81,0.21,0.17,0.19,0.085,3.29,2.75,0.54,1.196,3.29,2.75,3.02,1.645,44.4,38.3,6.1,1.159,44.4,38.3,41.35,22.2
ScSi,1.0,1.0,0.5,0.5,1.0,1.0,1.0,44.956,1.601,16.87,4.0,3.0,3.0,14.0,-11.0,11.0,78.0,-67.0,3.0,4.0,-1.0,7.0,3.0,1.5,1.0,2.0,-1.0,3.0,1.0,0.5,1.0,4.0,-3.0,5.0,1.0,0.5,2.777,2.321,0.456,1.196,2.777,2.321,2.549,1.388,6.562,8.152,-1.59,0.805,8.152,6.562,7.357,3.281,12.0,4.0,8.0,0.5,1.0,1.0,0.5,0.75,0.984,1.0,1.0,0.984,0.992,1.641,1.176,1.395,0.465,1.408,0.82,1.62,1.316,1.231,0.304,1.468,0.81,1.36,1.9,-0.54,0.716,1.9,1.36,1.63,0.68,1.5,1.98,-0.48,0.758,1.98,1.5,1.74,0.75,1814.15,1683.15,131.0,1.078,1814.15,1683.15,1748.65,907.075,2.99,2.33,0.66,1.283,2.99,2.33,2.66,1.495,0.6,0.71,-0.11,0.845,0.71,0.6,0.655,0.3,3.9,4.63,-0.73,0.842,4.63,3.9,4.265,1.95,56.6,98.0,-41.4,0.578,98.0,56.6,77.3,28.3
CoPt,1.0,1.0,0.5,0.5,1.0,1.0,1.0,58.933,0.302,-136.151,4.0,6.0,9.0,10.0,-1.0,58.0,63.0,-5.0,9.0,10.0,-1.0,19.0,9.0,4.5,3.0,1.0,2.0,4.0,3.0,1.5,4.0,3.0,1.0,7.0,4.0,2.0,3.046,4.883,-1.837,0.624,4.883,3.046,3.964,1.523,7.881,8.959,-1.078,0.88,8.959,7.881,8.42,3.94,12.0,12.0,0.0,0.5,1.0,1.0,0.5,0.75,0.996,1.0,1.0,0.996,0.998,1.25,1.387,0.901,-0.137,1.318,0.625,1.252,1.385,0.904,-0.133,1.318,0.626,1.88,2.28,-0.4,0.825,2.28,1.88,2.08,0.94,1.72,1.91,-0.19,0.901,1.91,1.72,1.815,0.86,1768.15,2045.15,-277.0,0.865,2045.15,1768.15,1906.65,884.075,8.9,21.4,-12.5,0.416,21.4,8.9,15.15,4.45,0.42,0.13,0.29,3.231,0.42,0.13,0.275,0.21,4.39,5.84,-1.45,0.752,5.84,4.39,5.115,2.195,182.0,276.0,-94.0,0.659,276.0,182.0,229.0,91.0
TbSb,1.0,1.0,0.5,0.5,1.0,1.0,1.0,158.925,1.305,37.165,6.0,5.0,3.0,15.0,-12.0,29.0,85.0,-56.0,11.0,15.0,-4.0,26.0,11.0,5.5,5.0,3.0,2.0,8.0,5.0,2.5,3.0,5.0,-2.0,8.0,3.0,1.5,3.976,3.984,-0.008,0.998,3.984,3.976,3.98,1.988,5.864,8.608,-2.745,0.681,8.608,5.864,7.236,2.932,12.0,6.0,6.0,0.5,0.5,0.5,0.5,0.5,0.978,0.868,0.978,0.868,0.923,1.764,1.434,1.23,0.33,1.599,0.882,1.773,1.59,1.115,0.183,1.682,0.886,1.2,2.05,-0.85,0.585,2.05,1.2,1.625,0.6,1.2,2.14,-0.94,0.561,2.14,1.2,1.67,0.6,1638.15,904.15,734.0,1.812,1638.15,904.15,1271.15,819.075,8.23,6.69,1.54,1.23,8.23,6.69,7.46,4.115,0.18,0.21,-0.03,0.857,0.21,0.18,0.195,0.09,4.05,2.75,1.3,1.473,4.05,2.75,3.4,2.025,38.7,38.3,0.4,1.01,38.7,38.3,38.5,19.35
YbPt,1.0,1.0,0.5,0.5,1.0,1.0,1.0,173.045,0.887,-22.039,6.0,6.0,3.0,10.0,-7.0,39.0,63.0,-24.0,16.0,10.0,6.0,26.0,16.0,8.0,0.0,1.0,-1.0,1.0,0.0,0.0,3.0,3.0,0.0,6.0,3.0,1.5,4.048,4.883,-0.835,0.829,4.883,4.048,4.466,2.024,6.254,8.959,-2.705,0.698,8.959,6.254,7.607,3.127,12.0,12.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.939,1.387,1.398,0.552,1.663,0.97,1.933,1.385,1.396,0.548,1.659,0.966,1.1,2.28,-1.18,0.482,2.28,1.1,1.69,0.55,1.1,1.91,-0.81,0.576,1.91,1.1,1.505,0.55,1092.15,2045.15,-953.0,0.534,2045.15,1092.15,1568.65,546.075,6.97,21.4,-14.43,0.326,21.4,6.97,14.185,3.485,0.15,0.13,0.02,1.154,0.15,0.13,0.14,0.075,1.6,5.84,-4.24,0.274,5.84,1.6,3.72,0.8,30.5,276.0,-245.5,0.111,276.0,30.5,153.25,15.25
NiSi,1.0,1.0,0.5,0.5,1.0,1.0,1.0,58.693,2.09,30.608,4.0,3.0,10.0,14.0,-4.0,61.0,78.0,-17.0,10.0,4.0,6.0,14.0,10.0,5.0,2.0,2.0,0.0,4.0,2.0,1.0,3.0,4.0,-1.0,7.0,3.0,1.5,2.996,2.321,0.675,1.291,2.996,2.321,2.658,1.498,7.64,8.152,-0.512,0.937,8.152,7.64,7.896,3.82,12.0,4.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.246,1.176,1.06,0.07,1.211,0.623,1.244,1.316,0.945,-0.072,1.28,0.622,1.91,1.9,0.01,1.005,1.91,1.9,1.905,0.955,1.76,1.98,-0.22,0.889,1.98,1.76,1.87,0.88,1726.15,1683.15,43.0,1.026,1726.15,1683.15,1704.65,863.075,8.9,2.33,6.57,3.82,8.9,2.33,5.615,4.45,0.44,0.71,-0.27,0.62,0.71,0.44,0.575,0.22,4.44,4.63,-0.19,0.959,4.63,4.44,4.535,2.22,177.0,98.0,79.0,1.806,177.0,98.0,137.5,88.5
GdGa,1.0,1.0,0.5,0.5,1.0,1.0,1.0,157.25,2.255,87.527,6.0,4.0,3.0,13.0,-10.0,27.0,74.0,-47.0,10.0,13.0,-3.0,23.0,10.0,5.0,7.0,1.0,6.0,8.0,7.0,3.5,3.0,3.0,0.0,6.0,3.0,1.5,4.034,2.655,1.379,1.519,4.034,2.655,3.344,2.017,6.15,5.999,0.151,1.025,6.15,5.999,6.075,3.075,12.0,7.0,5.0,0.5,0.143,0.5,0.143,0.321,0.983,0.897,0.983,0.897,0.94,1.787,1.243,1.438,0.544,1.515,0.894,1.795,1.408,1.275,0.387,1.602,0.898,1.2,1.81,-0.61,0.663,1.81,1.2,1.505,0.6,1.1,1.7,-0.6,0.647,1.7,1.1,1.4,0.55,1586.15,302.95,1283.2,5.236,1586.15,302.95,944.55,793.075,7.9,5.9,2.0,1.339,7.9,5.9,6.9,3.95,0.23,0.37,-0.14,0.622,0.37,0.23,0.3,0.115,4.14,2.81,1.33,1.473,4.14,2.81,3.475,2.07,37.9,56.9,-19.0,0.666,56.9,37.9,47.4,18.95
NiSb,1.0,1.0,0.5,0.5,1.0,1.0,1.0,58.693,0.482,-63.067,4.0,5.0,10.0,15.0,-5.0,61.0,85.0,-24.0,10.0,15.0,-5.0,25.0,10.0,5.0,2.0,3.0,-1.0,5.0,2.0,1.0,3.0,5.0,-2.0,8.0,3.0,1.5,2.996,3.984,-0.988,0.752,3.984,2.996,3.49,1.498,7.64,8.608,-0.969,0.887,8.608,7.64,8.124,3.82,12.0,6.0,6.0,1.0,0.5,1.0,0.5,0.75,1.0,0.868,1.0,0.868,0.934,1.246,1.434,0.869,-0.188,1.34,0.623,1.244,1.59,0.782,-0.346,1.417,0.622,1.91,2.05,-0.14,0.932,2.05,1.91,1.98,0.955,1.76,2.14,-0.38,0.822,2.14,1.76,1.95,0.88,1726.15,904.15,822.0,1.909,1726.15,904.15,1315.15,863.075,8.9,6.69,2.21,1.33,8.9,6.69,7.795,4.45,0.44,0.21,0.23,2.095,0.44,0.21,0.325,0.22,4.44,2.75,1.69,1.615,4.44,2.75,3.595,2.22,177.0,38.3,138.7,4.621,177.0,38.3,107.65,88.5
IrSi,1.0,1.0,0.5,0.5,1.0,1.0,1.0,192.217,6.844,164.132,6.0,3.0,9.0,14.0,-5.0,60.0,78.0,-18.0,9.0,4.0,5.0,13.0,9.0,4.5,3.0,2.0,1.0,5.0,3.0,1.5,4.0,4.0,0.0,8.0,4.0,2.0,4.908,2.321,2.587,2.115,4.908,2.321,3.615,2.454,8.967,8.152,0.815,1.1,8.967,8.152,8.559,4.484,12.0,4.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.356,1.176,1.153,0.18,1.266,0.678,1.355,1.316,1.03,0.039,1.336,0.678,2.2,1.9,0.3,1.158,2.2,1.9,2.05,1.1,1.87,1.98,-0.11,0.944,1.98,1.87,1.925,0.935,2683.15,1683.15,1000.0,1.594,2683.15,1683.15,2183.15,1341.575,22.4,2.33,20.07,9.614,22.4,2.33,12.365,11.2,0.13,0.71,-0.58,0.183,0.71,0.13,0.42,0.065,6.94,4.63,2.31,1.499,6.94,4.63,5.785,3.47,371.0,98.0,273.0,3.786,371.0,98.0,234.5,185.5
NiPt,1.0,1.0,0.5,0.5,1.0,1.0,1.0,58.693,0.301,-136.391,4.0,6.0,10.0,10.0,0.0,61.0,63.0,-2.0,10.0,10.0,0.0,20.0,10.0,5.0,2.0,1.0,1.0,3.0,2.0,1.0,3.0,3.0,0.0,6.0,3.0,1.5,2.996,4.883,-1.887,0.614,4.883,2.996,3.94,1.498,7.64,8.959,-1.319,0.853,8.959,7.64,8.299,3.82,12.0,12.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.246,1.387,0.898,-0.141,1.316,0.623,1.244,1.385,0.898,-0.141,1.314,0.622,1.91,2.28,-0.37,0.838,2.28,1.91,2.095,0.955,1.76,1.91,-0.15,0.921,1.91,1.76,1.835,0.88,1726.15,2045.15,-319.0,0.844,2045.15,1726.15,1885.65,863.075,8.9,21.4,-12.5,0.416,21.4,8.9,15.15,4.45,0.44,0.13,0.31,3.385,0.44,0.13,0.285,0.22,4.44,5.84,-1.4,0.76,5.84,4.44,5.14,2.22,177.0,276.0,-99.0,0.641,276.0,177.0,226.5,88.5
PtSi,1.0,1.0,0.5,0.5,1.0,1.0,1.0,195.084,6.946,166.998,6.0,3.0,10.0,14.0,-4.0,63.0,78.0,-15.0,10.0,4.0,6.0,14.0,10.0,5.0,1.0,2.0,-1.0,3.0,1.0,0.5,3.0,4.0,-1.0,7.0,3.0,1.5,4.883,2.321,2.562,2.104,4.883,2.321,3.602,2.442,8.959,8.152,0.807,1.099,8.959,8.152,8.555,4.479,12.0,4.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.387,1.176,1.179,0.211,1.281,0.694,1.385,1.316,1.052,0.069,1.35,0.692,2.28,1.9,0.38,1.2,2.28,1.9,2.09,1.14,1.91,1.98,-0.07,0.965,1.98,1.91,1.945,0.955,2045.15,1683.15,362.0,1.215,2045.15,1683.15,1864.15,1022.575,21.4,2.33,19.07,9.185,21.4,2.33,11.865,10.7,0.13,0.71,-0.58,0.183,0.71,0.13,0.42,0.065,5.84,4.63,1.21,1.261,5.84,4.63,5.235,2.92,276.0,98.0,178.0,2.816,276.0,98.0,187.0,138.0
FeNi,1.0,1.0,0.5,0.5,1.0,1.0,1.0,55.847,0.952,-2.846,4.0,4.0,8.0,10.0,-2.0,55.0,61.0,-6.0,8.0,10.0,-2.0,18.0,8.0,4.0,4.0,2.0,2.0,6.0,4.0,2.0,5.0,3.0,2.0,8.0,5.0,2.5,3.048,2.996,0.052,1.017,3.048,2.996,3.022,1.524,7.902,7.64,0.263,1.034,7.902,7.64,7.771,3.951,14.0,12.0,2.0,0.571,1.0,1.0,0.571,0.786,0.866,1.0,1.0,0.866,0.933,1.242,1.246,0.997,-0.004,1.244,0.621,1.26,1.244,1.013,0.016,1.252,0.63,1.83,1.91,-0.08,0.958,1.91,1.83,1.87,0.915,1.67,1.76,-0.09,0.949,1.76,1.67,1.715,0.835,1808.15,1726.15,82.0,1.048,1808.15,1726.15,1767.15,904.075,7.86,8.9,-1.04,0.883,8.9,7.86,8.38,3.93,0.44,0.44,0.0,1.0,0.44,0.44,0.44,0.22,4.28,4.44,-0.16,0.964,4.44,4.28,4.36,2.14,166.0,177.0,-11.0,0.938,177.0,166.0,171.5,83.0
PrSb,1.0,1.0,0.5,0.5,1.0,1.0,1.0,140.908,1.157,19.148,6.0,5.0,3.0,15.0,-12.0,17.0,85.0,-68.0,5.0,15.0,-10.0,20.0,5.0,2.5,3.0,3.0,0.0,6.0,3.0,1.5,3.0,5.0,-2.0,8.0,3.0,1.5,3.8,3.984,-0.184,0.954,3.984,3.8,3.892,1.9,5.473,8.608,-3.135,0.636,8.608,5.473,7.041,2.736,12.0,6.0,6.0,0.5,0.5,0.5,0.5,0.5,0.991,0.868,0.991,0.868,0.93,1.82,1.434,1.269,0.386,1.627,0.91,1.824,1.59,1.147,0.234,1.707,0.912,1.13,2.05,-0.92,0.551,2.05,1.13,1.59,0.565,1.1,2.14,-1.04,0.514,2.14,1.1,1.62,0.55,1204.15,904.15,300.0,1.332,1204.15,904.15,1054.15,602.075,6.77,6.69,0.08,1.012,6.77,6.69,6.73,3.385,0.19,0.21,-0.02,0.905,0.21,0.19,0.2,0.095,3.7,2.75,0.95,1.345,3.7,2.75,3.225,1.85,28.8,38.3,-9.5,0.752,38.3,28.8,33.55,14.4
PrGe,1.0,1.0,0.5,0.5,1.0,1.0,1.0,140.908,1.94,68.278,6.0,4.0,3.0,14.0,-11.0,17.0,79.0,-62.0,5.0,14.0,-9.0,19.0,5.0,2.5,3.0,2.0,1.0,5.0,3.0,1.5,3.0,4.0,-1.0,7.0,3.0,1.5,3.8,3.046,0.754,1.248,3.8,3.046,3.423,1.9,5.473,7.899,-2.426,0.693,7.899,5.473,6.686,2.736,12.0,4.0,8.0,0.5,1.0,1.0,0.5,0.75,0.991,1.0,1.0,0.991,0.996,1.82,1.225,1.486,0.595,1.522,0.91,1.824,1.366,1.335,0.458,1.595,0.912,1.13,2.01,-0.88,0.562,2.01,1.13,1.57,0.565,1.1,1.99,-0.89,0.553,1.99,1.1,1.545,0.55,1204.15,1220.55,-16.4,0.987,1220.55,1204.15,1212.35,602.075,6.77,5.32,1.45,1.273,6.77,5.32,6.045,3.385,0.19,0.32,-0.13,0.594,0.32,0.19,0.255,0.095,3.7,3.85,-0.15,0.961,3.85,3.7,3.775,1.85,28.8,77.2,-48.4,0.373,77.2,28.8,53.0,14.4
EuGe,1.0,1.0,0.5,0.5,1.0,1.0,1.0,151.965,2.092,79.335,6.0,4.0,3.0,14.0,-11.0,25.0,79.0,-54.0,9.0,14.0,-5.0,23.0,9.0,4.5,7.0,2.0,5.0,9.0,7.0,3.5,3.0,4.0,-1.0,7.0,3.0,1.5,3.871,3.046,0.825,1.271,3.871,3.046,3.458,1.936,5.67,7.899,-2.229,0.718,7.899,5.67,6.785,2.835,14.0,4.0,10.0,0.571,1.0,1.0,0.571,0.786,0.866,1.0,1.0,0.866,0.933,1.987,1.225,1.622,0.762,1.606,0.994,2.084,1.366,1.526,0.718,1.725,1.042,1.2,2.01,-0.81,0.597,2.01,1.2,1.605,0.6,1.15,1.99,-0.84,0.578,1.99,1.15,1.57,0.575,1095.15,1220.55,-125.4,0.897,1220.55,1095.15,1157.85,547.575,5.24,5.32,-0.08,0.985,5.32,5.24,5.28,2.62,0.18,0.32,-0.14,0.562,0.32,0.18,0.25,0.09,1.86,3.85,-1.99,0.483,3.85,1.86,2.855,0.93,14.7,77.2,-62.5,0.19,77.2,14.7,45.95,7.35
SmSi,1.0,1.0,0.5,0.5,1.0,1.0,1.0,150.36,5.354,122.275,6.0,3.0,3.0,14.0,-11.0,23.0,78.0,-55.0,8.0,4.0,4.0,12.0,8.0,4.0,6.0,2.0,4.0,8.0,6.0,3.0,3.0,4.0,-1.0,7.0,3.0,1.5,3.847,2.321,1.526,1.657,3.847,2.321,3.084,1.924,5.644,8.152,-2.508,0.692,8.152,5.644,6.898,2.822,12.0,4.0,8.0,0.5,1.0,1.0,0.5,0.75,0.99,1.0,1.0,0.99,0.995,1.793,1.176,1.525,0.617,1.484,0.896,1.85,1.316,1.406,0.534,1.583,0.925,1.17,1.9,-0.73,0.616,1.9,1.17,1.535,0.585,1.2,1.98,-0.78,0.606,1.98,1.2,1.59,0.6,1347.15,1683.15,-336.0,0.8,1683.15,1347.15,1515.15,673.575,7.52,2.33,5.19,3.227,7.52,2.33,4.925,3.76,0.2,0.71,-0.51,0.282,0.71,0.2,0.455,0.1,2.14,4.63,-2.49,0.462,4.63,2.14,3.385,1.07,37.8,98.0,-60.2,0.386,98.0,37.8,67.9,18.9
