Formula,index_A,index_B,normalized_index_A,normalized_index_B,largest_index,smallest_index,avg_index,atomic_weight_weighted_A+B,atomic_weight_A/B,atomic_weight_A-B,period_A,period_B,group_A,group_B,group_A-B,Mendeleev_number_A,Mendeleev_number_B,Mendeleev_number_A-B,valencee_total_A,valencee_total_B,valencee_total_A-B,valencee_total_A+B,valencee_total_weighted_A+B,valencee_total_weighted_norm_A+B,unpaired_electrons_A,unpaired_electrons_B,unpaired_electrons_A-B,unpaired_electrons_A+B,unpaired_electrons_weighted_A+B,unpaired_electrons_weighted_norm_A+B,Gilman_A,Gilman_B,Gilman_A-B,Gilman_A+B,Gilman_weighted_A+B,Gilman_weighted_norm_A+B,Z_eff_A,Z_eff_B,Z_eff_A-B,Z_eff_A/B,Z_eff_max,Z_eff_min,Z_eff_avg,Z_eff_weighted_norm_A+B,ionization_energy_A,ionization_energy_B,ionization_energy_A-B,ionization_energy_A/B,ionization_energy_max,ionization_energy_min,ionization_energy_avg,ionization_energy_weighted_norm_A+B,coordination_number_A,coordination_number_B,coordination_number_A-B,ratio_closest_A,ratio_closest_B,ratio_closest_max,ratio_closest_min,ratio_closest_avg,polyhedron_distortion_A,polyhedron_distortion_B,polyhedron_distortion_max,polyhedron_distortion_min,polyhedron_distortion_avg,CIF_radius_A,CIF_radius_B,CIF_radius_A/B,CIF_radius_A-B,CIF_radius_avg,CIF_radius_weighted_norm_A+B,Pauling_radius_CN12_A,Pauling_radius_CN12_B,Pauling_radius_CN12_A/B,Pauling_radius_CN12_A-B,Pauling_radius_CN12_avg,Pauling_radius_CN12_weighted_norm_A+B,Pauling_EN_A,Pauling_EN_B,Pauling_EN_A-B,Pauling_EN_A/B,Pauling_EN_max,Pauling_EN_min,Pauling_EN_avg,Pauling_EN_weighted_norm_A+B,Martynov_Batsanov_EN_A,Martynov_Batsanov_EN_B,Martynov_Batsanov_EN_A-B,Martynov_Batsanov_EN_A/B,Martynov_Batsanov_EN_max,Martynov_Batsanov_EN_min,Martynov_Batsanov_EN_avg,Martynov_Batsanov_EN_weighted_norm_A+B,melting_point_K_A,melting_point_K_B,melting_point_K_A-B,melting_point_K_A/B,melting_point_K_max,melting_point_K_min,melting_point_K_avg,melting_point_K_weighted_norm_A+B,density_A,density_B,density_A-B,density_A/B,density_max,density_min,density_avg,density_weighted_norm_A+B,specific_heat_A,specific_heat_B,specific_heat_A-B,specific_heat_A/B,specific_heat_max,specific_heat_min,specific_heat_avg,specific_heat_weighted_norm_A+B,cohesive_energy_A,cohesive_energy_B,cohesive_energy_A-B,cohesive_energy_A/B,cohesive_energy_max,cohesive_energy_min,cohesive_energy_avg,cohesive_energy_weighted_norm_A+B,bulk_modulus_A,bulk_modulus_B,bulk_modulus_A-B,bulk_modulus_A/B,bulk_modulus_max,bulk_modulus_min,bulk_modulus_avg,bulk_modulus_weighted_norm_A+B
YPt,1.0,1.0,0.5,0.5,1.0,1.0,1.0,88.906,0.456,-106.178,5.0,6.0,3.0,10.0,-7.0,12.0,63.0,-51.0,3.0,10.0,-7.0,13.0,3.0,1.5,1.0,1.0,0.0,2.0,1.0,0.5,1.0,3.0,-2.0,4.0,1.0,0.5,3.379,4.883,-1.504,0.692,4.883,3.379,4.131,1.69,6.217,8.959,-2.742,0.694,8.959,6.217,7.588,3.109,12.0,12.0,0.0,0.5,1.0,1.0,0.5,0.75,0.975,1.0,1.0,0.975,0.988,1.783,1.387,1.286,0.396,1.585,0.892,1.797,1.385,1.297,0.412,1.591,0.898,1.22,2.28,-1.06,0.535,2.28,1.22,1.75,0.61,1.41,1.91,-0.5,0.738,1.91,1.41,1.66,0.705,1796.15,2045.15,-249.0,0.878,2045.15,1796.15,1920.65,898.075,4.47,21.4,-16.93,0.209,21.4,4.47,12.935,2.235,0.3,0.13,0.17,2.308,0.3,0.13,0.215,0.15,4.37,5.84,-1.47,0.748,5.84,4.37,5.105,2.185,41.2,276.0,-234.8,0.149,276.0,41.2,158.6,20.6
CeSb,1.0,1.0,0.5,0.5,1.0,1.0,1.0,140.115,1.151,18.355,6.0,5.0,3.0,15.0,-12.0,15.0,85.0,-70.0,4.0,15.0,-11.0,19.0,4.0,2.0,1.0,3.0,-2.0,4.0,1.0,0.5,3.0,5.0,-2.0,8.0,3.0,1.5,3.774,3.984,-0.21,0.947,3.984,3.774,3.879,1.887,5.539,8.608,-3.07,0.643,8.608,5.539,7.074,2.769,12.0,6.0,6.0,0.5,0.5,0.5,0.5,0.5,0.99,0.868,0.99,0.868,0.929,1.819,1.434,1.268,0.385,1.626,0.91,1.818,1.59,1.143,0.228,1.704,0.909,1.12,2.05,-0.93,0.546,2.05,1.12,1.585,0.56,1.1,2.14,-1.04,0.514,2.14,1.1,1.62,0.55,1071.15,904.15,167.0,1.185,1071.15,904.15,987.65,535.575,6.66,6.69,-0.03,0.996,6.69,6.66,6.675,3.33,0.19,0.21,-0.02,0.905,0.21,0.19,0.2,0.095,4.32,2.75,1.57,1.571,4.32,2.75,3.535,2.16,21.5,38.3,-16.8,0.561,38.3,21.5,29.9,10.75
DyRh,1.0,1.0,0.5,0.5,1.0,1.0,1.0,162.5,1.579,59.594,6.0,5.0,3.0,9.0,-6.0,31.0,59.0,-28.0,12.0,9.0,3.0,21.0,12.0,6.0,4.0,2.0,2.0,6.0,4.0,2.0,3.0,4.0,-1.0,7.0,3.0,1.5,3.963,3.701,0.262,1.071,3.963,3.701,3.832,1.982,5.939,7.459,-1.52,0.796,7.459,5.939,6.699,2.969,12.0,12.0,0.0,0.5,1.0,1.0,0.5,0.75,0.976,1.0,1.0,0.976,0.988,1.752,1.345,1.303,0.407,1.548,0.876,1.77,1.342,1.319,0.428,1.556,0.885,1.22,2.28,-1.06,0.535,2.28,1.22,1.75,0.61,1.15,1.99,-0.84,0.578,1.99,1.15,1.57,0.575,1685.15,2239.15,-554.0,0.753,2239.15,1685.15,1962.15,842.575,8.55,12.4,-3.85,0.69,12.4,8.55,10.475,4.275,0.17,0.242,-0.072,0.702,0.242,0.17,0.206,0.085,3.04,5.75,-2.71,0.529,5.75,3.04,4.395,1.52,40.5,276.0,-235.5,0.147,276.0,40.5,158.25,20.25
FePt,1.0,1.0,0.5,0.5,1.0,1.0,1.0,55.847,0.286,-139.237,4.0,6.0,8.0,10.0,-2.0,55.0,63.0,-8.0,8.0,10.0,-2.0,18.0,8.0,4.0,4.0,1.0,3.0,5.0,4.0,2.0,5.0,3.0,2.0,8.0,5.0,2.5,3.048,4.883,-1.835,0.624,4.883,3.048,3.965,1.524,7.902,8.959,-1.056,0.882,8.959,7.902,8.431,3.951,14.0,12.0,2.0,0.571,1.0,1.0,0.571,0.786,0.866,1.0,1.0,0.866,0.933,1.242,1.387,0.895,-0.145,1.314,0.621,1.26,1.385,0.91,-0.125,1.322,0.63,1.83,2.28,-0.45,0.803,2.28,1.83,2.055,0.915,1.67,1.91,-0.24,0.874,1.91,1.67,1.79,0.835,1808.15,2045.15,-237.0,0.884,2045.15,1808.15,1926.65,904.075,7.86,21.4,-13.54,0.367,21.4,7.86,14.63,3.93,0.44,0.13,0.31,3.385,0.44,0.13,0.285,0.22,4.28,5.84,-1.56,0.733,5.84,4.28,5.06,2.14,166.0,276.0,-110.0,0.601,276.0,166.0,221.0,83.0
HoNi,1.0,1.0,0.5,0.5,1.0,1.0,1.0,164.93,2.81,106.237,6.0,4.0,3.0,10.0,-7.0,33.0,61.0,-28.0,13.0,10.0,3.0,23.0,13.0,6.5,3.0,2.0,1.0,5.0,3.0,1.5,3.0,3.0,0.0,6.0,3.0,1.5,3.994,2.996,0.998,1.333,3.994,2.996,3.495,1.997,6.022,7.64,-1.618,0.788,7.64,6.022,6.831,3.011,12.0,12.0,0.0,0.5,1.0,1.0,0.5,0.75,0.975,1.0,1.0,0.975,0.988,1.745,1.246,1.4,0.499,1.496,0.872,1.761,1.244,1.416,0.517,1.502,0.88,1.23,1.91,-0.68,0.644,1.91,1.23,1.57,0.615,1.2,1.76,-0.56,0.682,1.76,1.2,1.48,0.6,1747.15,1726.15,21.0,1.012,1747.15,1726.15,1736.65,873.575,8.8,8.9,-0.1,0.989,8.9,8.8,8.85,4.4,0.16,0.44,-0.28,0.364,0.44,0.16,0.3,0.08,3.14,4.44,-1.3,0.707,4.44,3.14,3.79,1.57,40.2,177.0,-136.8,0.227,177.0,40.2,108.6,20.1
ScCo,1.0,1.0,0.5,0.5,1.0,1.0,1.0,44.956,0.763,-13.977,4.0,4.0,3.0,9.0,-6.0,11.0,58.0,-47.0,3.0,9.0,-6.0,12.0,3.0,1.5,1.0,3.0,-2.0,4.0,1.0,0.5,1.0,4.0,-3.0,5.0,1.0,0.5,2.777,3.046,-0.269,0.912,3.046,2.777,2.912,1.388,6.562,7.881,-1.32,0.833,7.881,6.562,7.221,3.281,12.0,12.0,0.0,0.5,0.5,0.5,0.5,0.5,0.984,0.996,0.996,0.984,0.99,1.641,1.25,1.313,0.391,1.446,0.82,1.62,1.252,1.294,0.368,1.436,0.81,1.36,1.88,-0.52,0.723,1.88,1.36,1.62,0.68,1.5,1.72,-0.22,0.872,1.72,1.5,1.61,0.75,1814.15,1768.15,46.0,1.026,1814.15,1768.15,1791.15,907.075,2.99,8.9,-5.91,0.336,8.9,2.99,5.945,1.495,0.6,0.42,0.18,1.429,0.6,0.42,0.51,0.3,3.9,4.39,-0.49,0.888,4.39,3.9,4.145,1.95,56.6,182.0,-125.4,0.311,182.0,56.6,119.3,28.3
YGe,1.0,1.0,0.5,0.5,1.0,1.0,1.0,88.906,1.224,16.276,5.0,4.0,3.0,14.0,-11.0,12.0,79.0,-67.0,3.0,14.0,-11.0,17.0,3.0,1.5,1.0,2.0,-1.0,3.0,1.0,0.5,1.0,4.0,-3.0,5.0,1.0,0.5,3.379,3.046,0.333,1.109,3.379,3.046,3.212,1.69,6.217,7.899,-1.682,0.787,7.899,6.217,7.058,3.109,12.0,4.0,8.0,0.5,1.0,1.0,0.5,0.75,0.975,1.0,1.0,0.975,0.988,1.783,1.225,1.456,0.558,1.504,0.892,1.797,1.366,1.316,0.431,1.582,0.898,1.22,2.01,-0.79,0.607,2.01,1.22,1.615,0.61,1.41,1.99,-0.58,0.709,1.99,1.41,1.7,0.705,1796.15,1220.55,575.6,1.472,1796.15,1220.55,1508.35,898.075,4.47,5.32,-0.85,0.84,5.32,4.47,4.895,2.235,0.3,0.32,-0.02,0.938,0.32,0.3,0.31,0.15,4.37,3.85,0.52,1.135,4.37,3.85,4.11,2.185,41.2,77.2,-36.0,0.534,77.2,41.2,59.2,20.6
SmGa,1.0,1.0,0.5,0.5,1.0,1.0,1.0,150.36,2.157,80.637,6.0,4.0,3.0,13.0,-10.0,23.0,74.0,-51.0,8.0,13.0,-5.0,21.0,8.0,4.0,6.0,1.0,5.0,7.0,6.0,3.0,3.0,3.0,0.0,6.0,3.0,1.5,3.847,2.655,1.192,1.449,3.847,2.655,3.251,1.924,5.644,5.999,-0.356,0.941,5.999,5.644,5.822,2.822,12.0,7.0,5.0,0.5,0.143,0.5,0.143,0.321,0.99,0.897,0.99,0.897,0.944,1.793,1.243,1.442,0.55,1.518,0.896,1.85,1.408,1.314,0.442,1.629,0.925,1.17,1.81,-0.64,0.646,1.81,1.17,1.49,0.585,1.2,1.7,-0.5,0.706,1.7,1.2,1.45,0.6,1347.15,302.95,1044.2,4.447,1347.15,302.95,825.05,673.575,7.52,5.9,1.62,1.275,7.52,5.9,6.71,3.76,0.2,0.37,-0.17,0.541,0.37,0.2,0.285,0.1,2.14,2.81,-0.67,0.762,2.81,2.14,2.475,1.07,37.8,56.9,-19.1,0.664,56.9,37.8,47.35,18.9
GdNi,1.0,1.0,0.5,0.5,1.0,1.0,1.0,157.25,2.679,98.557,6.0,4.0,3.0,10.0,-7.0,27.0,61.0,-34.0,10.0,10.0,0.0,20.0,10.0,5.0,7.0,2.0,5.0,9.0,7.0,3.5,3.0,3.0,0.0,6.0,3.0,1.5,4.034,2.996,1.038,1.346,4.034,2.996,3.515,2.017,6.15,7.64,-1.49,0.805,7.64,6.15,6.895,3.075,12.0,12.0,0.0,0.5,1.0,1.0,0.5,0.75,0.983,1.0,1.0,0.983,0.992,1.787,1.246,1.434,0.541,1.516,0.894,1.795,1.244,1.443,0.551,1.519,0.898,1.2,1.91,-0.71,0.628,1.91,1.2,1.555,0.6,1.1,1.76,-0.66,0.625,1.76,1.1,1.43,0.55,1586.15,1726.15,-140.0,0.919,1726.15,1586.15,1656.15,793.075,7.9,8.9,-1.0,0.888,8.9,7.9,8.4,3.95,0.23,0.44,-0.21,0.523,0.44,0.23,0.335,0.115,4.14,4.44,-0.3,0.932,4.44,4.14,4.29,2.07,37.9,177.0,-139.1,0.214,177.0,37.9,107.45,18.95
FeSi,1.0,1.0,0.5,0.5,1.0,1.0,1.0,55.847,1.988,27.762,4.0,3.0,8.0,14.0,-6.0,55.0,78.0,-23.0,8.0,4.0,4.0,12.0,8.0,4.0,4.0,2.0,2.0,6.0,4.0,2.0,5.0,4.0,1.0,9.0,5.0,2.5,3.048,2.321,0.727,1.313,3.048,2.321,2.684,1.524,7.902,8.152,-0.249,0.969,8.152,7.902,8.027,3.951,14.0,4.0,10.0,0.571,1.0,1.0,0.571,0.786,0.866,1.0,1.0,0.866,0.933,1.242,1.176,1.056,0.066,1.209,0.621,1.26,1.316,0.957,-0.056,1.288,0.63,1.83,1.9,-0.07,0.963,1.9,1.83,1.865,0.915,1.67,1.98,-0.31,0.843,1.98,1.67,1.825,0.835,1808.15,1683.15,125.0,1.074,1808.15,1683.15,1745.65,904.075,7.86,2.33,5.53,3.373,7.86,2.33,5.095,3.93,0.44,0.71,-0.27,0.62,0.71,0.44,0.575,0.22,4.28,4.63,-0.35,0.924,4.63,4.28,4.455,2.14,166.0,98.0,68.0,1.694,166.0,98.0,132.0,83.0
