Formula,Structure,sum_Number,sum_MendeleevNumber,sum_AtomicWeight,sum_MeltingT,sum_Column,sum_Row,sum_CovalentRadius,sum_Electronegativity,sum_NsValence,sum_NpValence,sum_NdValence,sum_NfValence,sum_NValence,sum_NsUnfilled,sum_NpUnfilled,sum_NdUnfilled,sum_NfUnfilled,sum_NUnfilled,sum_GSvolume_pa,sum_GSbandgap,sum_GSmagmom,sum_SpaceGroupNumber,avg_Number,avg_MendeleevNumber,avg_AtomicWeight,avg_MeltingT,avg_Column,avg_Row,avg_CovalentRadius,avg_Electronegativity,avg_NsValence,avg_NpValence,avg_NdValence,avg_NfValence,avg_NValence,avg_NsUnfilled,avg_NpUnfilled,avg_NdUnfilled,avg_NfUnfilled,avg_NUnfilled,avg_GSvolume_pa,avg_GSbandgap,avg_GSmagmom,avg_SpaceGroupNumber,dev_Number,dev_MendeleevNumber,dev_AtomicWeight,dev_MeltingT,dev_Column,dev_Row,dev_CovalentRadius,dev_Electronegativity,dev_NsValence,dev_NpValence,dev_NdValence,dev_NfValence,dev_NValence,dev_NsUnfilled,dev_NpUnfilled,dev_NdUnfilled,dev_NfUnfilled,dev_NUnfilled,dev_GSvolume_pa,dev_GSbandgap,dev_GSmagmom,dev_SpaceGroupNumber,range_Number,range_MendeleevNumber,range_AtomicWeight,range_MeltingT,range_Column,range_Row,range_CovalentRadius,range_Electronegativity,range_NsValence,range_NpValence,range_NdValence,range_NfValence,range_NValence,range_NsUnfilled,range_NpUnfilled,range_NdUnfilled,range_NfUnfilled,range_NUnfilled,range_GSvolume_pa,range_GSbandgap,range_GSmagmom,range_SpaceGroupNumber,max_Number,max_MendeleevNumber,max_AtomicWeight,max_MeltingT,max_Column,max_Row,max_CovalentRadius,max_Electronegativity,max_NsValence,max_NpValence,max_NdValence,max_NfValence,max_NValence,max_NsUnfilled,max_NpUnfilled,max_NdUnfilled,max_NfUnfilled,max_NUnfilled,max_GSvolume_pa,max_GSbandgap,max_GSmagmom,max_SpaceGroupNumber,min_Number,min_MendeleevNumber,min_AtomicWeight,min_MeltingT,min_Column,min_Row,min_CovalentRadius,min_Electronegativity,min_NsValence,min_NpValence,min_NdValence,min_NfValence,min_NValence,min_NsUnfilled,min_NpUnfilled,min_NdUnfilled,min_NfUnfilled,min_NUnfilled,min_GSvolume_pa,min_GSbandgap,min_GSmagmom,min_SpaceGroupNumber,mode_Number,mode_MendeleevNumber,mode_AtomicWeight,mode_MeltingT,mode_Column,mode_Row,mode_CovalentRadius,mode_Electronegativity,mode_NsValence,mode_NpValence,mode_NdValence,mode_NfValence,mode_NValence,mode_NsUnfilled,mode_NpUnfilled,mode_NdUnfilled,mode_NfUnfilled,mode_NUnfilled,mode_GSvolume_pa,mode_GSbandgap,mode_GSmagmom,mode_SpaceGroupNumber
GdGe,TlI,96.0,106.0,229.89,2797.4,17.0,10.0,316.0,3.21,4.0,2.0,11.0,7.0,24.0,0.0,4.0,9.0,7.0,20.0,55.05499999999999,0.383,0.0,419.0,48.0,53.0,114.945,1398.7,8.5,5.0,158.0,1.605,2.0,1.0,5.5,3.5,12.0,0.0,2.0,4.5,3.5,10.0,27.527499999999996,0.1915,0.0,209.5,16.0,26.0,42.305,187.29999999999995,5.5,1.0,38.0,0.4049999999999999,0.0,1.0,4.5,3.5,2.0,0.0,2.0,4.5,3.5,6.0,4.522499999999999,0.1915,0.0,15.5,32.0,52.0,84.61,374.5999999999999,11.0,2.0,76.0,0.8099999999999998,0.0,2.0,9.0,7.0,4.0,0.0,4.0,9.0,7.0,12.0,9.044999999999998,0.383,0.0,31.0,64.0,79.0,157.25,1586.0,14.0,6.0,196.0,2.01,2.0,2.0,10.0,7.0,14.0,0.0,4.0,9.0,7.0,16.0,32.05,0.383,0.0,225.0,32.0,27.0,72.64,1211.4,3.0,4.0,120.0,1.2,2.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,4.0,23.005,0.0,0.0,194.0,32.0,27.0,72.64,1211.4,3.0,4.0,120.0,1.2,2.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,4.0,23.005,0.0,0.0,194.0
HoGe,TlI,99.0,112.0,237.57031999999998,2958.4,17.0,10.0,312.0,3.2399999999999998,4.0,2.0,10.0,11.0,27.0,0.0,4.0,0.0,3.0,7.0,53.7383333333,0.383,0.0,419.0,49.5,56.0,118.78515999999999,1479.2,8.5,5.0,156.0,1.6199999999999999,2.0,1.0,5.0,5.5,13.5,0.0,2.0,0.0,1.5,3.5,26.86916666665,0.1915,0.0,209.5,17.5,23.0,46.14516,267.79999999999995,5.5,1.0,36.0,0.3899999999999999,0.0,1.0,5.0,5.5,0.5,0.0,2.0,0.0,1.5,0.5,3.86416666665,0.1915,0.0,15.5,35.0,46.0,92.29032,535.5999999999999,11.0,2.0,72.0,0.7799999999999998,0.0,2.0,10.0,11.0,1.0,0.0,4.0,0.0,3.0,1.0,7.7283333333,0.383,0.0,31.0,67.0,79.0,164.93032,1747.0,14.0,6.0,192.0,2.01,2.0,2.0,10.0,11.0,14.0,0.0,4.0,0.0,3.0,4.0,30.7333333333,0.383,0.0,225.0,32.0,33.0,72.64,1211.4,3.0,4.0,120.0,1.23,2.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,3.0,23.005,0.0,0.0,194.0,32.0,33.0,72.64,1211.4,3.0,4.0,120.0,1.23,2.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,3.0,23.005,0.0,0.0,194.0
FeSi,FeSi,40.0,133.0,83.9305,3498.0,22.0,7.0,243.0,3.73,4.0,2.0,6.0,0.0,12.0,0.0,4.0,4.0,0.0,8.0,31.17,0.773,2.1106628,456.0,20.0,66.5,41.96525,1749.0,11.0,3.5,121.5,1.865,2.0,1.0,3.0,0.0,6.0,0.0,2.0,2.0,0.0,4.0,15.585,0.3865,1.0553314,228.0,6.0,11.5,13.87975,62.0,3.0,0.5,10.5,0.03499999999999992,0.0,1.0,3.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,4.855,0.3865,1.0553314,1.0,12.0,23.0,27.7595,124.0,6.0,1.0,21.0,0.06999999999999984,0.0,2.0,6.0,0.0,4.0,0.0,4.0,4.0,0.0,0.0,9.71,0.773,2.1106628,2.0,26.0,78.0,55.845,1811.0,14.0,4.0,132.0,1.9,2.0,2.0,6.0,0.0,8.0,0.0,4.0,4.0,0.0,4.0,20.44,0.773,2.1106628,229.0,14.0,55.0,28.0855,1687.0,8.0,3.0,111.0,1.83,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,10.73,0.0,0.0,227.0,14.0,55.0,28.0855,1687.0,8.0,3.0,111.0,1.83,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,10.73,0.0,0.0,227.0
FeSi,FeSi,40.0,133.0,83.9305,3498.0,22.0,7.0,243.0,3.73,4.0,2.0,6.0,0.0,12.0,0.0,4.0,4.0,0.0,8.0,31.17,0.773,2.1106628,456.0,20.0,66.5,41.96525,1749.0,11.0,3.5,121.5,1.865,2.0,1.0,3.0,0.0,6.0,0.0,2.0,2.0,0.0,4.0,15.585,0.3865,1.0553314,228.0,6.0,11.5,13.87975,62.0,3.0,0.5,10.5,0.03499999999999992,0.0,1.0,3.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,4.855,0.3865,1.0553314,1.0,12.0,23.0,27.7595,124.0,6.0,1.0,21.0,0.06999999999999984,0.0,2.0,6.0,0.0,4.0,0.0,4.0,4.0,0.0,0.0,9.71,0.773,2.1106628,2.0,26.0,78.0,55.845,1811.0,14.0,4.0,132.0,1.9,2.0,2.0,6.0,0.0,8.0,0.0,4.0,4.0,0.0,4.0,20.44,0.773,2.1106628,229.0,14.0,55.0,28.0855,1687.0,8.0,3.0,111.0,1.83,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,10.73,0.0,0.0,227.0,14.0,55.0,28.0855,1687.0,8.0,3.0,111.0,1.83,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,10.73,0.0,0.0,227.0
EuGe,TlI,95.0,104.0,224.60399999999998,2306.4,17.0,10.0,318.0,3.195,4.0,2.0,10.0,7.0,23.0,0.0,4.0,0.0,7.0,11.0,59.465,0.383,0.0,454.0,47.5,52.0,112.30199999999999,1153.2,8.5,5.0,159.0,1.5975,2.0,1.0,5.0,3.5,11.5,0.0,2.0,0.0,3.5,5.5,29.7325,0.1915,0.0,227.0,15.5,27.0,39.662,58.200000000000045,5.5,1.0,39.0,0.41249999999999987,0.0,1.0,5.0,3.5,2.5,0.0,2.0,0.0,3.5,1.5,6.727500000000001,0.1915,0.0,2.0,31.0,54.0,79.324,116.40000000000009,11.0,2.0,78.0,0.8249999999999997,0.0,2.0,10.0,7.0,5.0,0.0,4.0,0.0,7.0,3.0,13.455000000000002,0.383,0.0,4.0,63.0,79.0,151.964,1211.4,14.0,6.0,198.0,2.01,2.0,2.0,10.0,7.0,14.0,0.0,4.0,0.0,7.0,7.0,36.46,0.383,0.0,229.0,32.0,25.0,72.64,1095.0,3.0,4.0,120.0,1.185,2.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,4.0,23.005,0.0,0.0,225.0,32.0,25.0,72.64,1095.0,3.0,4.0,120.0,1.185,2.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,4.0,23.005,0.0,0.0,225.0
DySb,NaCl,117.0,116.0,284.26,2588.7799999999997,18.0,11.0,331.0,3.2699999999999996,4.0,3.0,10.0,10.0,27.0,0.0,3.0,0.0,4.0,7.0,62.8,0.0,0.0,360.0,58.5,58.0,142.13,1294.3899999999999,9.0,5.5,165.5,1.6349999999999998,2.0,1.5,5.0,5.0,13.5,0.0,1.5,0.0,2.0,3.5,31.4,0.0,0.0,180.0,7.5,27.0,20.369999999999997,390.61,6.0,0.5,26.5,0.4149999999999999,0.0,1.5,5.0,5.0,1.5,0.0,1.5,0.0,2.0,0.5,0.16000000000000014,0.0,0.0,14.0,15.0,54.0,40.739999999999995,781.22,12.0,1.0,53.0,0.8299999999999998,0.0,3.0,10.0,10.0,3.0,0.0,3.0,0.0,4.0,1.0,0.3200000000000003,0.0,0.0,28.0,66.0,85.0,162.5,1685.0,15.0,6.0,192.0,2.05,2.0,3.0,10.0,10.0,15.0,0.0,3.0,0.0,4.0,4.0,31.56,0.0,0.0,194.0,51.0,31.0,121.76,903.78,3.0,5.0,139.0,1.22,2.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,3.0,31.24,0.0,0.0,166.0,51.0,31.0,121.76,903.78,3.0,5.0,139.0,1.22,2.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,3.0,31.24,0.0,0.0,166.0
CoSi,CsCl,41.0,136.0,87.018695,3455.0,23.0,7.0,237.0,3.78,4.0,2.0,7.0,0.0,13.0,0.0,4.0,3.0,0.0,7.0,30.685000000000002,0.773,1.5484712,421.0,20.5,68.0,43.5093475,1727.5,11.5,3.5,118.5,1.89,2.0,1.0,3.5,0.0,6.5,0.0,2.0,1.5,0.0,3.5,15.342500000000001,0.3865,0.7742356,210.5,6.5,10.0,15.423847499999999,40.5,2.5,0.5,7.5,0.010000000000000009,0.0,1.0,3.5,0.0,2.5,0.0,2.0,1.5,0.0,0.5,5.097500000000001,0.3865,0.7742356,16.5,13.0,20.0,30.847694999999998,81.0,5.0,1.0,15.0,0.020000000000000018,0.0,2.0,7.0,0.0,5.0,0.0,4.0,3.0,0.0,1.0,10.195000000000002,0.773,1.5484712,33.0,27.0,78.0,58.933195,1768.0,14.0,4.0,126.0,1.9,2.0,2.0,7.0,0.0,9.0,0.0,4.0,3.0,0.0,4.0,20.44,0.773,1.5484712,227.0,14.0,58.0,28.0855,1687.0,9.0,3.0,111.0,1.88,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,10.245,0.0,0.0,194.0,14.0,58.0,28.0855,1687.0,9.0,3.0,111.0,1.88,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,10.245,0.0,0.0,194.0
HoGa,TlI,98.0,107.0,234.65332,2049.91,16.0,10.0,314.0,3.04,4.0,1.0,10.0,11.0,26.0,0.0,5.0,0.0,3.0,8.0,49.5908333333,0.0,0.0,258.0,49.0,53.5,117.32666,1024.955,8.0,5.0,157.0,1.52,2.0,0.5,5.0,5.5,13.0,0.0,2.5,0.0,1.5,4.0,24.79541666665,0.0,0.0,129.0,18.0,20.5,47.60366,722.045,5.0,1.0,35.0,0.29000000000000004,0.0,0.5,5.0,5.5,0.0,0.0,2.5,0.0,1.5,1.0,5.937916666649999,0.0,0.0,65.0,36.0,41.0,95.20732,1444.09,10.0,2.0,70.0,0.5800000000000001,0.0,1.0,10.0,11.0,0.0,0.0,5.0,0.0,3.0,2.0,11.875833333299997,0.0,0.0,130.0,67.0,74.0,164.93032,1747.0,13.0,6.0,192.0,1.81,2.0,1.0,10.0,11.0,13.0,0.0,5.0,0.0,3.0,5.0,30.7333333333,0.0,0.0,194.0,31.0,33.0,69.723,302.91,3.0,4.0,122.0,1.23,2.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,3.0,18.8575,0.0,0.0,64.0,31.0,33.0,69.723,302.91,3.0,4.0,122.0,1.23,2.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,3.0,18.8575,0.0,0.0,64.0
GaSb,ZnS,82.0,159.0,191.483,1206.69,28.0,9.0,261.0,3.86,4.0,4.0,20.0,0.0,28.0,0.0,8.0,0.0,0.0,8.0,50.417500000000004,0.0,0.0,230.0,41.0,79.5,95.7415,603.345,14.0,4.5,130.5,1.93,2.0,2.0,10.0,0.0,14.0,0.0,4.0,0.0,0.0,4.0,25.208750000000002,0.0,0.0,115.0,10.0,5.5,26.018500000000003,300.43499999999995,1.0,0.5,8.5,0.11999999999999988,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,6.3512499999999985,0.0,0.0,51.0,20.0,11.0,52.037000000000006,600.8699999999999,2.0,1.0,17.0,0.23999999999999977,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,12.702499999999997,0.0,0.0,102.0,51.0,85.0,121.76,903.78,15.0,5.0,139.0,2.05,2.0,3.0,10.0,0.0,15.0,0.0,5.0,0.0,0.0,5.0,31.56,0.0,0.0,166.0,31.0,74.0,69.723,302.91,13.0,4.0,122.0,1.81,2.0,1.0,10.0,0.0,13.0,0.0,3.0,0.0,0.0,3.0,18.8575,0.0,0.0,64.0,31.0,74.0,69.723,302.91,13.0,4.0,122.0,1.81,2.0,1.0,10.0,0.0,13.0,0.0,3.0,0.0,0.0,3.0,18.8575,0.0,0.0,64.0
CeGa,TlI,89.0,89.0,209.839,1373.91,16.0,10.0,326.0,2.93,4.0,1.0,11.0,1.0,17.0,0.0,5.0,9.0,13.0,27.0,56.097500000000004,0.0,0.0,258.0,44.5,44.5,104.9195,686.955,8.0,5.0,163.0,1.465,2.0,0.5,5.5,0.5,8.5,0.0,2.5,4.5,6.5,13.5,28.048750000000002,0.0,0.0,129.0,13.5,29.5,35.19650000000001,384.04499999999996,5.0,1.0,41.0,0.345,0.0,0.5,4.5,0.5,4.5,0.0,2.5,4.5,6.5,8.5,9.19125,0.0,0.0,65.0,27.0,59.0,70.39300000000001,768.0899999999999,10.0,2.0,82.0,0.69,0.0,1.0,9.0,1.0,9.0,0.0,5.0,9.0,13.0,17.0,18.3825,0.0,0.0,130.0,58.0,74.0,140.116,1071.0,13.0,6.0,204.0,1.81,2.0,1.0,10.0,1.0,13.0,0.0,5.0,9.0,13.0,22.0,37.24,0.0,0.0,194.0,31.0,15.0,69.723,302.91,3.0,4.0,122.0,1.12,2.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,18.8575,0.0,0.0,64.0,31.0,15.0,69.723,302.91,3.0,4.0,122.0,1.12,2.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,18.8575,0.0,0.0,64.0
GdSb,NaCl,115.0,112.0,279.01,2489.7799999999997,18.0,11.0,335.0,3.25,4.0,3.0,11.0,7.0,25.0,0.0,3.0,9.0,7.0,19.0,63.61,0.0,0.0,360.0,57.5,56.0,139.505,1244.8899999999999,9.0,5.5,167.5,1.625,2.0,1.5,5.5,3.5,12.5,0.0,1.5,4.5,3.5,9.5,31.805,0.0,0.0,180.0,6.5,29.0,17.744999999999997,341.11,6.0,0.5,28.5,0.42499999999999993,0.0,1.5,4.5,3.5,2.5,0.0,1.5,4.5,3.5,6.5,0.24499999999999922,0.0,0.0,14.0,13.0,58.0,35.489999999999995,682.22,12.0,1.0,57.0,0.8499999999999999,0.0,3.0,9.0,7.0,5.0,0.0,3.0,9.0,7.0,13.0,0.48999999999999844,0.0,0.0,28.0,64.0,85.0,157.25,1586.0,15.0,6.0,196.0,2.05,2.0,3.0,10.0,7.0,15.0,0.0,3.0,9.0,7.0,16.0,32.05,0.0,0.0,194.0,51.0,27.0,121.76,903.78,3.0,5.0,139.0,1.2,2.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,3.0,31.56,0.0,0.0,166.0,51.0,27.0,121.76,903.78,3.0,5.0,139.0,1.2,2.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,3.0,31.56,0.0,0.0,166.0
LaPt,TlI,135.0,76.0,333.98947,3234.4,13.0,12.0,343.0,3.38,3.0,0.0,10.0,14.0,27.0,1.0,0.0,10.0,0.0,11.0,51.917500000000004,0.0,0.0,419.0,67.5,38.0,166.994735,1617.2,6.5,6.0,171.5,1.69,1.5,0.0,5.0,7.0,13.5,0.5,0.0,5.0,0.0,5.5,25.958750000000002,0.0,0.0,209.5,10.5,25.0,28.089264999999997,424.20000000000005,3.5,0.0,35.5,0.5899999999999999,0.5,0.0,4.0,7.0,10.5,0.5,0.0,4.0,0.0,3.5,10.93875,0.0,0.0,15.5,21.0,50.0,56.178529999999995,848.4000000000001,7.0,0.0,71.0,1.1799999999999997,1.0,0.0,8.0,14.0,21.0,1.0,0.0,8.0,0.0,7.0,21.8775,0.0,0.0,31.0,78.0,63.0,195.084,2041.4,10.0,6.0,207.0,2.28,2.0,0.0,9.0,14.0,24.0,1.0,0.0,9.0,0.0,9.0,36.8975,0.0,0.0,225.0,57.0,13.0,138.90547,1193.0,3.0,6.0,136.0,1.1,1.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,15.02,0.0,0.0,194.0,57.0,13.0,138.90547,1193.0,3.0,6.0,136.0,1.1,1.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,15.02,0.0,0.0,194.0
NiSi,FeAs,42.0,139.0,86.7789,3415.0,24.0,7.0,235.0,3.8099999999999996,4.0,2.0,8.0,0.0,14.0,0.0,4.0,2.0,0.0,6.0,30.76,0.773,0.5953947,452.0,21.0,69.5,43.38945,1707.5,12.0,3.5,117.5,1.9049999999999998,2.0,1.0,4.0,0.0,7.0,0.0,2.0,1.0,0.0,3.0,15.38,0.3865,0.29769735,226.0,7.0,8.5,15.303949999999999,20.5,2.0,0.5,6.5,0.0050000000000000044,0.0,1.0,4.0,0.0,3.0,0.0,2.0,1.0,0.0,1.0,5.0600000000000005,0.3865,0.29769735,1.0,14.0,17.0,30.607899999999997,41.0,4.0,1.0,13.0,0.010000000000000009,0.0,2.0,8.0,0.0,6.0,0.0,4.0,2.0,0.0,2.0,10.120000000000001,0.773,0.5953947,2.0,28.0,78.0,58.6934,1728.0,14.0,4.0,124.0,1.91,2.0,2.0,8.0,0.0,10.0,0.0,4.0,2.0,0.0,4.0,20.44,0.773,0.5953947,227.0,14.0,61.0,28.0855,1687.0,10.0,3.0,111.0,1.9,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,10.32,0.0,0.0,225.0,14.0,61.0,28.0855,1687.0,10.0,3.0,111.0,1.9,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,10.32,0.0,0.0,225.0
DyPt,FeB-b,144.0,94.0,357.584,3726.4,13.0,12.0,328.0,3.5,3.0,0.0,9.0,24.0,36.0,1.0,0.0,1.0,4.0,6.0,46.26,0.0,0.0,419.0,72.0,47.0,178.792,1863.2,6.5,6.0,164.0,1.75,1.5,0.0,4.5,12.0,18.0,0.5,0.0,0.5,2.0,3.0,23.13,0.0,0.0,209.5,6.0,16.0,16.292,178.20000000000005,3.5,0.0,28.0,0.5299999999999999,0.5,0.0,4.5,2.0,6.0,0.5,0.0,0.5,2.0,1.0,8.11,0.0,0.0,15.5,12.0,32.0,32.584,356.4000000000001,7.0,0.0,56.0,1.0599999999999998,1.0,0.0,9.0,4.0,12.0,1.0,0.0,1.0,4.0,2.0,16.22,0.0,0.0,31.0,78.0,63.0,195.084,2041.4,10.0,6.0,192.0,2.28,2.0,0.0,9.0,14.0,24.0,1.0,0.0,1.0,4.0,4.0,31.24,0.0,0.0,225.0,66.0,31.0,162.5,1685.0,3.0,6.0,136.0,1.22,1.0,0.0,0.0,10.0,12.0,0.0,0.0,0.0,0.0,2.0,15.02,0.0,0.0,194.0,66.0,31.0,162.5,1685.0,3.0,6.0,136.0,1.22,1.0,0.0,0.0,10.0,12.0,0.0,0.0,0.0,0.0,2.0,15.02,0.0,0.0,194.0
HoNi,FeB-b,95.0,94.0,223.62372,3475.0,13.0,10.0,316.0,3.1399999999999997,4.0,0.0,8.0,11.0,23.0,0.0,0.0,2.0,3.0,5.0,41.0533333333,0.0,0.5953947,419.0,47.5,47.0,111.81186,1737.5,6.5,5.0,158.0,1.5699999999999998,2.0,0.0,4.0,5.5,11.5,0.0,0.0,1.0,1.5,2.5,20.52666666665,0.0,0.29769735,209.5,19.5,14.0,53.11846,9.5,3.5,1.0,34.0,0.33999999999999997,0.0,0.0,4.0,5.5,1.5,0.0,0.0,1.0,1.5,0.5,10.20666666665,0.0,0.29769735,15.5,39.0,28.0,106.23692,19.0,7.0,2.0,68.0,0.6799999999999999,0.0,0.0,8.0,11.0,3.0,0.0,0.0,2.0,3.0,1.0,20.4133333333,0.0,0.5953947,31.0,67.0,61.0,164.93032,1747.0,10.0,6.0,192.0,1.91,2.0,0.0,8.0,11.0,13.0,0.0,0.0,2.0,3.0,3.0,30.7333333333,0.0,0.5953947,225.0,28.0,33.0,58.6934,1728.0,3.0,4.0,124.0,1.23,2.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,2.0,10.32,0.0,0.0,194.0,28.0,33.0,58.6934,1728.0,3.0,4.0,124.0,1.23,2.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,2.0,10.32,0.0,0.0,194.0
TbRh,CsCl,110.0,88.0,261.83085,3866.0,12.0,11.0,336.0,3.4899999999999998,3.0,0.0,8.0,9.0,20.0,1.0,0.0,2.0,5.0,8.0,45.376666666700004,0.0,0.0,419.0,55.0,44.0,130.915425,1933.0,6.0,5.5,168.0,1.7449999999999999,1.5,0.0,4.0,4.5,10.0,0.5,0.0,1.0,2.5,4.0,22.688333333350002,0.0,0.0,209.5,10.0,15.0,28.009925000000003,304.0,3.0,0.5,26.0,0.5349999999999999,0.5,0.0,4.0,4.5,1.0,0.5,0.0,1.0,2.5,1.0,9.04833333335,0.0,0.0,15.5,20.0,30.0,56.019850000000005,608.0,6.0,1.0,52.0,1.0699999999999998,1.0,0.0,8.0,9.0,2.0,1.0,0.0,2.0,5.0,2.0,18.0966666667,0.0,0.0,31.0,65.0,59.0,158.92535,2237.0,9.0,6.0,194.0,2.28,2.0,0.0,8.0,9.0,11.0,1.0,0.0,2.0,5.0,5.0,31.7366666667,0.0,0.0,225.0,45.0,29.0,102.9055,1629.0,3.0,5.0,142.0,1.21,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,3.0,13.64,0.0,0.0,194.0,45.0,29.0,102.9055,1629.0,3.0,5.0,142.0,1.21,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,3.0,13.64,0.0,0.0,194.0
ScSb,NaCl,72.0,96.0,166.715912,2717.7799999999997,18.0,9.0,309.0,3.41,4.0,3.0,11.0,0.0,18.0,0.0,3.0,9.0,0.0,12.0,53.795,0.0,6.35e-06,360.0,36.0,48.0,83.357956,1358.8899999999999,9.0,4.5,154.5,1.705,2.0,1.5,5.5,0.0,9.0,0.0,1.5,4.5,0.0,6.0,26.8975,0.0,3.175e-06,180.0,15.0,37.0,38.402044000000004,455.11,6.0,0.5,15.5,0.34499999999999986,0.0,1.5,4.5,0.0,6.0,0.0,1.5,4.5,0.0,3.0,4.6625,0.0,3.175e-06,14.0,30.0,74.0,76.80408800000001,910.22,12.0,1.0,31.0,0.6899999999999997,0.0,3.0,9.0,0.0,12.0,0.0,3.0,9.0,0.0,6.0,9.325,0.0,6.35e-06,28.0,51.0,85.0,121.76,1814.0,15.0,5.0,170.0,2.05,2.0,3.0,10.0,0.0,15.0,0.0,3.0,9.0,0.0,9.0,31.56,0.0,6.35e-06,194.0,21.0,11.0,44.955912,903.78,3.0,4.0,139.0,1.36,2.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,22.235,0.0,0.0,166.0,21.0,11.0,44.955912,903.78,3.0,4.0,139.0,1.36,2.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,22.235,0.0,0.0,166.0
YGe,TlI,71.0,91.0,161.54585,3010.4,17.0,9.0,310.0,3.2299999999999995,4.0,2.0,11.0,0.0,17.0,0.0,4.0,9.0,0.0,13.0,55.370000000000005,0.383,0.0,419.0,35.5,45.5,80.772925,1505.2,8.5,4.5,155.0,1.6149999999999998,2.0,1.0,5.5,0.0,8.5,0.0,2.0,4.5,0.0,6.5,27.685000000000002,0.1915,0.0,209.5,3.5,33.5,8.132925,293.79999999999995,5.5,0.5,35.0,0.3949999999999999,0.0,1.0,4.5,0.0,5.5,0.0,2.0,4.5,0.0,2.5,4.6800000000000015,0.1915,0.0,15.5,7.0,67.0,16.26585,587.5999999999999,11.0,1.0,70.0,0.7899999999999998,0.0,2.0,9.0,0.0,11.0,0.0,4.0,9.0,0.0,5.0,9.360000000000003,0.383,0.0,31.0,39.0,79.0,88.90585,1799.0,14.0,5.0,190.0,2.01,2.0,2.0,10.0,0.0,14.0,0.0,4.0,9.0,0.0,9.0,32.365,0.383,0.0,225.0,32.0,12.0,72.64,1211.4,3.0,4.0,120.0,1.22,2.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,23.005,0.0,0.0,194.0,32.0,12.0,72.64,1211.4,3.0,4.0,120.0,1.22,2.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,23.005,0.0,0.0,194.0
