,precision,recall,f1-score,support
CsCl,0.978,1.0,0.989,136.0
CuAu,1.0,0.919,0.958,37.0
FeAs,1.0,0.987,0.994,78.0
FeB-b,0.985,0.985,0.985,197.0
FeSi,0.994,1.0,0.997,162.0
NaCl,1.0,1.0,1.0,227.0
NiAs,1.0,1.0,1.0,83.0
TlI,0.993,0.993,0.993,401.0
ZnS,1.0,1.0,1.0,89.0
accuracy,0.993,0.993,0.993,0.993
macro avg,0.994,0.987,0.991,1410.0
weighted avg,0.993,0.993,0.993,1410.0
