,precision,recall,f1-score,support
CsCl,0.935,0.213,0.347,136.0
CuAu,0.264,0.378,0.311,37.0
FeAs,0.383,0.628,0.476,78.0
FeB-b,0.198,0.122,0.151,197.0
FeSi,0.44,0.753,0.556,162.0
NaCl,0.5,0.709,0.587,227.0
NiAs,0.212,0.554,0.307,83.0
TlI,0.751,0.317,0.446,401.0
ZnS,0.793,0.82,0.807,89.0
accuracy,0.457,0.457,0.457,0.457
macro avg,0.498,0.499,0.443,1410.0
weighted avg,0.553,0.457,0.443,1410.0
