n_component,accuracy
2,0.25177304964539005
3,0.23049645390070922
4,0.22340425531914893
5,0.31134751773049646
6,0.4078014184397163
7,0.39787234042553193
8,0.4319148936170213
9,0.45673758865248226
10,0.44113475177304967
