,Component_1 (18.058%),Component_2 (7.428%),Component_3 (9.389%),Component_4 (4.083%),Component_5 (3.959%),Component_6 (2.898%),Component_7 (3.207%),Component_8 (1.371%),Component_9 (2.111%)
min_1st_ionization_potential_(kJ/mol),0.069,-0.048,-0.037,0.131,-0.078,-0.076,0.072,0.019,0.03
min_polarizability(A^3),0.021,0.096,-0.01,-0.116,-0.006,-0.062,-0.069,-0.001,0.032
min_Melting_point_(K),0.095,0.052,-0.006,0.048,0.07,0.109,0.021,-0.054,0.007
min_Boiling_Point_(K),0.034,-0.107,0.109,0.038,0.042,0.031,-0.028,-0.029,-0.059
min_Density_(g/mL),0.0,-0.036,0.086,-0.018,-0.085,0.013,-0.034,0.017,0.024
min_specific_heat_(J/g_K)_,0.041,0.019,-0.076,0.105,-0.023,-0.084,-0.004,-0.104,-0.046
min_heat_of_fusion_(kJ/mol)_,0.071,0.013,-0.011,0.119,-0.03,0.042,0.031,0.103,-0.016
min_heat_of_vaporization_(kJ/mol)_,0.07,-0.044,0.039,0.004,0.104,0.02,-0.04,-0.006,-0.027
min_thermal_conductivity_(W/(m_K))_,0.09,0.016,-0.082,-0.013,0.021,-0.015,0.035,-0.017,0.034
min_heat_atomization(kJ/mol),0.058,-0.076,0.038,0.064,0.063,0.087,-0.045,-0.017,-0.057
min_Cohesive_energy,0.056,-0.08,0.043,0.073,0.057,0.093,-0.038,-0.028,-0.046
mode_Atomic_Number,-0.028,-0.003,0.062,-0.011,-0.109,0.022,0.04,0.004,-0.051
mode_Atomic_Weight,-0.028,-0.003,0.061,-0.007,-0.109,0.022,0.047,0.004,-0.054
mode_Period,-0.013,0.01,0.058,-0.036,-0.1,0.031,0.015,0.009,-0.069
mode_group,0.007,-0.113,-0.051,-0.072,-0.018,0.021,-0.023,0.013,0.02
mode_families,-0.003,-0.126,-0.041,-0.05,-0.033,-0.015,0.028,-0.072,0.069
mode_Metal,0.067,0.024,0.068,-0.045,-0.012,-0.079,-0.078,-0.004,0.032
mode_Nonmetal,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0
mode_Metalliod,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0
mode_Mendeleev_Number,0.022,-0.074,-0.062,-0.075,-0.019,-0.012,-0.002,0.044,0.062
mode_l_quantum_number,0.074,-0.004,0.091,0.035,-0.03,0.002,0.018,-0.157,0.1
mode_Atomic_Radius,0.05,0.015,0.08,-0.048,-0.054,0.0,-0.021,-0.04,-0.025
mode_Miracle_Radius_,-0.03,0.061,0.001,-0.049,-0.105,0.033,-0.019,-0.015,0.0
mode_Covalent_Radius,-0.015,0.089,-0.018,-0.141,-0.053,0.048,-0.026,0.007,-0.038
mode_Zunger_radii_sum,0.053,0.006,0.092,-0.0,-0.065,0.023,-0.02,-0.057,-0.008
mode_ionic_radius,-0.012,0.066,0.004,-0.108,-0.07,0.057,-0.073,0.024,0.001
mode_crystal_radius,-0.026,0.048,0.022,-0.045,-0.109,-0.005,-0.013,-0.039,0.013
mode_Pauling_Electronegativity,0.047,-0.079,-0.061,-0.021,-0.031,-0.008,-0.004,0.05,0.0
mode_MB_electonegativity,0.046,-0.083,-0.049,-0.002,-0.039,0.004,-0.015,0.056,-0.035
mode_Gordy_electonegativity,-0.05,0.055,-0.011,-0.091,0.01,0.03,0.065,0.084,-0.018
mode_Mulliken_EN,0.065,-0.053,-0.04,0.085,-0.054,-0.024,0.02,0.096,-0.019
mode_Allred-Rockow_electronegativity,0.039,-0.081,-0.062,0.008,-0.039,-0.013,-0.009,0.015,0.013
mode_metallic_valence,0.09,0.003,-0.05,-0.087,0.059,0.009,0.046,-0.071,0.053
mode_number_of_valence_electrons,0.081,0.025,-0.067,-0.101,0.025,-0.02,0.05,-0.013,0.051
mode_gilmor_number_of_valence_electron,0.023,-0.007,-0.044,0.043,-0.035,-0.077,0.073,0.032,0.059
mode_valence_s,-0.064,0.028,-0.047,0.068,0.017,0.03,-0.074,-0.009,0.136
mode_valence_p,-0.085,-0.16,0.025,-0.063,-0.026,0.017,0.019,-0.14,0.073
mode_valence_d,-0.021,-0.126,0.015,-0.095,-0.031,0.064,-0.045,0.046,0.008
mode_valence_f,0.037,0.033,0.024,-0.006,-0.017,0.029,0.028,0.039,-0.072
mode_Number_of_unfilled_s_valence_electrons,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0
mode_Number_of_unfilled_p_valence_electrons,0.086,0.019,0.07,-0.03,0.041,-0.047,-0.048,-0.044,0.026
mode_Number_of_unfilled_d_valence_electrons,-0.061,-0.069,0.046,0.041,0.093,-0.138,0.077,-0.009,-0.015
mode_Number_of_unfilled_f_valence_electrons,-0.016,-0.031,-0.056,0.012,0.0,0.007,-0.059,-0.107,-0.112
mode_outer_shell_electrons,-0.064,0.028,-0.047,0.068,0.017,0.03,-0.074,-0.009,0.136
mode_1st_ionization_potential_(kJ/mol),0.069,-0.048,-0.037,0.131,-0.078,-0.076,0.072,0.019,0.03
mode_polarizability(A^3),0.021,0.096,-0.01,-0.116,-0.006,-0.062,-0.069,-0.001,0.032
mode_Melting_point_(K),0.095,0.052,-0.006,0.048,0.07,0.109,0.021,-0.054,0.007
mode_Boiling_Point_(K),0.034,-0.107,0.109,0.038,0.042,0.031,-0.028,-0.029,-0.059
mode_Density_(g/mL),0.0,-0.036,0.086,-0.018,-0.085,0.013,-0.034,0.017,0.024
mode_specific_heat_(J/g_K)_,0.041,0.019,-0.076,0.105,-0.023,-0.084,-0.004,-0.104,-0.046
mode_heat_of_fusion_(kJ/mol)_,0.071,0.013,-0.011,0.119,-0.03,0.042,0.031,0.103,-0.016
mode_heat_of_vaporization_(kJ/mol)_,0.07,-0.044,0.039,0.004,0.104,0.02,-0.04,-0.006,-0.027
mode_thermal_conductivity_(W/(m_K))_,0.09,0.016,-0.082,-0.013,0.021,-0.015,0.035,-0.017,0.034
mode_heat_atomization(kJ/mol),0.058,-0.076,0.038,0.064,0.063,0.087,-0.045,-0.017,-0.057
mode_Cohesive_energy,0.056,-0.08,0.043,0.073,0.057,0.093,-0.038,-0.028,-0.046
