,Component_1 (18.058%),Component_2 (7.428%),Component_3 (9.389%),Component_4 (4.083%),Component_5 (3.959%),Component_6 (2.898%),Component_7 (3.207%),Component_8 (1.371%),Component_9 (2.111%)
avg_ionic_radius,-0.058,0.047,0.069,-0.014,-0.033,0.037,-0.032,-0.022,-0.014
avg_crystal_radius,-0.065,0.023,0.07,-0.016,-0.059,0.014,-0.011,-0.033,-0.017
avg_Pauling_Electronegativity,0.06,-0.072,-0.042,-0.053,-0.036,0.01,0.058,0.015,-0.009
avg_MB_electonegativity,0.019,-0.08,-0.054,0.007,-0.058,0.031,0.059,-0.001,-0.04
avg_Gordy_electonegativity,-0.017,-0.014,0.054,-0.036,-0.024,0.036,0.081,0.116,0.051
avg_Mulliken_EN,0.055,-0.056,-0.023,0.054,-0.036,0.098,0.078,0.034,0.017
avg_Allred-Rockow_electronegativity,0.009,-0.082,-0.072,0.019,-0.033,0.018,-0.006,0.024,0.034
avg_metallic_valence,0.119,-0.029,0.002,0.021,0.006,0.013,-0.014,0.001,0.009
avg_number_of_valence_electrons,0.119,-0.004,-0.004,0.013,-0.038,0.046,-0.039,0.024,0.019
avg_gilmor_number_of_valence_electron,0.003,0.01,-0.084,0.035,-0.055,-0.038,0.146,-0.075,0.06
avg_valence_s,-0.064,0.028,-0.047,0.068,0.017,0.03,-0.074,-0.009,0.136
avg_valence_p,-0.097,-0.051,-0.059,0.014,-0.043,0.046,0.048,0.011,-0.009
avg_valence_d,0.03,-0.019,-0.023,-0.077,-0.079,0.126,-0.076,0.03,0.014
avg_valence_f,0.025,0.037,0.057,-0.013,-0.005,0.002,0.06,0.106,0.078
avg_Number_of_unfilled_s_valence_electrons,0.064,-0.028,0.047,-0.068,-0.017,-0.03,0.074,0.009,-0.136
avg_Number_of_unfilled_p_valence_electrons,0.097,0.051,0.059,-0.014,0.043,-0.046,-0.048,-0.011,0.009
avg_Number_of_unfilled_d_valence_electrons,-0.03,0.019,0.023,0.077,0.079,-0.126,0.076,-0.03,-0.014
avg_Number_of_unfilled_f_valence_electrons,-0.025,-0.037,-0.057,0.013,0.005,-0.002,-0.06,-0.106,-0.078
avg_outer_shell_electrons,-0.043,-0.018,-0.049,0.042,0.095,-0.03,0.018,0.01,0.028
avg_1st_ionization_potential_(kJ/mol),0.055,-0.047,-0.034,0.087,-0.067,0.054,0.103,-0.013,0.036
avg_polarizability(A^3),-0.052,0.046,0.082,0.041,0.013,0.01,0.003,-0.042,-0.016
avg_Melting_point_(K),0.117,0.058,0.004,0.058,0.043,0.047,0.062,-0.034,0.014
avg_Boiling_Point_(K),0.059,-0.051,0.09,0.016,0.036,0.053,0.019,0.009,-0.089
avg_Density_(g/mL),0.058,-0.041,0.083,-0.017,-0.056,0.037,0.041,0.065,0.026
avg_specific_heat_(J/g_K)_,0.045,0.017,-0.073,0.074,0.062,-0.013,-0.035,-0.033,0.006
avg_heat_of_fusion_(kJ/mol)_,0.038,0.008,-0.057,0.047,0.091,0.068,0.062,0.026,-0.021
avg_heat_of_vaporization_(kJ/mol)_,0.094,-0.023,0.039,0.006,0.081,0.031,0.019,-0.009,-0.026
avg_thermal_conductivity_(W/(m_K))_,0.101,0.029,-0.078,-0.051,0.099,0.055,-0.014,-0.001,0.011
avg_heat_atomization(kJ/mol),0.095,-0.025,0.032,0.047,0.05,0.065,0.037,-0.02,-0.029
avg_Cohesive_energy,0.094,-0.026,0.035,0.05,0.046,0.072,0.038,-0.022,-0.024
dev_Atomic_Number,-0.006,-0.029,0.048,-0.019,0.104,0.044,0.008,0.081,0.141
dev_Atomic_Weight,-0.007,-0.035,0.056,-0.014,0.095,0.043,0.009,0.077,0.149
dev_Period,-0.031,-0.023,0.038,0.026,0.104,0.007,0.035,0.018,0.146
dev_group,-0.062,0.101,0.005,0.082,0.008,-0.005,0.03,0.054,-0.052
dev_families,-0.07,0.075,-0.053,0.041,0.044,0.052,0.014,0.128,-0.113
dev_Metal,-0.067,-0.024,-0.068,0.045,0.012,0.079,0.078,0.004,-0.032
dev_Nonmetal,-0.043,-0.003,-0.065,0.116,-0.055,0.089,0.036,-0.015,0.002
dev_Metalliod,-0.036,-0.033,-0.001,-0.117,0.106,-0.021,0.063,0.03,-0.053
dev_Mendeleev_Number,-0.064,0.068,0.029,0.08,0.007,0.028,0.012,0.002,-0.09
dev_l_quantum_number,-0.044,0.121,-0.043,0.001,0.048,-0.012,-0.017,0.193,-0.086
dev_Atomic_Radius,-0.05,0.086,-0.007,0.026,0.056,-0.053,0.077,0.007,0.072
dev_Miracle_Radius_,-0.053,-0.038,0.091,0.052,0.084,-0.006,0.01,0.015,-0.013
dev_Covalent_Radius,-0.067,-0.048,0.103,0.105,0.049,0.001,0.005,-0.008,-0.022
dev_Zunger_radii_sum,-0.059,0.052,0.035,0.016,0.065,0.042,0.007,0.068,-0.03
dev_ionic_radius,-0.063,-0.024,0.089,0.124,0.048,-0.025,0.053,-0.062,-0.02
dev_crystal_radius,-0.052,-0.05,0.067,0.056,0.102,0.03,0.007,0.018,-0.048
dev_Pauling_Electronegativity,-0.022,0.072,0.071,-0.02,0.018,0.027,0.074,-0.08,-0.011
dev_MB_electonegativity,-0.067,0.067,0.031,0.013,0.007,0.03,0.099,-0.111,0.02
dev_Gordy_electonegativity,0.04,-0.092,0.095,0.064,-0.049,0.016,0.038,0.065,0.1
dev_Mulliken_EN,-0.032,0.01,0.035,-0.066,0.04,0.176,0.074,-0.113,0.054
dev_Allred-Rockow_electronegativity,-0.07,0.068,0.042,0.005,0.04,0.048,0.011,-0.004,0.013
dev_metallic_valence,0.064,-0.048,0.068,0.144,-0.067,0.008,-0.08,0.092,-0.055
dev_number_of_valence_electrons,0.084,-0.028,0.056,0.109,-0.073,0.079,-0.097,0.043,-0.021
dev_gilmor_number_of_valence_electron,-0.034,0.025,-0.043,-0.023,-0.018,0.076,0.078,-0.156,-0.016
dev_valence_s,0.064,-0.028,0.047,-0.068,-0.017,-0.03,0.074,0.009,-0.136
dev_valence_p,-0.07,0.018,-0.079,0.046,-0.036,0.045,0.046,0.08,-0.045
dev_valence_d,0.077,0.167,-0.058,0.032,-0.069,0.088,-0.042,-0.027,0.008
dev_valence_f,0.003,0.021,0.05,-0.011,0.006,-0.017,0.052,0.098,0.141
dev_Number_of_unfilled_s_valence_electrons,0.064,-0.028,0.047,-0.068,-0.017,-0.03,0.074,0.009,-0.136
dev_Number_of_unfilled_p_valence_electrons,-0.07,0.018,-0.079,0.046,-0.036,0.045,0.046,0.08,-0.045
dev_Number_of_unfilled_d_valence_electrons,0.077,0.167,-0.058,0.032,-0.069,0.088,-0.042,-0.027,0.008
dev_Number_of_unfilled_f_valence_electrons,0.003,0.021,0.05,-0.011,0.006,-0.017,0.052,0.098,0.141
dev_outer_shell_electrons,0.019,-0.056,-0.01,-0.024,0.103,-0.073,0.109,0.023,-0.12
dev_1st_ionization_potential_(kJ/mol),-0.052,0.024,0.021,-0.119,0.051,0.204,0.005,-0.051,-0.006
dev_polarizability(A^3),-0.06,0.026,0.089,0.071,0.015,0.025,0.02,-0.044,-0.024
