,precision,recall,f1-score,support
CsCl,0.92,0.926,0.923,136.0
CuAu,1.0,0.865,0.928,37.0
FeAs,0.925,0.949,0.937,78.0
FeB-b,0.984,0.959,0.972,197.0
FeSi,0.987,0.938,0.962,162.0
NaCl,0.966,0.991,0.978,227.0
NiAs,0.954,1.0,0.976,83.0
TlI,0.973,0.983,0.978,401.0
ZnS,0.978,0.989,0.983,89.0
accuracy,0.967,0.967,0.967,0.967
macro avg,0.965,0.956,0.96,1410.0
weighted avg,0.967,0.967,0.967,1410.0
