,precision,recall,f1-score,support
CsCl,0.917,0.971,0.943,136.0
CuAu,1.0,0.784,0.879,37.0
FeAs,0.974,0.949,0.961,78.0
FeB-b,0.979,0.939,0.959,197.0
FeSi,0.975,0.981,0.978,162.0
NaCl,0.996,0.991,0.993,227.0
NiAs,0.976,1.0,0.988,83.0
TlI,0.973,0.99,0.981,401.0
ZnS,0.978,0.989,0.983,89.0
accuracy,0.973,0.973,0.973,0.973
macro avg,0.974,0.955,0.963,1410.0
weighted avg,0.974,0.973,0.973,1410.0
