,precision,recall,f1-score,support
CsCl,0.96,0.699,0.809,136.0
CuAu,0.423,0.811,0.556,37.0
FeAs,0.909,0.513,0.656,78.0
FeB-b,0.369,0.228,0.282,197.0
FeSi,0.431,0.772,0.553,162.0
NaCl,0.664,0.784,0.719,227.0
NiAs,0.26,0.699,0.379,83.0
TlI,0.988,0.394,0.563,401.0
ZnS,0.662,0.989,0.793,89.0
accuracy,0.579,0.579,0.579,0.579
macro avg,0.629,0.654,0.59,1410.0
weighted avg,0.7,0.579,0.58,1410.0
