n_component,accuracy
2,0.4276595744680851
3,0.4524822695035461
4,0.3
5,0.4148936170212766
6,0.5177304964539007
7,0.4829787234042553
8,0.5333333333333333
9,0.5312056737588653
10,0.5794326241134752
