n_component,accuracy
2,0.16453900709219857
3,0.18581560283687942
4,0.1652482269503546
5,0.23191489361702128
6,0.38652482269503546
7,0.40070921985815605
8,0.40354609929078017
9,0.39787234042553193
10,0.40425531914893614
