,precision,recall,f1-score,support
CsCl,0.871,0.199,0.323,136.0
CuAu,0.404,0.514,0.452,37.0
FeAs,0.333,0.436,0.378,78.0
FeB-b,0.185,0.137,0.157,197.0
FeSi,0.447,0.722,0.552,162.0
NaCl,0.46,0.744,0.569,227.0
NiAs,0.059,0.145,0.084,83.0
TlI,0.584,0.259,0.359,401.0
ZnS,0.838,0.697,0.761,89.0
accuracy,0.405,0.405,0.405,0.405
macro avg,0.465,0.428,0.404,1410.0
weighted avg,0.487,0.405,0.396,1410.0
