,precision,recall,f1-score,support
CsCl,0.943,0.971,0.957,136.0
CuAu,1.0,0.865,0.928,37.0
FeAs,0.975,1.0,0.987,78.0
FeB-b,0.978,0.893,0.934,197.0
FeSi,0.994,0.988,0.991,162.0
NaCl,0.996,0.991,0.993,227.0
NiAs,1.0,1.0,1.0,83.0
TlI,0.95,0.99,0.969,401.0
ZnS,0.978,0.989,0.983,89.0
accuracy,0.972,0.972,0.972,0.972
macro avg,0.979,0.965,0.971,1410.0
weighted avg,0.973,0.972,0.972,1410.0
