,precision,recall,f1-score,support
CsCl,0.89,0.956,0.922,136.0
CuAu,1.0,0.838,0.912,37.0
FeAs,0.974,0.974,0.974,78.0
FeB-b,0.971,0.848,0.905,197.0
FeSi,0.987,0.969,0.978,162.0
NaCl,0.996,0.991,0.993,227.0
NiAs,0.976,1.0,0.988,83.0
TlI,0.934,0.985,0.959,401.0
ZnS,0.978,0.989,0.983,89.0
accuracy,0.959,0.959,0.959,0.959
macro avg,0.967,0.95,0.957,1410.0
weighted avg,0.96,0.959,0.958,1410.0
