,precision,recall,f1-score,support
CsCl,1.0,1.0,1.0,136.0
CuAu,1.0,1.0,1.0,37.0
FeAs,1.0,0.962,0.98,78.0
FeB-b,1.0,0.975,0.987,197.0
FeSi,0.994,1.0,0.997,162.0
NaCl,1.0,1.0,1.0,227.0
NiAs,1.0,1.0,1.0,83.0
TlI,0.983,1.0,0.991,401.0
ZnS,1.0,1.0,1.0,89.0
accuracy,0.994,0.994,0.994,0.994
macro avg,0.997,0.993,0.995,1410.0
weighted avg,0.994,0.994,0.994,1410.0
