n_component,accuracy
2,0.44042553191489364
3,0.225531914893617
4,0.399290780141844
5,0.3638297872340426
6,0.4851063829787234
7,0.4645390070921986
8,0.5666666666666667
9,0.5907801418439717
10,0.6028368794326241
