,precision,recall,f1-score,support
CsCl,0.963,0.963,0.963,136.0
CuAu,0.972,0.946,0.959,37.0
FeAs,0.951,0.987,0.969,78.0
FeB-b,0.989,0.954,0.972,197.0
FeSi,0.994,0.994,0.994,162.0
NaCl,0.991,1.0,0.996,227.0
NiAs,0.988,0.976,0.982,83.0
TlI,0.98,0.993,0.986,401.0
ZnS,1.0,0.989,0.994,89.0
accuracy,0.983,0.983,0.983,0.983
macro avg,0.981,0.978,0.979,1410.0
weighted avg,0.983,0.983,0.983,1410.0
