,Component_1 (11.504%),Component_2 (2.819%),Component_3 (4.789%),Component_4 (2.909%),Component_5 (2.246%),Component_6 (4.423%),Component_7 (2.170%),Component_8 (1.442%),Component_9 (2.366%)
sum_67,0.034,0.034,0.036,0.043,-0.037,0.003,0.018,-0.011,-0.018
sum_68,-0.023,-0.004,-0.045,0.02,-0.007,0.005,0.038,-0.009,-0.02
sum_69,0.011,-0.003,0.01,-0.006,-0.034,0.016,-0.08,0.049,-0.018
sum_70,0.011,-0.034,-0.012,-0.032,-0.033,0.006,0.034,-0.014,-0.028
sum_71,-0.041,0.019,-0.032,0.025,0.019,-0.017,0.005,0.003,-0.042
sum_72,-0.051,-0.005,0.037,-0.02,0.012,0.019,0.027,-0.01,-0.011
sum_73,0.054,-0.013,-0.006,-0.004,0.025,0.002,-0.011,-0.003,-0.003
sum_74,0.057,-0.011,0.003,-0.008,-0.008,-0.008,-0.044,-0.016,0.014
sum_75,-0.002,0.009,0.053,-0.037,-0.01,-0.014,0.024,-0.005,-0.019
sum_76,0.033,0.021,-0.026,0.039,-0.015,-0.048,-0.008,0.003,-0.006
sum_77,-0.024,-0.038,-0.012,-0.011,0.018,0.068,0.003,0.047,0.034
sum_78,0.015,-0.001,0.006,0.029,0.059,-0.022,-0.039,0.006,-0.005
sum_79,0.008,0.011,0.016,0.02,-0.001,0.042,-0.009,0.002,0.029
sum_80,-0.028,-0.032,-0.035,0.007,-0.035,0.038,-0.036,0.008,0.029
sum_81,-0.003,-0.026,-0.054,0.021,0.001,0.004,0.01,-0.051,0.001
sum_82,0.024,-0.02,-0.018,-0.051,-0.013,-0.015,0.048,-0.043,0.024
sum_83,-0.025,0.006,0.02,-0.019,0.027,-0.009,-0.034,0.013,0.018
sum_84,0.062,-0.004,0.005,0.011,0.003,-0.018,0.025,-0.018,0.002
sum_85,0.038,-0.01,-0.042,0.022,0.014,-0.007,0.023,-0.001,0.023
sum_86,0.001,-0.032,-0.032,-0.063,-0.016,-0.021,0.015,-0.005,-0.003
sum_87,-0.037,-0.012,-0.002,0.024,0.04,0.013,0.025,-0.036,-0.022
sum_88,0.021,-0.013,0.001,-0.038,-0.014,-0.055,-0.03,-0.005,-0.012
sum_89,-0.024,0.034,-0.011,0.022,-0.045,0.009,-0.031,-0.023,-0.052
sum_90,-0.023,0.004,-0.057,0.036,-0.002,0.013,0.006,-0.035,-0.024
sum_91,0.017,-0.018,-0.053,0.014,-0.021,0.009,0.014,0.017,-0.003
sum_92,-0.023,0.017,0.018,0.029,-0.02,0.057,0.004,-0.006,0.041
sum_93,0.033,-0.011,0.025,0.02,0.035,0.007,-0.042,-0.039,-0.019
sum_94,0.039,0.016,0.034,-0.021,-0.008,-0.041,-0.007,0.009,-0.009
sum_95,-0.034,-0.008,-0.004,-0.042,-0.004,-0.04,-0.013,-0.013,-0.022
sum_96,0.029,-0.019,-0.048,0.012,0.006,-0.016,0.033,0.005,0.021
sum_97,-0.055,-0.031,-0.024,-0.058,-0.036,-0.014,-0.003,0.004,-0.009
sum_98,0.0,-0.043,-0.03,-0.037,0.006,0.032,0.019,0.012,-0.006
sum_99,0.013,-0.002,0.018,0.021,0.031,0.04,0.05,-0.011,-0.003
sum_100,0.038,0.008,0.029,-0.029,0.013,0.009,0.034,-0.039,-0.008
sum_101,-0.01,-0.007,0.004,-0.003,0.061,-0.041,-0.014,0.019,-0.024
sum_102,0.007,0.025,0.004,0.031,0.043,-0.005,0.037,0.014,0.049
sum_103,-0.039,-0.015,-0.0,-0.02,0.02,-0.037,-0.031,0.045,0.021
sum_104,0.043,0.008,-0.009,0.018,-0.013,-0.033,-0.048,0.006,0.01
sum_105,-0.029,0.006,0.037,-0.0,-0.017,0.025,-0.01,-0.001,0.026
sum_106,-0.011,0.011,0.049,-0.031,-0.015,0.011,-0.009,0.037,0.015
sum_107,0.021,-0.015,-0.001,-0.021,0.057,-0.047,0.012,-0.006,-0.008
sum_108,-0.005,0.028,0.014,0.016,-0.038,-0.052,-0.046,-0.02,0.016
sum_109,0.009,-0.025,0.001,-0.01,0.006,-0.002,-0.062,0.011,-0.021
sum_110,-0.027,-0.013,-0.014,-0.016,-0.026,-0.023,-0.028,-0.002,-0.062
sum_111,0.035,-0.03,-0.003,-0.002,0.031,0.01,0.015,0.021,0.05
sum_112,-0.014,0.007,-0.019,0.05,0.013,0.012,-0.001,0.041,0.027
sum_113,-0.007,-0.029,-0.0,-0.019,0.06,-0.058,-0.005,-0.006,0.008
sum_114,0.03,-0.013,-0.012,0.034,0.035,-0.009,0.034,0.013,-0.016
sum_115,0.015,-0.016,-0.023,0.014,0.012,0.027,0.029,-0.015,0.033
sum_116,-0.012,0.0,0.009,-0.021,-0.008,0.015,-0.018,0.041,0.082
sum_117,-0.024,0.041,0.01,0.014,-0.005,-0.014,-0.01,-0.013,0.029
sum_118,-0.049,0.016,-0.007,-0.001,-0.036,0.009,-0.009,-0.04,-0.028
sum_119,-0.031,0.033,0.009,0.056,0.029,0.013,-0.016,0.008,-0.016
sum_120,-0.017,0.021,0.023,0.012,-0.027,-0.034,-0.022,0.054,-0.028
sum_121,-0.035,-0.005,-0.007,0.026,0.018,0.044,0.013,-0.012,-0.037
sum_122,-0.04,0.023,0.018,0.023,-0.002,0.055,-0.001,-0.002,0.02
sum_123,0.01,0.005,-0.048,0.019,-0.0,-0.014,-0.022,-0.029,-0.004
sum_124,0.021,-0.004,0.018,-0.005,0.02,-0.014,-0.009,-0.006,0.042
sum_125,-0.014,-0.027,-0.037,-0.012,-0.021,0.006,-0.002,0.044,0.043
sum_126,0.023,-0.019,-0.005,-0.029,0.021,-0.025,0.012,-0.004,-0.024
sum_127,0.043,0.002,0.022,-0.032,-0.031,-0.015,-0.02,-0.003,-0.005
sum_128,0.055,0.021,0.008,0.036,-0.014,-0.037,-0.006,0.026,0.024
sum_129,-0.062,0.001,0.015,-0.009,0.005,0.017,-0.018,0.003,0.037
sum_130,0.0,0.003,-0.014,-0.007,-0.016,-0.022,-0.037,0.055,0.051
sum_131,0.016,0.011,-0.001,-0.023,-0.04,0.017,0.014,-0.027,0.024
sum_132,0.032,-0.008,-0.025,-0.019,0.023,0.008,0.046,-0.015,0.011
sum_133,-0.01,-0.015,-0.008,0.021,0.038,0.005,0.004,-0.01,-0.05
sum_134,0.012,0.02,0.065,-0.015,0.026,0.001,0.01,-0.011,-0.014
sum_135,-0.021,0.041,0.036,0.017,-0.018,0.011,0.022,0.007,0.032
sum_136,0.041,-0.029,0.001,-0.002,0.031,0.045,-0.007,0.007,-0.006
sum_137,0.041,-0.017,-0.029,0.018,0.018,0.011,-0.014,0.023,0.04
sum_138,-0.056,0.013,-0.016,0.012,0.016,-0.024,-0.021,0.011,0.0
sum_139,-0.048,0.029,0.019,-0.02,0.011,-0.017,0.024,0.022,-0.009
sum_140,0.028,0.005,0.042,-0.013,-0.02,0.032,0.01,-0.008,0.035
sum_141,-0.038,0.027,-0.003,-0.011,0.017,-0.032,0.012,-0.001,0.012
sum_142,-0.008,0.0,0.027,-0.034,0.004,-0.035,-0.017,0.013,-0.02
sum_143,-0.022,0.004,0.003,0.021,0.029,0.03,0.032,0.044,0.035
sum_144,-0.041,-0.021,-0.021,0.005,-0.035,0.046,-0.007,0.03,-0.014
sum_145,0.007,0.031,0.059,-0.013,0.008,-0.025,0.003,-0.008,0.047
sum_146,0.009,0.011,0.015,-0.014,-0.004,0.008,0.037,-0.01,-0.042
sum_147,-0.016,-0.04,-0.035,0.001,0.036,-0.016,-0.025,0.036,0.029
sum_148,-0.017,0.024,0.031,-0.018,0.017,-0.013,-0.024,0.028,0.031
sum_149,0.009,-0.04,-0.002,-0.047,-0.018,-0.04,-0.03,-0.023,-0.022
