,Component_1 (11.504%),Component_2 (2.819%),Component_3 (4.789%),Component_4 (2.909%),Component_5 (2.246%),Component_6 (4.423%),Component_7 (2.170%),Component_8 (1.442%),Component_9 (2.366%)
avg_97,-0.055,-0.031,-0.024,-0.058,-0.036,-0.014,-0.003,0.004,-0.009
avg_98,0.0,-0.043,-0.03,-0.037,0.006,0.032,0.019,0.012,-0.006
avg_99,0.013,-0.002,0.018,0.021,0.031,0.04,0.05,-0.011,-0.003
avg_100,0.038,0.008,0.029,-0.029,0.013,0.009,0.034,-0.039,-0.008
avg_101,-0.01,-0.007,0.004,-0.003,0.061,-0.041,-0.014,0.019,-0.024
avg_102,0.007,0.025,0.004,0.031,0.043,-0.005,0.037,0.014,0.049
avg_103,-0.039,-0.015,-0.0,-0.02,0.02,-0.037,-0.031,0.045,0.021
avg_104,0.043,0.008,-0.009,0.018,-0.013,-0.033,-0.048,0.006,0.01
avg_105,-0.029,0.006,0.037,-0.0,-0.017,0.025,-0.01,-0.001,0.026
avg_106,-0.011,0.011,0.049,-0.031,-0.015,0.011,-0.009,0.037,0.015
avg_107,0.021,-0.015,-0.001,-0.021,0.057,-0.047,0.012,-0.006,-0.008
avg_108,-0.005,0.028,0.014,0.016,-0.038,-0.052,-0.046,-0.02,0.016
avg_109,0.009,-0.025,0.001,-0.01,0.006,-0.002,-0.062,0.011,-0.021
avg_110,-0.027,-0.013,-0.014,-0.016,-0.026,-0.023,-0.028,-0.002,-0.062
avg_111,0.035,-0.03,-0.003,-0.002,0.031,0.01,0.015,0.021,0.05
avg_112,-0.014,0.007,-0.019,0.05,0.013,0.012,-0.001,0.041,0.027
avg_113,-0.007,-0.029,-0.0,-0.019,0.06,-0.058,-0.005,-0.006,0.008
avg_114,0.03,-0.013,-0.012,0.034,0.035,-0.009,0.034,0.013,-0.016
avg_115,0.015,-0.016,-0.023,0.014,0.012,0.027,0.029,-0.015,0.033
avg_116,-0.012,0.0,0.009,-0.021,-0.008,0.015,-0.018,0.041,0.082
avg_117,-0.024,0.041,0.01,0.014,-0.005,-0.014,-0.01,-0.013,0.029
avg_118,-0.049,0.016,-0.007,-0.001,-0.036,0.009,-0.009,-0.04,-0.028
avg_119,-0.031,0.033,0.009,0.056,0.029,0.013,-0.016,0.008,-0.016
avg_120,-0.017,0.021,0.023,0.012,-0.027,-0.034,-0.022,0.054,-0.028
avg_121,-0.035,-0.005,-0.007,0.026,0.018,0.044,0.013,-0.012,-0.037
avg_122,-0.04,0.023,0.018,0.023,-0.002,0.055,-0.001,-0.002,0.02
avg_123,0.01,0.005,-0.048,0.019,-0.0,-0.014,-0.022,-0.029,-0.004
avg_124,0.021,-0.004,0.018,-0.005,0.02,-0.014,-0.009,-0.006,0.042
avg_125,-0.014,-0.027,-0.037,-0.012,-0.021,0.006,-0.002,0.044,0.043
avg_126,0.023,-0.019,-0.005,-0.029,0.021,-0.025,0.012,-0.004,-0.024
avg_127,0.043,0.002,0.022,-0.032,-0.031,-0.015,-0.02,-0.003,-0.005
avg_128,0.055,0.021,0.008,0.036,-0.014,-0.037,-0.006,0.026,0.024
avg_129,-0.062,0.001,0.015,-0.009,0.005,0.017,-0.018,0.003,0.037
avg_130,0.0,0.003,-0.014,-0.007,-0.016,-0.022,-0.037,0.055,0.051
avg_131,0.016,0.011,-0.001,-0.023,-0.04,0.017,0.014,-0.027,0.024
avg_132,0.032,-0.008,-0.025,-0.019,0.023,0.008,0.046,-0.015,0.011
avg_133,-0.01,-0.015,-0.008,0.021,0.038,0.005,0.004,-0.01,-0.05
avg_134,0.012,0.02,0.065,-0.015,0.026,0.001,0.01,-0.011,-0.014
avg_135,-0.021,0.041,0.036,0.017,-0.018,0.011,0.022,0.007,0.032
avg_136,0.041,-0.029,0.001,-0.002,0.031,0.045,-0.007,0.007,-0.006
avg_137,0.041,-0.017,-0.029,0.018,0.018,0.011,-0.014,0.023,0.04
avg_138,-0.056,0.013,-0.016,0.012,0.016,-0.024,-0.021,0.011,0.0
avg_139,-0.048,0.029,0.019,-0.02,0.011,-0.017,0.024,0.022,-0.009
avg_140,0.028,0.005,0.042,-0.013,-0.02,0.032,0.01,-0.008,0.035
avg_141,-0.038,0.027,-0.003,-0.011,0.017,-0.032,0.012,-0.001,0.012
avg_142,-0.008,0.0,0.027,-0.034,0.004,-0.035,-0.017,0.013,-0.02
avg_143,-0.022,0.004,0.003,0.021,0.029,0.03,0.032,0.044,0.035
avg_144,-0.041,-0.021,-0.021,0.005,-0.035,0.046,-0.007,0.03,-0.014
avg_145,0.007,0.031,0.059,-0.013,0.008,-0.025,0.003,-0.008,0.047
avg_146,0.009,0.011,0.015,-0.014,-0.004,0.008,0.037,-0.01,-0.042
avg_147,-0.016,-0.04,-0.035,0.001,0.036,-0.016,-0.025,0.036,0.029
avg_148,-0.017,0.024,0.031,-0.018,0.017,-0.013,-0.024,0.028,0.031
avg_149,0.009,-0.04,-0.002,-0.047,-0.018,-0.04,-0.03,-0.023,-0.022
avg_150,0.055,-0.007,-0.023,0.029,-0.011,0.021,0.007,0.024,-0.004
avg_151,0.046,-0.002,-0.033,0.013,-0.028,0.003,0.019,0.013,0.007
avg_152,0.008,-0.016,-0.02,0.034,0.039,-0.024,0.016,0.029,0.013
avg_153,-0.017,-0.009,-0.038,-0.0,-0.032,-0.034,0.006,-0.015,-0.0
avg_154,-0.011,0.005,-0.037,0.007,-0.004,-0.04,-0.032,0.004,-0.002
avg_155,0.054,0.008,-0.014,0.062,0.002,-0.007,0.003,-0.004,-0.002
avg_156,-0.013,0.019,0.046,-0.032,-0.033,-0.004,0.026,-0.009,-0.004
avg_157,0.03,-0.036,-0.004,0.01,0.041,0.009,-0.002,0.015,0.005
avg_158,0.013,-0.028,0.003,-0.06,-0.01,0.031,0.025,-0.005,0.028
avg_159,0.033,0.0,0.026,-0.009,-0.027,0.014,0.03,0.033,0.01
avg_160,-0.016,0.016,-0.028,0.008,-0.029,0.015,0.017,0.046,0.045
avg_161,-0.004,0.003,-0.002,0.022,0.008,0.05,0.035,0.005,0.04
avg_162,-0.032,0.015,-0.03,0.026,-0.012,0.013,-0.006,-0.022,-0.03
avg_163,-0.035,-0.017,0.019,-0.02,0.045,-0.013,-0.002,0.013,-0.041
avg_164,0.042,-0.016,0.007,0.005,0.015,0.003,-0.044,0.025,0.021
avg_165,-0.03,0.011,0.018,-0.006,-0.018,0.019,0.035,-0.011,-0.03
avg_166,-0.052,-0.01,-0.001,-0.032,0.04,-0.001,0.054,-0.036,-0.001
avg_167,0.004,0.022,-0.012,0.016,-0.044,-0.019,-0.071,-0.005,-0.018
avg_168,-0.013,-0.047,-0.001,-0.013,0.045,0.026,-0.047,0.064,-0.013
avg_169,0.034,-0.004,0.026,0.013,-0.014,0.043,-0.002,-0.002,-0.056
avg_170,-0.011,0.023,-0.012,-0.039,-0.04,0.005,0.033,-0.027,0.03
avg_171,0.023,-0.017,-0.041,0.007,-0.013,-0.026,0.004,-0.015,0.016
avg_172,0.022,-0.002,0.008,-0.005,-0.012,0.006,-0.018,0.051,-0.033
avg_173,0.044,-0.003,-0.011,0.044,0.013,0.016,0.02,0.021,0.031
avg_174,-0.054,0.025,0.008,0.031,0.015,-0.01,0.012,-0.012,0.006
avg_175,-0.041,-0.022,-0.031,0.002,-0.011,0.06,-0.015,-0.025,-0.006
avg_176,-0.001,0.004,-0.025,0.002,0.016,-0.046,0.024,0.036,0.072
avg_177,0.02,0.01,-0.005,0.02,0.051,-0.038,-0.014,-0.012,0.003
avg_178,0.043,-0.037,-0.01,-0.008,0.009,-0.003,-0.036,-0.007,-0.001
avg_179,-0.01,-0.025,-0.008,0.024,0.068,-0.009,-0.038,0.035,0.016
avg_180,0.009,-0.014,0.005,-0.024,-0.011,-0.037,-0.043,0.036,0.027
avg_181,-0.023,-0.001,0.034,0.024,0.027,-0.005,-0.054,-0.013,0.011
avg_182,-0.006,0.012,-0.041,0.023,0.038,-0.06,0.031,-0.036,0.033
avg_183,-0.044,-0.009,-0.012,0.03,0.045,-0.005,0.027,-0.012,0.004
avg_184,0.049,-0.007,0.011,-0.034,-0.015,-0.017,-0.007,0.015,0.007
avg_185,0.011,-0.009,0.003,-0.021,-0.014,0.019,0.02,-0.039,0.053
avg_186,-0.059,0.017,0.011,0.002,-0.019,0.002,0.002,0.011,0.029
avg_187,0.005,0.014,0.04,-0.038,-0.019,-0.014,0.039,-0.026,0.011
avg_188,-0.029,0.021,-0.01,0.008,0.001,0.001,0.042,0.001,0.016
avg_189,-0.004,-0.034,-0.034,-0.026,0.054,-0.0,0.034,-0.03,-0.038
avg_190,0.002,-0.006,-0.038,0.03,0.022,0.002,-0.013,0.041,0.042
avg_191,-0.05,0.011,0.005,0.027,0.016,0.023,0.025,-0.011,0.012
avg_192,0.031,-0.022,0.023,-0.032,-0.019,-0.007,-0.03,-0.038,-0.021
avg_193,-0.042,0.018,0.038,-0.003,-0.001,0.015,-0.037,-0.01,-0.01
avg_194,-0.022,0.003,0.011,-0.018,0.021,-0.061,-0.026,-0.001,0.009
avg_195,-0.012,-0.015,-0.001,0.007,0.033,0.072,0.031,-0.001,0.011
avg_196,-0.017,-0.034,-0.042,-0.042,0.014,-0.021,0.016,0.033,0.022
avg_197,-0.014,0.031,-0.03,0.04,-0.004,0.003,-0.002,0.002,0.04
avg_198,0.028,0.03,-0.016,0.058,0.015,-0.007,-0.029,0.027,0.029
avg_199,0.031,0.003,-0.024,0.051,-0.011,-0.001,-0.024,0.021,-0.032
dev_0,0.019,0.018,-0.003,0.032,0.018,0.019,-0.007,0.002,-0.01
dev_1,-0.001,0.034,0.001,-0.035,0.026,-0.022,0.013,0.033,-0.019
dev_2,-0.01,-0.013,-0.039,-0.003,0.038,-0.012,-0.006,-0.026,-0.024
dev_3,-0.02,0.014,-0.051,0.001,-0.02,-0.033,0.001,-0.01,0.011
dev_4,0.003,0.049,-0.007,0.01,0.005,0.019,-0.013,0.018,-0.024
dev_5,0.013,0.0,-0.02,0.012,0.032,0.026,-0.041,0.006,-0.025
dev_6,-0.006,0.004,-0.002,0.053,-0.025,0.008,-0.038,-0.04,-0.02
dev_7,-0.016,0.028,-0.009,-0.024,0.025,0.025,0.01,-0.028,-0.017
dev_8,-0.025,-0.007,-0.003,0.015,0.034,-0.008,-0.01,-0.01,-0.023
dev_9,0.003,-0.066,0.023,0.055,-0.005,-0.035,0.007,0.022,0.008
dev_10,0.014,-0.02,-0.002,-0.058,0.046,-0.035,0.039,-0.001,-0.011
dev_11,0.025,0.022,0.036,0.016,0.041,-0.018,-0.029,-0.029,0.025
dev_12,0.021,0.066,-0.013,-0.058,0.047,0.051,-0.053,-0.048,0.075
dev_13,-0.024,-0.059,-0.01,-0.006,-0.014,0.001,-0.05,-0.029,-0.012
dev_14,-0.009,-0.011,-0.019,0.026,-0.03,-0.054,-0.025,-0.022,-0.011
dev_15,0.004,0.015,-0.015,0.018,0.009,-0.004,-0.014,0.001,-0.026
dev_16,0.012,-0.022,0.014,0.012,0.019,0.016,-0.01,-0.052,0.003
dev_17,0.018,0.005,0.013,0.033,0.035,-0.009,-0.001,0.018,-0.043
dev_18,0.032,0.034,-0.022,0.028,-0.012,0.011,-0.019,0.002,-0.005
dev_19,-0.011,-0.019,0.003,0.065,-0.014,-0.015,0.02,-0.014,0.032
dev_20,-0.01,-0.01,0.012,0.005,0.04,0.015,-0.049,-0.0,-0.018
dev_21,-0.038,-0.048,0.0,-0.011,0.05,-0.026,0.025,-0.002,0.037
dev_22,-0.015,-0.031,0.02,0.005,-0.006,-0.012,0.007,0.009,0.058
dev_23,0.012,0.052,-0.068,-0.019,0.0,-0.02,-0.034,-0.046,0.041
dev_24,-0.008,0.064,-0.044,-0.02,0.037,0.071,-0.028,0.017,0.02
dev_25,-0.012,-0.064,0.003,0.02,-0.011,-0.028,-0.009,-0.012,0.058
dev_26,-0.021,-0.03,0.016,0.017,0.012,-0.053,0.058,0.058,0.011
dev_27,0.031,-0.035,0.013,0.038,-0.051,0.007,0.048,0.054,-0.029
dev_28,-0.021,-0.006,-0.002,0.064,0.016,-0.025,0.033,-0.003,-0.028
dev_29,0.014,0.014,-0.051,-0.006,0.005,0.004,0.049,-0.026,-0.022
dev_30,0.018,0.007,-0.011,-0.003,0.006,0.018,0.031,-0.005,-0.023
dev_31,-0.023,0.011,-0.005,0.036,0.029,0.018,0.016,-0.009,-0.006
dev_32,0.006,-0.007,0.055,0.011,0.009,-0.043,0.004,-0.018,0.028
dev_33,0.014,0.04,0.028,-0.025,0.037,-0.001,-0.022,0.003,0.025
dev_34,-0.001,0.004,0.059,0.018,0.012,-0.021,-0.014,0.024,-0.027
dev_35,0.011,-0.013,-0.027,-0.011,0.001,0.013,0.029,0.04,-0.022
dev_36,0.003,-0.013,-0.001,0.044,0.015,0.002,0.009,0.013,-0.013
dev_37,0.011,-0.024,-0.037,-0.006,0.01,-0.052,-0.019,0.007,-0.014
dev_38,-0.036,0.024,-0.009,0.007,0.026,0.036,-0.034,-0.03,-0.001
dev_39,0.038,-0.027,-0.028,-0.013,0.016,0.013,-0.016,-0.047,0.007
dev_40,0.023,-0.001,0.036,0.018,0.005,-0.037,-0.05,-0.02,0.017
dev_41,-0.003,-0.03,-0.026,0.02,-0.004,-0.055,0.008,0.019,-0.013
dev_42,0.032,-0.046,0.002,0.019,-0.017,0.006,0.045,-0.024,-0.025
dev_43,0.037,-0.01,-0.024,-0.001,0.008,0.011,-0.011,-0.053,-0.025
dev_44,0.01,-0.006,0.038,0.033,-0.006,-0.006,-0.004,0.015,0.02
dev_45,0.016,-0.035,0.032,0.01,0.01,0.003,-0.002,0.038,-0.018
dev_46,0.008,-0.054,0.018,-0.001,-0.002,0.022,-0.01,-0.041,-0.0
dev_47,-0.032,-0.0,-0.016,-0.038,-0.039,0.007,-0.0,0.002,-0.011
dev_48,0.004,-0.026,0.009,0.05,-0.048,-0.021,0.077,-0.004,-0.053
dev_49,-0.019,-0.029,-0.013,0.005,-0.027,-0.001,-0.019,-0.001,0.029
dev_50,0.03,-0.024,0.054,0.059,0.01,-0.041,0.006,0.005,0.005
dev_51,0.035,-0.034,0.005,-0.014,0.021,-0.018,-0.017,-0.009,-0.025
dev_52,0.018,0.011,-0.043,0.037,-0.009,-0.016,-0.03,0.008,0.018
dev_53,0.04,0.01,-0.027,-0.031,0.036,-0.013,0.014,0.028,-0.016
dev_54,-0.018,0.0,0.018,0.019,0.013,-0.047,0.013,-0.002,-0.023
dev_55,0.01,-0.003,-0.044,-0.013,0.014,0.004,-0.035,0.006,-0.01
dev_56,0.005,-0.014,0.017,0.014,0.021,-0.019,-0.002,-0.056,0.047
dev_57,-0.002,0.006,-0.057,-0.023,-0.018,-0.015,-0.046,0.002,-0.011
dev_58,0.023,0.001,-0.044,-0.001,-0.016,-0.03,-0.003,0.012,-0.012
dev_59,0.032,-0.032,-0.01,0.005,0.008,0.023,0.012,-0.033,0.024
dev_60,-0.01,-0.046,0.045,0.06,-0.001,0.001,0.009,-0.022,-0.044
dev_61,0.006,0.004,-0.038,-0.002,0.027,0.012,-0.002,-0.06,0.069
dev_62,0.013,-0.037,0.037,0.049,0.024,-0.018,0.011,0.009,0.013
dev_63,-0.001,0.033,-0.005,-0.019,0.027,-0.012,0.018,0.033,-0.014
dev_64,-0.004,-0.019,0.003,-0.018,0.007,-0.008,0.026,0.034,0.007
dev_65,0.006,0.045,-0.003,0.044,-0.026,-0.022,0.015,-0.001,0.023
dev_66,0.005,0.052,-0.001,0.028,-0.01,-0.024,-0.015,0.022,0.015
dev_67,0.008,-0.035,0.066,0.051,-0.002,0.035,-0.06,-0.008,-0.031
dev_68,-0.032,-0.033,0.016,0.009,0.035,-0.034,0.023,0.007,-0.011
dev_69,-0.003,-0.021,-0.031,0.001,0.048,0.038,0.006,0.006,-0.045
dev_70,0.035,-0.007,-0.002,-0.007,-0.018,-0.026,0.085,0.054,-0.043
dev_71,-0.04,-0.027,0.006,0.046,0.038,-0.003,0.036,-0.012,0.033
dev_72,-0.001,0.019,-0.047,0.015,-0.012,-0.045,-0.015,0.01,0.001
dev_73,-0.012,0.054,-0.035,0.015,0.038,0.021,0.015,-0.003,-0.019
dev_74,-0.05,-0.013,-0.024,-0.004,0.026,-0.023,0.023,0.007,0.02
dev_75,0.004,-0.052,0.058,0.036,0.004,-0.018,-0.035,-0.031,-0.002
dev_76,-0.024,-0.023,-0.033,-0.018,0.015,-0.023,0.009,0.033,0.007
dev_77,-0.011,-0.012,0.009,-0.009,0.062,0.006,-0.013,0.007,0.0
dev_78,-0.028,-0.064,0.003,-0.001,-0.023,0.028,-0.05,-0.027,0.039
dev_79,0.028,0.043,-0.042,0.024,-0.032,-0.014,-0.014,-0.009,0.043
dev_80,0.038,0.042,0.011,-0.039,0.065,0.022,-0.035,0.004,-0.05
dev_81,-0.002,0.067,-0.008,-0.027,0.047,0.016,-0.022,0.001,-0.007
dev_82,0.033,-0.017,-0.005,0.001,-0.011,0.041,0.021,0.039,-0.021
dev_83,0.023,0.022,-0.012,-0.019,0.01,-0.027,0.039,-0.02,0.05
dev_84,0.01,0.014,-0.024,0.013,-0.03,-0.014,0.052,0.048,-0.02
dev_85,0.013,0.012,0.002,0.014,-0.024,0.004,-0.022,0.02,-0.021
dev_86,0.05,0.056,-0.016,0.038,-0.006,0.029,0.013,0.009,0.02
dev_87,-0.025,-0.018,-0.02,0.015,0.041,0.0,0.018,0.025,0.001
dev_88,-0.02,-0.003,-0.04,0.0,-0.003,-0.037,0.014,0.029,-0.036
dev_89,-0.003,0.024,-0.019,0.05,-0.05,-0.013,0.025,0.05,-0.046
dev_90,-0.027,0.006,0.046,0.029,-0.002,-0.03,0.006,-0.012,0.016
dev_91,0.034,0.076,-0.029,-0.002,0.039,-0.027,-0.017,0.026,-0.018
dev_92,-0.007,-0.019,-0.003,0.033,-0.017,-0.01,-0.031,-0.054,-0.023
dev_93,-0.022,-0.052,0.025,0.056,0.022,0.049,-0.049,-0.048,0.019
dev_94,-0.021,0.055,-0.002,-0.03,0.047,-0.019,0.024,0.017,0.003
dev_95,0.008,0.039,0.008,0.034,-0.011,-0.015,0.02,0.003,0.036
dev_96,-0.001,-0.01,0.022,-0.017,0.001,0.059,-0.016,0.015,-0.033
dev_97,-0.002,0.045,-0.018,-0.08,0.034,0.002,-0.012,-0.017,0.002
dev_98,-0.012,0.025,-0.014,-0.047,0.027,0.034,-0.015,0.006,0.021
dev_99,0.012,-0.035,-0.032,-0.009,0.004,-0.032,0.008,0.031,-0.026
dev_100,0.044,-0.01,-0.002,-0.013,0.034,0.009,-0.023,-0.017,-0.025
dev_101,-0.034,-0.06,0.044,0.014,-0.026,-0.016,-0.014,-0.008,0.006
dev_102,-0.004,0.028,-0.035,0.01,-0.013,0.01,-0.02,-0.049,0.068
dev_103,0.034,-0.015,-0.04,-0.016,0.01,0.015,-0.021,-0.065,-0.001
dev_104,-0.02,-0.023,-0.024,0.048,-0.037,-0.059,0.028,0.002,0.026
dev_105,0.013,0.013,0.002,0.053,-0.022,0.015,-0.013,0.022,-0.003
dev_106,-0.021,0.004,-0.017,-0.015,0.024,-0.011,0.014,0.03,-0.053
dev_107,-0.009,-0.011,0.002,0.038,-0.042,0.028,-0.004,0.053,-0.033
dev_108,0.014,-0.046,-0.037,0.002,0.013,-0.016,0.02,0.019,0.003
dev_109,0.005,0.001,-0.043,0.019,-0.017,0.012,-0.039,-0.023,-0.034
dev_110,0.022,0.023,-0.026,0.018,-0.01,-0.026,0.026,0.018,0.027
dev_111,0.004,0.053,-0.032,-0.013,0.018,-0.001,-0.028,-0.003,0.02
dev_112,0.038,0.005,0.019,0.014,0.027,-0.014,0.017,-0.01,-0.033
dev_113,-0.024,-0.063,-0.019,0.01,-0.049,-0.027,-0.019,-0.006,0.007
dev_114,-0.031,-0.017,-0.018,-0.026,-0.033,0.005,0.008,-0.018,-0.008
dev_115,0.016,0.029,-0.011,-0.036,0.044,0.017,-0.01,0.01,0.045
dev_116,0.015,0.007,0.029,0.012,0.027,-0.008,0.027,-0.008,0.003
dev_117,0.024,0.028,-0.042,0.012,-0.004,0.007,0.004,-0.025,0.04
dev_118,-0.009,0.035,-0.011,-0.022,-0.032,0.017,-0.004,-0.002,0.018
dev_119,-0.001,-0.029,-0.008,0.028,0.004,0.032,-0.01,-0.05,0.039
dev_120,0.021,-0.012,0.006,-0.004,-0.005,0.03,0.007,0.077,-0.055
dev_121,-0.014,0.013,0.009,0.047,0.001,-0.005,0.038,-0.001,0.027
dev_122,-0.02,-0.006,-0.042,-0.002,-0.025,-0.026,-0.019,-0.041,-0.001
dev_123,0.022,-0.026,0.02,0.041,0.006,-0.048,-0.005,0.048,0.01
dev_124,0.007,0.002,0.004,0.032,0.018,0.017,-0.027,-0.038,0.028
dev_125,0.007,0.001,0.021,-0.01,0.039,-0.023,-0.024,-0.027,-0.003
dev_126,0.032,0.066,-0.032,0.006,0.014,0.036,0.016,0.007,0.007
dev_127,-0.025,-0.012,0.017,0.036,0.036,-0.01,0.041,0.009,0.01
dev_128,-0.018,0.015,-0.035,0.02,-0.006,-0.007,0.02,-0.019,0.037
dev_129,0.012,0.052,-0.073,-0.054,-0.021,-0.005,0.033,-0.001,-0.003
dev_130,0.028,-0.001,-0.023,0.04,0.01,-0.034,0.021,0.018,-0.013
dev_131,-0.004,-0.014,-0.022,-0.007,0.029,0.002,0.023,0.02,0.027
dev_132,0.019,-0.035,-0.011,-0.001,-0.006,0.038,0.011,0.036,-0.037
dev_133,0.008,0.011,-0.01,-0.011,0.02,-0.001,0.009,0.0,0.034
dev_134,0.024,-0.008,0.038,0.02,0.021,-0.042,-0.036,-0.017,0.003
dev_135,-0.011,-0.003,-0.047,-0.018,-0.007,-0.03,-0.02,-0.011,-0.001
dev_136,-0.017,0.04,-0.01,-0.011,0.019,-0.005,0.013,-0.002,0.002
dev_137,0.003,0.011,-0.014,0.026,-0.003,-0.031,-0.014,-0.018,0.048
dev_138,0.012,-0.063,0.007,0.013,0.017,0.025,0.016,-0.064,0.016
dev_139,-0.019,0.011,-0.022,-0.002,-0.006,-0.023,-0.021,0.002,0.018
dev_140,0.002,-0.041,0.004,0.042,0.016,0.011,-0.037,-0.029,0.004
dev_141,0.004,-0.044,0.014,0.063,-0.02,0.007,0.015,0.014,0.044
dev_142,-0.011,-0.009,0.044,0.04,-0.015,-0.009,-0.005,-0.023,0.03
dev_143,-0.003,-0.013,-0.005,0.042,0.009,-0.019,-0.001,-0.036,0.038
dev_144,0.006,0.009,0.023,-0.003,0.018,0.024,-0.031,0.005,-0.003
dev_145,0.003,0.022,0.022,-0.018,0.054,0.006,-0.04,-0.025,0.014
dev_146,0.015,-0.029,-0.009,-0.023,0.024,0.012,0.011,-0.028,0.049
dev_147,0.005,-0.029,-0.024,-0.015,0.039,-0.009,-0.041,-0.033,-0.017
dev_148,0.0,0.007,0.024,-0.026,0.023,-0.019,0.001,0.019,0.031
dev_149,-0.006,-0.006,-0.006,0.079,-0.051,-0.052,0.021,-0.013,0.007
dev_150,-0.005,0.021,-0.037,-0.017,0.01,-0.011,0.019,0.015,-0.003
dev_151,0.026,0.071,-0.032,-0.01,0.022,-0.015,-0.005,-0.008,0.051
dev_152,-0.014,-0.004,0.01,0.054,-0.001,0.0,0.002,-0.015,0.032
dev_153,0.015,0.015,0.002,0.01,-0.001,-0.038,0.003,0.005,-0.057
dev_154,-0.002,-0.072,0.0,0.004,-0.013,-0.014,-0.025,-0.079,0.034
dev_155,-0.016,0.018,-0.028,0.031,-0.055,-0.039,0.013,0.012,0.012
dev_156,0.013,-0.017,0.0,-0.003,0.032,-0.007,-0.066,-0.007,0.023
dev_157,-0.014,0.034,-0.029,0.033,-0.002,0.015,-0.015,-0.016,0.006
dev_158,-0.008,-0.012,0.02,-0.035,-0.002,0.022,0.015,-0.011,-0.008
dev_159,0.008,-0.017,-0.03,-0.006,0.022,0.008,-0.026,-0.043,-0.0
dev_160,-0.001,-0.011,0.006,0.015,-0.006,-0.019,0.005,0.01,0.001
dev_161,-0.001,-0.026,-0.051,-0.022,0.025,-0.016,-0.004,0.029,0.003
dev_162,0.006,0.044,-0.032,0.015,0.035,0.002,-0.004,-0.028,-0.038
dev_163,0.015,0.032,-0.02,0.0,0.016,-0.017,-0.025,-0.003,0.009
dev_164,-0.035,-0.016,-0.018,-0.005,-0.021,-0.019,0.018,0.033,0.005
dev_165,-0.007,-0.045,-0.017,0.023,-0.03,-0.038,-0.015,-0.039,0.038
dev_166,-0.003,0.028,-0.043,0.012,0.064,0.022,-0.005,0.033,-0.016
dev_167,0.013,-0.036,-0.042,-0.004,0.025,-0.007,0.019,0.029,-0.036
dev_168,0.016,-0.003,-0.02,0.02,0.037,0.026,-0.045,-0.01,-0.04
dev_169,0.013,-0.039,0.009,0.022,0.01,0.039,-0.024,-0.056,0.049
dev_170,-0.0,-0.015,-0.046,-0.025,-0.033,0.029,-0.044,0.01,-0.02
dev_171,-0.003,-0.029,0.004,0.017,0.019,0.005,-0.014,0.031,-0.017
dev_172,-0.028,-0.024,-0.018,0.016,0.042,-0.007,0.023,0.05,-0.018
dev_173,-0.001,0.009,-0.012,0.017,-0.015,-0.032,0.03,0.035,0.01
dev_174,-0.011,0.025,-0.032,0.035,-0.023,-0.037,0.055,0.001,-0.029
dev_175,-0.022,0.04,0.012,-0.019,0.029,0.015,-0.009,-0.017,-0.007
dev_176,0.0,-0.013,0.02,0.035,-0.027,-0.053,0.043,-0.014,0.063
dev_177,-0.002,-0.016,-0.028,0.029,-0.011,0.051,-0.045,0.047,0.019
dev_178,-0.037,-0.06,-0.014,0.025,0.002,-0.025,-0.008,0.022,-0.01
dev_179,0.012,-0.042,-0.03,-0.018,0.019,0.025,-0.02,-0.033,0.048
dev_180,-0.022,-0.06,-0.007,0.044,-0.012,-0.023,0.026,-0.031,-0.006
dev_181,0.037,0.001,-0.039,-0.018,0.037,0.046,-0.008,-0.028,0.022
dev_182,-0.01,0.017,-0.02,0.027,-0.05,0.03,-0.04,-0.013,-0.028
dev_183,-0.04,-0.008,-0.007,0.028,0.037,-0.008,0.038,0.011,0.023
dev_184,-0.037,-0.004,-0.017,0.021,0.037,-0.01,0.034,-0.006,0.006
dev_185,0.005,0.027,-0.007,-0.054,0.06,0.032,-0.002,0.008,0.026
dev_186,-0.001,0.001,-0.012,0.023,-0.017,0.007,0.016,-0.015,0.003
dev_187,0.02,-0.03,-0.003,0.014,0.04,0.021,-0.064,-0.02,-0.01
dev_188,-0.048,-0.052,0.022,0.036,0.027,0.011,-0.001,0.011,0.015
dev_189,0.034,0.006,-0.018,0.016,0.008,0.043,-0.017,-0.005,-0.018
dev_190,0.023,-0.01,0.027,0.013,0.015,-0.025,-0.02,-0.021,0.03
dev_191,-0.023,0.046,-0.071,-0.018,0.049,0.017,-0.025,-0.031,-0.009
dev_192,-0.024,-0.006,0.007,0.044,0.027,0.014,-0.001,-0.036,0.027
dev_193,0.05,0.094,-0.053,0.012,-0.005,0.011,0.022,0.052,-0.026
dev_194,-0.01,-0.077,-0.012,0.002,0.004,0.003,0.015,-0.025,0.015
dev_195,-0.034,-0.075,0.009,0.003,-0.01,-0.053,0.021,0.003,0.019
dev_196,0.011,0.013,0.037,0.047,-0.002,-0.032,-0.005,0.011,-0.008
dev_197,-0.009,-0.035,0.032,0.084,-0.015,-0.007,0.005,-0.073,0.016
dev_198,0.014,-0.022,-0.006,0.047,-0.009,0.0,-0.008,0.016,0.009
dev_199,0.02,0.025,-0.026,0.015,-0.006,0.003,-0.044,0.009,0.011
range_0,0.019,0.018,-0.003,0.032,0.018,0.019,-0.007,0.002,-0.01
range_1,-0.001,0.034,0.001,-0.035,0.026,-0.022,0.013,0.033,-0.019
