,precision,recall,f1-score,support
CsCl,0.919,0.419,0.576,136.0
CuAu,0.253,0.622,0.359,37.0
FeAs,0.586,0.526,0.554,78.0
FeB-b,0.639,0.513,0.569,197.0
FeSi,0.591,0.901,0.714,162.0
NaCl,0.648,0.753,0.697,227.0
NiAs,0.346,0.783,0.48,83.0
TlI,0.96,0.414,0.578,401.0
ZnS,0.561,0.989,0.715,89.0
accuracy,0.609,0.609,0.609,0.609
macro avg,0.611,0.658,0.582,1410.0
weighted avg,0.718,0.609,0.607,1410.0
