n_component,accuracy
2,0.28581560283687946
3,0.29219858156028367
4,0.3964539007092199
5,0.4340425531914894
6,0.47588652482269506
7,0.48439716312056735
8,0.5460992907801419
9,0.6085106382978723
10,0.5829787234042553
