,Component_1 (16.003%),Component_2 (8.875%),Component_3 (6.903%),Component_4 (3.115%),Component_5 (7.375%),Component_6 (3.705%),Component_7 (2.497%),Component_8 (2.090%),Component_9 (0.824%),Component_10 (2.512%)
dev_NsUnfilled,-0.117,-0.044,0.058,-0.003,0.055,0.058,0.011,0.027,0.052,0.153
dev_NpUnfilled,0.063,-0.083,-0.162,-0.024,-0.101,0.063,-0.11,0.176,0.166,-0.004
dev_NdUnfilled,-0.026,-0.044,0.024,-0.021,-0.025,-0.145,0.068,0.112,-0.027,0.032
dev_NfUnfilled,0.066,-0.088,0.017,0.099,-0.028,-0.042,0.127,-0.025,0.056,0.138
dev_NUnfilled,0.037,-0.081,0.033,0.076,0.013,-0.088,0.198,-0.004,-0.004,0.097
dev_GSvolume_pa,0.031,0.291,0.247,-0.069,-0.01,-0.054,-0.09,0.246,0.039,-0.056
dev_GSbandgap,-0.019,0.096,-0.047,-0.006,-0.135,-0.005,-0.022,-0.073,0.083,0.032
dev_GSmagmom,-0.101,0.079,-0.026,-0.131,-0.068,-0.002,0.028,0.015,-0.003,-0.011
dev_SpaceGroupNumber,0.077,-0.025,-0.006,-0.012,-0.031,0.206,0.111,0.198,-0.096,-0.065
range_Number,0.009,0.069,0.038,0.242,-0.046,0.092,-0.068,0.047,0.042,0.075
range_MendeleevNumber,0.096,-0.062,0.063,-0.089,-0.14,-0.041,0.016,-0.022,-0.091,0.089
range_AtomicWeight,0.011,0.072,0.049,0.236,-0.041,0.095,-0.064,0.043,0.022,0.093
range_MeltingT,0.017,-0.114,-0.045,-0.046,0.001,0.184,0.038,0.129,-0.219,0.108
range_Column,0.092,-0.09,0.025,-0.075,-0.172,0.025,-0.031,-0.06,-0.046,0.015
range_Row,0.047,0.087,0.035,0.188,-0.109,0.089,-0.004,0.004,0.03,0.092
range_CovalentRadius,0.095,0.062,0.153,-0.013,-0.162,0.039,0.054,-0.054,-0.086,0.013
range_Electronegativity,0.036,-0.072,0.129,0.021,-0.027,-0.035,0.006,-0.055,0.01,-0.047
range_NsValence,-0.096,-0.001,0.096,-0.081,0.032,0.085,0.082,0.007,0.04,0.054
