n_component,accuracy
2,0.2397163120567376
3,0.20567375886524822
4,0.22695035460992907
5,0.3475177304964539
6,0.3567375886524823
7,0.3567375886524823
8,0.36028368794326243
9,0.36312056737588655
10,0.40354609929078017
