,precision,recall,f1-score,support
CsCl,0.964,0.971,0.967,136.0
CuAu,0.972,0.946,0.959,37.0
FeAs,0.987,1.0,0.994,78.0
FeB-b,0.99,0.959,0.974,197.0
FeSi,0.988,0.994,0.991,162.0
NaCl,0.996,1.0,0.998,227.0
NiAs,1.0,1.0,1.0,83.0
TlI,0.985,0.995,0.99,401.0
ZnS,1.0,0.989,0.994,89.0
accuracy,0.987,0.987,0.987,0.987
macro avg,0.987,0.984,0.985,1410.0
weighted avg,0.987,0.987,0.987,1410.0
