Entry,Formula,Structure,A,B,INT_distAA,INT_distBB,INT_distAB,INT_Asize,INT_Bsize,INT_Asize_by_Bsize,INT_distAA_by2_byAsize,INT_distBB_by2_byBsize,INT_distAB_by2_byAsizebyBsize,INT_Asize_ref,INT_Bsize_ref,INT_percent_diff_A_by_100,INT_percent_diff_B_by_100,INT_distAA_minus_ref_diff,INT_distBB_minus_ref_diff,INT_distAB_minus_ref_diff,INT_R_factor,INT_UNI_shortest_homoatomic_dist,INT_UNI_shortest_heteroatomic_dist,INT_UNI_shortest_homoatomic_dist_by_2_by_atom_size,INT_UNI_shortest_heteroatomic_dist_by_sum_of_atom_sizes,INT_UNI_shortest_homoatomic_dist_by_2_by_refined_atom_size,INT_UNI_shortest_heteroatomic_dist_by_sum_of_refined_atom_sizes,INT_UNI_highest_refined_percent_diff_abs,INT_UNI_lowest_refined_percent_diff_abs,INT_UNI_refined_packing_efficiency,WYK_A_lowest_wyckoff,WYK_B_lowest_wyckoff,WYK_identical_lowest_wyckoff_count,WYK_A_sites_total,WYK_B_sites_total,WYK_A_multiplicity_total,WYK_B_multiplicity_total,ENV_A_shortest_dist_count,ENV_B_shortest_dist_count,ENV_A_avg_shortest_dist_count,ENV_B_avg_shortest_dist_count,ENV_A_shortest_tol_dist_count,ENV_B_shortest_tol_dist_count,ENV_A_avg_shortest_dist_within_tol_count,ENV_B_avg_shortest_dist_within_tol_count,ENV_A_second_by_first_shortest_dist,ENV_B_second_by_first_shortest_dist,ENV_A_avg_second_by_first_shortest_dist,ENV_B_avg_second_by_first_shortest_dist,ENV_A_second_shortest_dist_count,ENV_B_second_shortest_dist_count,ENV_A_avg_second_shortest_dist_count,ENV_B_avg_second_shortest_dist_count,ENV_A_homoatomic_dist_by_shortest_dist,ENV_B_homoatomic_dist_by_shortest_dist,ENV_A_avg_homoatomic_dist_by_shortest_dist,ENV_B_avg_homoatomic_dist_by_shortest_dist,ENV_A_count_at_A_shortest_dist,ENV_A_count_at_B_shortest_dist,ENV_A_avg_count_at_A_shortest_dist,ENV_A_avg_count_at_B_shortest_dist,ENV_B_count_at_A_shortest_dist,ENV_B_count_at_B_shortest_dist,ENV_B_avg_count_at_A_shortest_dist,ENV_B_avg_count_at_B_shortest_dist,CN_AVG_coordination_number,CN_AVG_A_atom_count,CN_AVG_B_atom_count,CN_AVG_polyhedron_volume,CN_AVG_central_atom_to_center_of_mass_dist,CN_AVG_number_of_edges,CN_AVG_number_of_faces,CN_AVG_shortest_distance_to_face,CN_AVG_shortest_distance_to_edge,CN_AVG_volume_of_inscribed_sphere,CN_AVG_packing_efficiency,CN_MIN_coordination_number,CN_MIN_A_atom_count,CN_MIN_B_atom_count,CN_MIN_polyhedron_volume,CN_MIN_central_atom_to_center_of_mass_dist,CN_MIN_number_of_edges,CN_MIN_number_of_faces,CN_MIN_shortest_distance_to_face,CN_MIN_shortest_distance_to_edge,CN_MIN_volume_of_inscribed_sphere,CN_MIN_packing_efficiency,CN_MAX_coordination_number,CN_MAX_A_atom_count,CN_MAX_B_atom_count,CN_MAX_polyhedron_volume,CN_MAX_central_atom_to_center_of_mass_dist,CN_MAX_number_of_edges,CN_MAX_number_of_faces,CN_MAX_shortest_distance_to_face,CN_MAX_shortest_distance_to_edge,CN_MAX_volume_of_inscribed_sphere,CN_MAX_packing_efficiency
1715354,CoSb,NiAs,Co,Sb,2.6,3.443,2.605,1.25,1.434,0.872,1.04,1.2,0.971,1.3,1.305,0.04,-0.09,0.0,0.242,0.0,0.01,2.6,2.605,1.04,0.971,1.0,1.0,0.09,0.04,0.538,2,2,2,1,1,2,2,2,6,2.0,6.0,8,6,8.0,6.0,1.002,1.322,1.002,1.322,6,6,6.0,6.0,1.0,1.322,1.0,1.322,2,6,2.0,6.0,0,0,0.0,0.0,11.5,4.0,7.5,59.521,0.0,21.75,14.5,1.92,1.979,36.803,0.588,7.0,4.0,3.0,22.948,0.0,15.0,10.0,1.433,1.426,12.646,0.548,7.0,4.0,9.0,71.712,0.0,24.0,16.0,2.083,2.164,44.855,0.602
525519,NdNi,TlI,Nd,Ni,3.529,3.132,2.712,1.813,1.246,1.455,0.973,1.257,0.887,1.146,1.566,-0.368,0.257,0.351,-0.0,0.0,0.201,3.132,2.712,1.257,0.887,1.0,1.0,0.368,0.257,0.519,4,4,2,1,1,4,4,1,1,1.0,1.0,1,1,1.0,1.0,1.067,1.067,1.067,1.067,4,4,4.0,4.0,1.301,1.155,1.301,1.155,0,1,0.0,1.0,1,0,1.0,0.0,12.75,8.25,4.5,83.554,0.348,32.25,21.5,2.106,2.205,45.029,0.491,12.0,7.5,4.5,75.368,0.348,30.0,20.0,1.92,2.051,31.26,0.407,12.0,8.5,4.5,86.283,0.351,33.0,22.0,2.168,2.256,49.618,0.519
453470,CePd,TlI,Ce,Pd,3.678,3.265,2.824,1.819,1.376,1.322,1.011,1.186,0.884,1.191,1.632,-0.345,0.186,0.352,0.0,0.0,0.154,3.265,2.824,1.186,0.884,1.0,1.0,0.345,0.186,0.524,4,4,2,1,1,4,4,1,1,1.0,1.0,1,1,1.0,1.0,1.064,1.064,1.064,1.064,4,4,4.0,4.0,1.302,1.156,1.302,1.156,0,1,0.0,1.0,1,0,1.0,0.0,12.75,8.25,4.5,93.561,0.363,32.25,21.5,2.186,2.281,50.49,0.491,12.0,7.5,4.5,84.394,0.363,30.0,20.0,1.996,2.128,35.21,0.408,12.0,8.5,4.5,96.616,0.366,33.0,22.0,2.25,2.332,55.584,0.518
1521908,DySi,TlI,Dy,Si,3.517,2.494,2.932,1.752,1.176,1.49,1.004,1.06,1.001,1.685,1.247,-0.038,0.06,0.042,0.0,0.0,0.005,2.494,2.932,1.06,1.001,1.0,1.0,0.06,0.038,0.664,4,4,2,1,1,4,4,4,2,4.0,2.0,5,2,5.0,2.0,1.01,1.176,1.01,1.176,1,4,1.0,4.0,1.2,1.0,1.2,1.0,0,0,0.0,0.0,4,2,4.0,2.0,13.0,8.5,4.5,84.891,0.148,33.0,22.0,2.324,2.39,57.585,0.655,13.0,8.5,4.5,84.891,0.148,33.0,22.0,2.324,2.39,57.585,0.655,13.0,8.5,4.5,84.891,0.148,33.0,22.0,2.324,2.39,57.585,0.655
1229869,YSi,TlI,Y,Si,3.394,2.975,2.728,1.783,1.176,1.516,0.952,1.265,0.922,1.241,1.488,-0.304,0.265,0.269,0.0,-0.0,0.163,2.975,2.728,1.265,0.922,1.0,1.0,0.304,0.265,0.507,4,4,2,1,1,4,4,1,1,1.0,1.0,1,1,1.0,1.0,1.055,1.055,1.055,1.055,4,4,4.0,4.0,1.244,1.091,1.244,1.091,0,1,0.0,1.0,1,0,1.0,0.0,13.0,8.5,4.5,86.002,0.35,33.0,22.0,2.174,2.304,49.808,0.524,13.0,8.5,4.5,86.002,0.35,33.0,22.0,2.174,2.304,49.808,0.524,13.0,8.5,4.5,86.002,0.35,33.0,22.0,2.174,2.304,49.808,0.524
528940,YGe,TlI,Y,Ge,3.46,3.036,2.77,1.783,1.225,1.456,0.97,1.239,0.921,1.252,1.518,-0.298,0.239,0.276,0.0,0.0,0.146,3.036,2.77,1.239,0.921,1.0,1.0,0.298,0.239,0.509,4,4,2,1,1,4,4,1,1,1.0,1.0,1,1,1.0,1.0,1.052,1.052,1.052,1.052,4,4,4.0,4.0,1.249,1.096,1.249,1.096,0,1,0.0,1.0,1,0,1.0,0.0,13.0,8.5,4.5,89.812,0.356,33.0,22.0,2.212,2.358,52.178,0.528,13.0,8.5,4.5,89.812,0.356,33.0,22.0,2.212,2.358,52.178,0.528,13.0,8.5,4.5,89.812,0.356,33.0,22.0,2.212,2.358,52.178,0.528
451529,YIn,CsCl,Y,In,3.806,3.806,3.296,1.783,1.624,1.098,1.067,1.172,0.967,1.903,1.393,0.067,-0.142,0.0,0.268,0.0,0.025,3.806,3.296,1.067,0.967,1.0,1.0,0.142,0.067,0.729,1,1,2,1,1,1,1,8,8,8.0,8.0,8,8,8.0,8.0,1.155,1.155,1.155,1.155,6,6,6.0,6.0,1.155,1.155,1.155,1.155,0,8,0.0,8.0,8,0,8.0,0.0,14.0,7.0,7.0,110.265,0.0,36.0,24.0,2.837,2.691,95.628,0.867,14.0,7.0,7.0,110.265,0.0,36.0,24.0,2.837,2.691,95.628,0.867,14.0,7.0,7.0,110.265,0.0,36.0,24.0,2.837,2.691,95.628,0.867
527642,RhSb,FeAs,Rh,Sb,3.068,3.238,2.589,1.345,1.434,0.938,1.141,1.129,0.932,1.534,1.055,0.141,-0.264,0.0,0.348,0.0,0.09,3.068,2.589,1.141,0.932,1.0,1.0,0.264,0.141,0.55,4,4,2,1,1,4,4,1,1,1.0,1.0,5,5,5.0,5.0,1.022,1.022,1.022,1.022,2,2,2.0,2.0,1.185,1.251,1.185,1.251,0,1,0.0,1.0,1,0,1.0,0.0,9.625,5.125,4.5,45.424,0.219,21.75,14.5,1.642,1.605,22.515,0.462,8.0,5.0,3.0,31.574,0.178,18.0,12.0,1.474,1.41,15.061,0.442,8.0,5.5,9.0,86.976,0.232,33.0,22.0,2.142,2.188,44.875,0.522
528217,SmGa,TlI,Sm,Ga,3.613,3.173,2.881,1.793,1.243,1.442,1.008,1.276,0.949,1.294,1.586,-0.278,0.276,0.283,0.0,0.0,0.154,3.173,2.881,1.276,0.949,1.0,1.0,0.278,0.276,0.511,4,4,2,1,1,4,4,1,1,1.0,1.0,1,1,1.0,1.0,1.051,1.051,1.051,1.051,4,4,4.0,4.0,1.254,1.101,1.254,1.101,0,1,0.0,1.0,1,0,1.0,0.0,13.0,8.5,4.5,101.019,0.37,33.0,22.0,2.3,2.466,58.365,0.529,13.0,8.5,4.5,101.019,0.37,33.0,22.0,2.3,2.466,58.365,0.529,13.0,8.5,4.5,101.019,0.37,33.0,22.0,2.3,2.466,58.365,0.529
454860,CoSb,NiAs,Co,Sb,2.59,3.423,2.585,1.25,1.434,0.872,1.036,1.194,0.963,1.295,1.29,0.036,-0.1,0.0,0.246,0.0,0.011,2.59,2.585,1.036,0.963,1.0,1.0,0.1,0.036,0.537,2,2,2,1,1,2,2,6,6,6.0,6.0,8,6,8.0,6.0,1.002,1.324,1.002,1.324,2,6,2.0,6.0,1.002,1.324,1.002,1.324,0,6,0.0,6.0,6,0,6.0,0.0,11.5,4.0,7.5,58.268,0.0,21.75,14.5,1.91,1.965,36.274,0.59,7.0,4.0,3.0,22.464,0.0,15.0,10.0,1.424,1.415,12.394,0.55,7.0,4.0,9.0,70.202,0.0,24.0,16.0,2.072,2.148,44.234,0.604
