Entry,Formula,Structure,A,B,INT_distAA,INT_distBB,INT_distAB,INT_Asize,INT_Bsize,INT_Asize_by_Bsize,INT_distAA_by2_byAsize,INT_distBB_by2_byBsize,INT_distAB_by2_byAsizebyBsize,INT_Asize_ref,INT_Bsize_ref,INT_percent_diff_A_by_100,INT_percent_diff_B_by_100,INT_distAA_minus_ref_diff,INT_distBB_minus_ref_diff,INT_distAB_minus_ref_diff,INT_R_factor,INT_UNI_shortest_homoatomic_dist,INT_UNI_shortest_heteroatomic_dist,INT_UNI_shortest_homoatomic_dist_by_2_by_atom_size,INT_UNI_shortest_heteroatomic_dist_by_sum_of_atom_sizes,INT_UNI_shortest_homoatomic_dist_by_2_by_refined_atom_size,INT_UNI_shortest_heteroatomic_dist_by_sum_of_refined_atom_sizes,INT_UNI_highest_refined_percent_diff_abs,INT_UNI_lowest_refined_percent_diff_abs,INT_UNI_refined_packing_efficiency,WYK_A_lowest_wyckoff,WYK_B_lowest_wyckoff,WYK_identical_lowest_wyckoff_count,WYK_A_sites_total,WYK_B_sites_total,WYK_A_multiplicity_total,WYK_B_multiplicity_total,ENV_A_shortest_dist_count,ENV_B_shortest_dist_count,ENV_A_avg_shortest_dist_count,ENV_B_avg_shortest_dist_count,ENV_A_shortest_tol_dist_count,ENV_B_shortest_tol_dist_count,ENV_A_avg_shortest_dist_within_tol_count,ENV_B_avg_shortest_dist_within_tol_count,ENV_A_second_by_first_shortest_dist,ENV_B_second_by_first_shortest_dist,ENV_A_avg_second_by_first_shortest_dist,ENV_B_avg_second_by_first_shortest_dist,ENV_A_second_shortest_dist_count,ENV_B_second_shortest_dist_count,ENV_A_avg_second_shortest_dist_count,ENV_B_avg_second_shortest_dist_count,ENV_A_homoatomic_dist_by_shortest_dist,ENV_B_homoatomic_dist_by_shortest_dist,ENV_A_avg_homoatomic_dist_by_shortest_dist,ENV_B_avg_homoatomic_dist_by_shortest_dist,ENV_A_count_at_A_shortest_dist,ENV_A_count_at_B_shortest_dist,ENV_A_avg_count_at_A_shortest_dist,ENV_A_avg_count_at_B_shortest_dist,ENV_B_count_at_A_shortest_dist,ENV_B_count_at_B_shortest_dist,ENV_B_avg_count_at_A_shortest_dist,ENV_B_avg_count_at_B_shortest_dist,CN_AVG_coordination_number,CN_AVG_A_atom_count,CN_AVG_B_atom_count,CN_AVG_polyhedron_volume,CN_AVG_central_atom_to_center_of_mass_dist,CN_AVG_number_of_edges,CN_AVG_number_of_faces,CN_AVG_shortest_distance_to_face,CN_AVG_shortest_distance_to_edge,CN_AVG_volume_of_inscribed_sphere,CN_AVG_packing_efficiency,CN_MIN_coordination_number,CN_MIN_A_atom_count,CN_MIN_B_atom_count,CN_MIN_polyhedron_volume,CN_MIN_central_atom_to_center_of_mass_dist,CN_MIN_number_of_edges,CN_MIN_number_of_faces,CN_MIN_shortest_distance_to_face,CN_MIN_shortest_distance_to_edge,CN_MIN_volume_of_inscribed_sphere,CN_MIN_packing_efficiency,CN_MAX_coordination_number,CN_MAX_A_atom_count,CN_MAX_B_atom_count,CN_MAX_polyhedron_volume,CN_MAX_central_atom_to_center_of_mass_dist,CN_MAX_number_of_edges,CN_MAX_number_of_faces,CN_MAX_shortest_distance_to_face,CN_MAX_shortest_distance_to_edge,CN_MAX_volume_of_inscribed_sphere,CN_MAX_packing_efficiency
1815331,CoSi,FeSi,Co,Si,2.735,2.754,2.312,1.25,1.176,1.063,1.094,1.171,0.953,1.368,0.944,0.094,-0.197,0.0,0.314,0.0,0.048,2.735,2.312,1.094,0.953,1.0,1.0,0.197,0.094,0.646,4,4,2,1,1,4,4,1,1,1.0,1.0,4,4,4.0,4.0,1.013,1.013,1.013,1.013,3,3,3.0,3.0,1.183,1.191,1.183,1.191,0,1,0.0,1.0,1,0,1.0,0.0,13.0,6.5,6.5,40.382,0.062,33.0,22.0,1.78,1.858,23.668,0.586,13.0,6.5,6.5,40.382,0.062,33.0,22.0,1.78,1.858,23.668,0.586,13.0,6.5,6.5,40.382,0.062,33.0,22.0,1.78,1.858,23.668,0.586
250979,ErNi,FeB-b,Er,Ni,3.519,2.431,2.794,1.734,1.246,1.392,1.015,0.976,0.938,1.578,1.216,-0.09,-0.024,0.103,0.0,0.0,0.009,2.431,2.794,0.976,0.938,1.0,1.0,0.09,0.024,0.615,4,4,2,1,1,4,4,1,2,1.0,2.0,6,2,6.0,2.0,1.011,1.149,1.011,1.149,1,1,1.0,1.0,1.259,1.0,1.259,1.0,0,0,0.0,0.0,1,2,1.0,2.0,13.0,8.5,4.5,78.11,0.078,33.0,22.0,2.21,2.266,48.839,0.617,13.0,8.5,4.5,78.11,0.078,33.0,22.0,2.21,2.266,48.839,0.617,13.0,8.5,4.5,78.11,0.078,33.0,22.0,2.21,2.266,48.839,0.617
1248169,CeGa,TlI,Ce,Ga,3.71,3.255,2.969,1.819,1.243,1.463,1.02,1.309,0.97,1.341,1.628,-0.263,0.309,0.277,0.0,0.0,0.165,3.255,2.969,1.309,0.97,1.0,1.0,0.309,0.263,0.515,4,4,2,1,1,4,4,1,1,1.0,1.0,5,5,5.0,5.0,1.046,1.046,1.046,1.046,4,4,4.0,4.0,1.25,1.096,1.25,1.096,0,1,0.0,1.0,1,0,1.0,0.0,13.0,8.5,4.5,109.331,0.381,33.0,22.0,2.367,2.524,63.794,0.532,13.0,8.5,4.5,109.331,0.381,33.0,22.0,2.367,2.524,63.794,0.532,13.0,8.5,4.5,109.331,0.381,33.0,22.0,2.367,2.524,63.794,0.532
1818832,TmSb,NaCl,Tm,Sb,4.317,4.317,3.053,1.726,1.434,1.204,1.251,1.505,0.966,2.158,0.894,0.251,-0.376,0.0,0.586,0.0,0.204,4.317,3.053,1.251,0.966,1.0,1.0,0.376,0.251,0.793,4,4,2,1,1,4,4,6,6,6.0,6.0,6,6,6.0,6.0,1.414,1.414,1.414,1.414,12,12,12.0,12.0,1.414,1.414,1.414,1.414,0,6,0.0,6.0,6,0,6.0,0.0,10.5,7.5,3.0,94.852,0.0,18.75,12.5,2.308,2.494,66.686,0.654,6.0,3.0,3.0,37.939,0.0,12.0,8.0,1.762,2.158,22.936,0.605,6.0,9.0,3.0,113.823,0.0,21.0,14.0,2.49,2.606,81.269,0.67
525429,YbSb,NaCl,Yb,Sb,4.298,4.298,3.039,1.939,1.434,1.352,1.108,1.499,0.901,2.149,0.89,0.108,-0.379,0.0,0.586,0.0,0.156,4.298,3.039,1.108,0.901,1.0,1.0,0.379,0.108,0.793,4,4,2,1,1,4,4,2,3,2.0,3.0,6,6,6.0,6.0,1.0,1.0,1.0,1.0,4,3,4.0,3.0,1.414,1.414,1.414,1.414,0,3,0.0,3.0,2,0,2.0,0.0,10.5,7.5,3.0,93.581,0.0,18.75,12.5,2.297,2.483,65.764,0.654,6.0,3.0,3.0,37.432,0.0,12.0,8.0,1.754,2.149,22.607,0.604,6.0,9.0,3.0,112.298,0.0,21.0,14.0,2.478,2.594,80.149,0.67
261024,HoSb,NaCl,Ho,Sb,4.335,4.335,3.065,1.745,1.434,1.217,1.242,1.512,0.964,2.168,0.897,0.242,-0.374,0.0,0.586,0.0,0.199,4.335,3.065,1.242,0.964,1.0,1.0,0.374,0.242,0.793,4,4,2,1,1,4,4,6,6,6.0,6.0,6,6,6.0,6.0,1.414,1.414,1.414,1.414,12,12,12.0,12.0,1.414,1.414,1.414,1.414,0,6,0.0,6.0,6,0,6.0,0.0,10.5,7.5,3.0,95.978,0.0,18.75,12.5,2.318,2.504,67.479,0.654,6.0,3.0,3.0,38.391,0.0,12.0,8.0,1.77,2.167,23.211,0.605,6.0,9.0,3.0,115.173,0.0,21.0,14.0,2.5,2.616,82.235,0.67
533539,CoGa,CsCl,Co,Ga,2.883,2.883,2.497,1.25,1.243,1.006,1.153,1.16,1.002,1.442,1.055,0.153,-0.151,0.0,0.268,0.0,0.046,2.883,2.497,1.153,1.002,1.0,1.0,0.153,0.151,0.729,1,1,2,1,1,1,1,8,8,8.0,8.0,8,8,8.0,8.0,1.155,1.155,1.155,1.155,6,6,6.0,6.0,1.155,1.155,1.155,1.155,0,8,0.0,8.0,8,0,8.0,0.0,14.0,7.0,7.0,47.95,0.0,36.0,24.0,2.122,2.039,40.03,0.834,14.0,7.0,7.0,47.95,0.0,36.0,24.0,2.122,2.039,40.03,0.834,14.0,7.0,7.0,47.95,0.0,36.0,24.0,2.122,2.039,40.03,0.834
528119,NdPt,FeB-b,Nd,Pt,3.739,2.647,2.902,1.813,1.387,1.307,1.031,0.954,0.907,1.578,1.324,-0.129,-0.046,0.156,0.0,0.0,0.019,2.647,2.902,0.954,0.907,1.0,1.0,0.129,0.046,0.56,4,4,2,1,1,4,4,1,2,1.0,2.0,2,2,2.0,2.0,1.014,1.096,1.014,1.096,1,1,1.0,1.0,1.288,1.0,1.288,1.0,0,0,0.0,0.0,1,2,1.0,2.0,12.75,8.25,4.5,90.437,0.082,32.25,21.5,2.286,2.331,54.234,0.586,12.0,7.5,4.5,81.105,0.08,30.0,20.0,2.149,2.222,42.998,0.538,12.0,8.5,4.5,93.548,0.086,33.0,22.0,2.332,2.367,57.98,0.602
525415,YbSb,NaCl,Yb,Sb,4.299,4.299,3.04,1.939,1.434,1.352,1.109,1.499,0.901,2.15,0.89,0.109,-0.379,0.0,0.586,0.0,0.155,4.299,3.04,1.109,0.901,1.0,1.0,0.379,0.109,0.793,4,4,2,1,1,4,4,6,6,6.0,6.0,6,6,6.0,6.0,1.414,1.414,1.414,1.414,12,12,12.0,12.0,1.414,1.414,1.414,1.414,0,6,0.0,6.0,6,0,6.0,0.0,10.5,7.5,3.0,93.648,0.0,18.75,12.5,2.298,2.484,65.842,0.654,6.0,3.0,3.0,37.459,0.0,12.0,8.0,1.755,2.15,22.648,0.605,6.0,9.0,3.0,112.378,0.0,21.0,14.0,2.48,2.595,80.239,0.67
261018,PrSb,NaCl,Pr,Sb,4.498,4.498,3.18,1.82,1.434,1.269,1.236,1.568,0.977,2.249,0.931,0.236,-0.351,0.0,0.586,0.0,0.179,4.498,3.18,1.236,0.977,1.0,1.0,0.351,0.236,0.793,4,4,2,1,1,4,4,6,6,6.0,6.0,6,6,6.0,6.0,1.414,1.414,1.414,1.414,12,12,12.0,12.0,1.414,1.414,1.414,1.414,0,6,0.0,6.0,6,0,6.0,0.0,10.5,7.5,3.0,107.236,0.0,18.75,12.5,2.404,2.598,75.354,0.654,6.0,3.0,3.0,42.894,0.0,12.0,8.0,1.836,2.248,25.919,0.604,6.0,9.0,3.0,128.684,0.0,21.0,14.0,2.594,2.714,91.832,0.67
451380,YPt,FeB-b,Pt,Y,2.597,3.646,2.816,1.387,1.783,0.778,0.936,1.022,0.888,1.298,1.517,-0.064,-0.149,0.0,0.168,0.0,0.026,2.597,2.816,0.936,0.888,1.0,1.0,0.149,0.064,0.547,4,4,2,1,1,4,4,2,1,2.0,1.0,2,2,2.0,2.0,1.084,1.021,1.084,1.021,1,1,1.0,1.0,1.0,1.295,1.0,1.295,2,1,2.0,1.0,0,0,0.0,0.0,12.75,4.5,8.25,84.185,0.08,32.25,21.5,2.2,2.264,47.946,0.563,12.0,4.5,7.5,75.498,0.079,30.0,20.0,2.1,2.168,40.202,0.538,12.0,4.5,8.5,87.081,0.084,33.0,22.0,2.234,2.296,50.527,0.572
1731488,CeSb,NaCl,Ce,Sb,4.468,4.468,3.16,1.819,1.434,1.268,1.228,1.558,0.971,2.234,0.926,0.228,-0.354,0.0,0.585,0.0,0.178,4.468,3.16,1.228,0.971,1.0,1.0,0.354,0.228,0.793,4,4,2,1,1,4,4,6,6,6.0,6.0,6,6,6.0,6.0,1.414,1.414,1.414,1.414,12,12,12.0,12.0,1.414,1.414,1.414,1.414,0,6,0.0,6.0,6,0,6.0,0.0,10.5,7.5,3.0,105.152,0.0,18.75,12.5,2.389,2.581,73.894,0.654,6.0,3.0,3.0,42.062,0.0,12.0,8.0,1.824,2.234,25.425,0.604,6.0,9.0,3.0,126.182,0.0,21.0,14.0,2.577,2.696,90.051,0.67
451394,DyRh,CsCl,Dy,Rh,3.403,3.403,2.947,1.752,1.345,1.303,0.971,1.265,0.952,1.702,1.246,-0.029,-0.074,0.0,0.268,0.0,0.006,3.403,2.947,0.971,0.952,1.0,1.0,0.074,0.029,0.729,1,1,2,1,1,1,1,8,8,8.0,8.0,8,8,8.0,8.0,1.155,1.155,1.155,1.155,6,6,6.0,6.0,1.155,1.155,1.155,1.155,0,8,0.0,8.0,8,0,8.0,0.0,14.0,7.0,7.0,78.814,0.0,36.0,24.0,2.472,2.406,63.26,0.802,14.0,7.0,7.0,78.814,0.0,36.0,24.0,2.472,2.406,63.26,0.802,14.0,7.0,7.0,78.814,0.0,36.0,24.0,2.472,2.406,63.26,0.802
1129088,FePt,CuAu,Fe,Pt,2.728,2.728,2.685,1.242,1.387,0.895,1.098,0.983,1.021,1.364,1.321,0.098,-0.048,0.0,0.032,0.0,0.012,2.728,2.685,1.098,1.021,1.0,1.0,0.098,0.048,0.73,1,1,2,1,1,1,1,8,8,8.0,8.0,12,12,12.0,12.0,1.016,1.016,1.016,1.016,4,4,4.0,4.0,1.016,1.016,1.016,1.016,0,8,0.0,8.0,8,0,8.0,0.0,12.0,6.0,6.0,46.339,0.0,30.0,20.0,1.976,1.868,32.297,0.697,12.0,6.0,6.0,46.339,0.0,30.0,20.0,1.976,1.868,32.297,0.697,12.0,6.0,6.0,46.339,0.0,30.0,20.0,1.976,1.868,32.297,0.697
1949670,HoNi,FeB-b,Ho,Ni,3.538,2.533,2.837,1.745,1.246,1.4,1.014,1.016,0.949,1.571,1.266,-0.1,0.016,0.112,0.0,0.0,0.01,2.533,2.837,1.016,0.949,1.0,1.0,0.1,0.016,0.632,4,4,2,1,1,4,4,1,2,1.0,2.0,7,2,7.0,2.0,1.006,1.12,1.006,1.12,1,1,1.0,1.0,1.247,1.0,1.247,1.0,0,0,0.0,0.0,1,2,1.0,2.0,11.75,7.25,4.5,68.032,0.128,29.25,19.5,2.092,2.162,44.202,0.607,8.0,3.5,4.5,37.189,0.103,18.0,12.0,1.586,1.858,18.281,0.462,8.0,8.5,4.5,78.314,0.204,33.0,22.0,2.262,2.264,52.842,0.656
453568,ScCo,CsCl,Co,Sc,3.16,3.16,2.737,1.25,1.641,0.762,1.264,0.963,0.947,1.58,1.157,0.264,-0.295,0.0,0.268,0.0,0.157,3.16,2.737,1.264,0.947,1.0,1.0,0.295,0.264,0.729,1,1,2,1,1,1,1,8,8,8.0,8.0,8,8,8.0,8.0,1.155,1.155,1.155,1.155,6,6,6.0,6.0,1.155,1.155,1.155,1.155,0,8,0.0,8.0,8,0,8.0,0.0,14.0,7.0,7.0,63.109,0.0,36.0,24.0,2.355,2.234,54.732,0.867,14.0,7.0,7.0,63.109,0.0,36.0,24.0,2.355,2.234,54.732,0.867,14.0,7.0,7.0,63.109,0.0,36.0,24.0,2.355,2.234,54.732,0.867
534281,YGe,TlI,Y,Ge,3.453,3.029,2.764,1.783,1.225,1.456,0.968,1.236,0.919,1.249,1.514,-0.299,0.236,0.276,0.0,0.0,0.145,3.029,2.764,1.236,0.919,1.0,1.0,0.299,0.236,0.509,4,4,2,1,1,4,4,1,1,1.0,1.0,1,1,1.0,1.0,1.053,1.053,1.053,1.053,4,4,4.0,4.0,1.249,1.096,1.249,1.096,0,1,0.0,1.0,1,0,1.0,0.0,13.0,8.5,4.5,89.344,0.355,33.0,22.0,2.208,2.353,51.912,0.528,13.0,8.5,4.5,89.344,0.355,33.0,22.0,2.208,2.353,51.912,0.528,13.0,8.5,4.5,89.344,0.355,33.0,22.0,2.208,2.353,51.912,0.528
526691,SmGa,TlI,Sm,Ga,3.574,3.139,2.852,1.793,1.243,1.442,0.997,1.263,0.939,1.283,1.57,-0.285,0.263,0.282,0.0,-0.0,0.15,3.139,2.852,1.263,0.939,1.0,1.0,0.285,0.263,0.533,4,4,2,1,1,4,4,1,1,1.0,1.0,5,5,5.0,5.0,1.028,1.028,1.028,1.028,4,4,4.0,4.0,1.253,1.101,1.253,1.101,0,1,0.0,1.0,1,0,1.0,0.0,13.0,8.5,4.5,93.849,0.366,33.0,22.0,2.266,2.404,55.592,0.544,13.0,8.5,4.5,93.849,0.366,33.0,22.0,2.266,2.404,55.592,0.544,13.0,8.5,4.5,93.849,0.366,33.0,22.0,2.266,2.404,55.592,0.544
451425,GdNi,FeB-b,Gd,Ni,3.578,2.532,2.778,1.787,1.246,1.434,1.001,1.016,0.916,1.512,1.266,-0.154,0.016,0.155,0.0,0.0,0.024,2.532,2.778,1.016,0.916,1.0,1.0,0.154,0.016,0.561,4,4,2,1,1,4,4,1,2,1.0,2.0,2,2,2.0,2.0,1.013,1.097,1.013,1.097,1,1,1.0,1.0,1.288,1.0,1.288,1.0,0,0,0.0,0.0,1,2,1.0,2.0,12.75,8.25,4.5,79.231,0.079,32.25,21.5,2.166,2.231,45.746,0.571,12.0,7.5,4.5,71.053,0.078,30.0,20.0,2.056,2.126,37.642,0.538,12.0,8.5,4.5,81.956,0.083,33.0,22.0,2.203,2.266,48.447,0.582
1720546,FeSi,FeSi,Fe,Si,2.744,2.772,2.278,1.242,1.176,1.056,1.105,1.179,0.942,1.372,0.906,0.105,-0.23,0.0,0.346,0.0,0.064,2.744,2.278,1.105,0.942,1.0,1.0,0.23,0.105,0.622,4,4,2,1,1,4,4,1,1,1.0,1.0,4,4,4.0,4.0,1.022,1.022,1.022,1.022,3,3,3.0,3.0,1.205,1.217,1.205,1.217,0,1,0.0,1.0,1,0,1.0,0.0,13.0,6.5,6.5,41.216,0.107,33.0,22.0,1.772,1.862,23.436,0.57,13.0,6.5,6.5,41.216,0.107,33.0,22.0,1.772,1.862,23.436,0.57,13.0,6.5,6.5,41.216,0.107,33.0,22.0,1.772,1.862,23.436,0.57
453554,DyGe,TlI,Dy,Ge,3.571,2.467,2.992,1.752,1.225,1.43,1.019,1.007,1.005,1.758,1.234,0.004,0.007,0.015,0.0,0.0,0.0,2.467,2.992,1.007,1.005,1.0,1.0,0.007,0.004,0.687,4,4,2,1,1,4,4,4,2,4.0,2.0,7,2,7.0,2.0,1.032,1.213,1.032,1.213,2,4,2.0,4.0,1.194,1.0,1.194,1.0,0,0,0.0,0.0,4,2,4.0,2.0,13.0,8.5,4.5,89.132,0.104,33.0,22.0,2.368,2.44,60.468,0.663,13.0,8.5,4.5,89.132,0.104,33.0,22.0,2.368,2.44,60.468,0.663,13.0,8.5,4.5,89.132,0.104,33.0,22.0,2.368,2.44,60.468,0.663
1720552,FeSi,FeSi,Fe,Si,2.744,2.772,2.278,1.242,1.176,1.056,1.105,1.179,0.942,1.372,0.906,0.105,-0.23,0.0,0.346,0.0,0.064,2.744,2.278,1.105,0.942,1.0,1.0,0.23,0.105,0.622,4,4,2,1,1,4,4,1,1,1.0,1.0,4,4,4.0,4.0,1.023,1.023,1.023,1.023,3,3,3.0,3.0,1.205,1.217,1.205,1.217,0,1,0.0,1.0,1,0,1.0,0.0,13.0,6.5,6.5,41.209,0.107,33.0,22.0,1.773,1.862,23.442,0.57,13.0,6.5,6.5,41.209,0.107,33.0,22.0,1.773,1.862,23.442,0.57,13.0,6.5,6.5,41.209,0.107,33.0,22.0,1.773,1.862,23.442,0.57
451357,CePt,TlI,Ce,Pt,3.682,3.268,2.828,1.819,1.387,1.311,1.012,1.178,0.882,1.194,1.634,-0.344,0.178,0.351,0.0,0.0,0.15,3.268,2.828,1.178,0.882,1.0,1.0,0.344,0.178,0.525,4,4,2,1,1,4,4,1,1,1.0,1.0,1,1,1.0,1.0,1.063,1.063,1.063,1.063,4,4,4.0,4.0,1.302,1.156,1.302,1.156,0,1,0.0,1.0,1,0,1.0,0.0,12.75,8.25,4.5,93.791,0.363,32.25,21.5,2.155,2.283,47.463,0.468,12.0,7.5,4.5,84.601,0.363,30.0,20.0,1.998,2.128,35.282,0.408,12.0,8.5,4.5,96.854,0.366,33.0,22.0,2.207,2.334,51.524,0.488
1350524,TmNi,FeB-b,Ni,Tm,2.423,3.503,2.776,1.246,1.726,0.722,0.972,1.015,0.934,1.212,1.564,-0.028,-0.094,0.0,0.107,0.0,0.01,2.423,2.776,0.972,0.934,1.0,1.0,0.094,0.028,0.612,4,4,2,1,1,4,4,2,1,2.0,1.0,2,4,2.0,4.0,1.146,1.009,1.146,1.009,1,1,1.0,1.0,1.0,1.262,1.0,1.262,2,1,2.0,1.0,0,0,0.0,0.0,11.75,4.5,7.25,66.712,0.102,29.25,19.5,2.037,2.15,40.334,0.575,8.0,4.5,3.5,36.206,0.078,18.0,12.0,1.558,1.836,17.371,0.45,8.0,4.5,8.5,76.881,0.175,33.0,22.0,2.197,2.254,47.988,0.616
1042761,CeSi,FeB-b,Ce,Si,3.764,2.45,3.081,1.819,1.176,1.547,1.035,1.042,1.029,1.856,1.225,0.02,0.042,0.014,0.0,0.0,0.002,2.45,3.081,1.042,1.029,1.0,1.0,0.042,0.02,0.703,4,4,2,1,1,4,4,2,2,2.0,2.0,5,2,5.0,2.0,1.007,1.258,1.007,1.258,2,2,2.0,2.0,1.222,1.0,1.222,1.0,0,0,0.0,0.0,2,2,2.0,2.0,13.0,8.5,4.5,98.155,0.088,33.0,22.0,2.432,2.517,66.33,0.65,13.0,8.5,4.5,98.155,0.088,33.0,22.0,2.432,2.517,66.33,0.65,13.0,8.5,4.5,98.155,0.088,33.0,22.0,2.432,2.517,66.33,0.65
532747,ThGe,NaCl,Th,Ge,4.278,4.278,3.025,1.798,1.225,1.468,1.19,1.746,1.001,2.139,0.886,0.19,-0.277,0.0,0.586,0.0,0.113,4.278,3.025,1.19,1.001,1.0,1.0,0.277,0.19,0.793,4,4,2,1,1,4,4,6,6,6.0,6.0,6,6,6.0,6.0,1.414,1.414,1.414,1.414,12,12,12.0,12.0,1.414,1.414,1.414,1.414,0,6,0.0,6.0,6,0,6.0,0.0,10.5,7.5,3.0,92.269,0.0,18.75,12.5,2.287,2.471,64.871,0.654,6.0,3.0,3.0,36.908,0.0,12.0,8.0,1.746,2.139,22.314,0.605,6.0,9.0,3.0,110.723,0.0,21.0,14.0,2.468,2.582,79.057,0.67
555904,GaSb,ZnS,Ga,Sb,4.31,4.31,2.64,1.243,1.434,0.867,1.734,1.503,0.986,2.155,0.485,0.734,-0.662,-0.0,0.775,-0.0,0.976,4.31,2.64,1.734,0.986,1.0,1.0,0.734,0.662,0.749,4,4,2,1,1,4,4,4,4,4.0,4.0,4,4,4.0,4.0,1.633,1.633,1.633,1.633,12,12,12.0,12.0,1.633,1.633,1.633,1.633,0,4,0.0,4.0,4,0,4.0,0.0,4.0,2.0,2.0,9.439,0.0,6.0,4.0,0.88,1.524,2.853,0.302,4.0,2.0,2.0,9.439,0.0,6.0,4.0,0.88,1.524,2.853,0.302,4.0,2.0,2.0,9.439,0.0,6.0,4.0,0.88,1.524,2.853,0.302
1608433,TmGa,TlI,Tm,Ga,3.47,3.051,2.758,1.726,1.243,1.389,1.005,1.227,0.929,1.232,1.526,-0.286,0.227,0.29,0.0,0.0,0.133,3.051,2.758,1.227,0.929,1.0,1.0,0.286,0.227,0.503,4,4,2,1,1,4,4,1,1,1.0,1.0,1,1,1.0,1.0,1.061,1.061,1.061,1.061,4,4,4.0,4.0,1.258,1.106,1.258,1.106,0,1,0.0,1.0,1,0,1.0,0.0,13.0,8.5,4.5,90.284,0.354,33.0,22.0,2.218,2.379,52.356,0.53,13.0,8.5,4.5,90.284,0.354,33.0,22.0,2.218,2.379,52.356,0.53,13.0,8.5,4.5,90.284,0.354,33.0,22.0,2.218,2.379,52.356,0.53
455904,RhGa,CsCl,Ga,Rh,3.003,3.003,2.601,1.243,1.345,0.924,1.208,1.116,1.005,1.502,1.1,0.208,-0.183,0.0,0.268,0.0,0.077,3.003,2.601,1.208,1.005,1.0,1.0,0.208,0.183,0.729,1,1,2,1,1,1,1,8,8,8.0,8.0,8,8,8.0,8.0,1.155,1.155,1.155,1.155,6,6,6.0,6.0,1.155,1.155,1.155,1.155,0,8,0.0,8.0,8,0,8.0,0.0,14.0,7.0,7.0,54.189,0.0,36.0,24.0,2.21,2.124,45.24,0.834,14.0,7.0,7.0,54.189,0.0,36.0,24.0,2.21,2.124,45.24,0.834,14.0,7.0,7.0,54.189,0.0,36.0,24.0,2.21,2.124,45.24,0.834
1954999,InSb,ZnS,In,Sb,4.582,4.582,2.806,1.624,1.434,1.132,1.411,1.598,0.918,2.291,0.515,0.411,-0.641,0.0,0.775,0.0,0.579,4.582,2.806,1.411,0.918,1.0,1.0,0.641,0.411,0.749,4,4,2,1,1,4,4,4,4,4.0,4.0,4,4,4.0,4.0,1.633,1.633,1.633,1.633,12,12,12.0,12.0,1.633,1.633,1.633,1.633,0,4,0.0,4.0,4,0,4.0,0.0,4.0,2.0,2.0,11.337,0.0,6.0,4.0,0.935,1.62,3.427,0.302,4.0,2.0,2.0,11.337,0.0,6.0,4.0,0.935,1.62,3.427,0.302,4.0,2.0,2.0,11.337,0.0,6.0,4.0,0.935,1.62,3.427,0.302
1828477,PdSn,FeAs,Pd,Sn,3.13,3.274,2.557,1.376,1.511,0.911,1.137,1.083,0.886,1.565,0.992,0.137,-0.343,0.0,0.394,-0.0,0.137,3.13,2.557,1.137,0.886,1.0,1.0,0.343,0.137,0.533,4,4,2,1,1,4,4,1,1,1.0,1.0,2,2,2.0,2.0,1.047,1.047,1.047,1.047,1,1,1.0,1.0,1.224,1.28,1.224,1.28,0,1,0.0,1.0,1,0,1.0,0.0,12.875,5.375,7.5,75.608,0.246,29.25,19.5,1.964,2.064,36.524,0.478,8.0,5.0,3.0,32.654,0.246,18.0,12.0,1.493,1.503,15.188,0.444,8.0,5.5,9.0,89.926,0.248,33.0,22.0,2.122,2.252,43.636,0.49
558207,GdGa,TlI,Gd,Ga,3.583,3.147,2.858,1.787,1.243,1.438,1.003,1.266,0.943,1.284,1.574,-0.281,0.266,0.283,0.0,0.0,0.15,3.147,2.858,1.266,0.943,1.0,1.0,0.281,0.266,0.512,4,4,2,1,1,4,4,1,1,1.0,1.0,1,1,1.0,1.0,1.05,1.05,1.05,1.05,4,4,4.0,4.0,1.254,1.101,1.254,1.101,0,1,0.0,1.0,1,0,1.0,0.0,13.0,8.5,4.5,98.336,0.367,33.0,22.0,2.286,2.442,57.369,0.533,13.0,8.5,4.5,98.336,0.367,33.0,22.0,2.286,2.442,57.369,0.533,13.0,8.5,4.5,98.336,0.367,33.0,22.0,2.286,2.442,57.369,0.533
451545,DySi,TlI,Dy,Si,3.382,2.963,2.718,1.752,1.176,1.49,0.965,1.26,0.928,1.236,1.482,-0.294,0.26,0.269,0.0,0.0,0.154,2.963,2.718,1.26,0.928,1.0,1.0,0.294,0.26,0.508,4,4,2,1,1,4,4,1,1,1.0,1.0,1,1,1.0,1.0,1.054,1.054,1.054,1.054,4,4,4.0,4.0,1.244,1.09,1.244,1.09,0,1,0.0,1.0,1,0,1.0,0.0,13.0,8.5,4.5,84.862,0.349,33.0,22.0,2.165,2.295,49.186,0.525,13.0,8.5,4.5,84.862,0.349,33.0,22.0,2.165,2.295,49.186,0.525,13.0,8.5,4.5,84.862,0.349,33.0,22.0,2.165,2.295,49.186,0.525
