,precision,recall,f1-score,support
CsCl,0.964,0.978,0.971,136.0
CuAu,1.0,0.946,0.972,37.0
FeAs,0.975,1.0,0.987,78.0
FeB-b,0.99,0.97,0.979,197.0
FeSi,0.994,0.994,0.994,162.0
NaCl,0.996,1.0,0.998,227.0
NiAs,1.0,1.0,1.0,83.0
TlI,0.988,0.993,0.99,401.0
ZnS,1.0,0.989,0.994,89.0
accuracy,0.989,0.989,0.989,0.989
macro avg,0.989,0.985,0.987,1410.0
weighted avg,0.989,0.989,0.989,1410.0
