,precision,recall,f1-score,support
CsCl,0.942,0.36,0.521,136.0
CuAu,0.169,0.378,0.233,37.0
FeAs,0.203,0.192,0.197,78.0
FeB-b,0.373,0.284,0.323,197.0
FeSi,0.468,0.716,0.566,162.0
NaCl,0.493,0.643,0.558,227.0
NiAs,0.159,0.506,0.242,83.0
TlI,0.552,0.197,0.29,401.0
ZnS,0.34,0.382,0.36,89.0
accuracy,0.391,0.391,0.391,0.391
macro avg,0.411,0.407,0.366,1410.0
weighted avg,0.48,0.391,0.387,1410.0
