,Component_1 (24.982%),Component_2 (7.833%),Component_3 (3.916%),Component_4 (6.497%),Component_5 (2.502%),Component_6 (2.771%),Component_7 (1.387%),Component_8 (2.172%),Component_9 (1.739%),Component_10 (1.422%)
sum_atom_mass_add_therm_cond,0.02,0.01,0.021,-0.014,0.016,-0.024,-0.004,-0.01,0.021,0.006
sum_atom_mass_add_voro_coord,-0.007,0.019,0.034,-0.011,0.017,-0.013,0.006,-0.01,0.014,0.001
sum_atom_mass_divi_atom_rad,-0.005,0.015,0.037,-0.006,0.026,-0.018,0.005,-0.01,0.016,0.005
sum_atom_mass_divi_bp,-0.016,0.028,0.006,0.002,0.007,-0.015,0.013,-0.012,0.019,0.016
sum_atom_mass_divi_first_ion_en,-0.012,0.02,0.026,-0.018,0.011,-0.005,0.002,-0.004,0.013,-0.003
sum_atom_mass_divi_hfus,-0.018,0.02,0.006,-0.01,0.02,0.013,-0.034,-0.013,0.004,-0.002
sum_atom_mass_divi_mol_vol,0.017,0.018,0.037,-0.002,0.033,-0.011,-0.007,-0.011,0.003,0.0
sum_atom_mass_divi_mp,-0.024,0.011,0.014,0.012,0.025,0.007,-0.016,0.005,0.01,-0.003
sum_atom_mass_divi_polzbl,-0.0,0.008,0.033,0.013,0.045,-0.015,0.009,-0.019,0.005,0.007
sum_atom_mass_divi_therm_cond,-0.02,0.015,0.003,-0.027,-0.005,-0.012,-0.014,-0.019,-0.007,-0.016
sum_atom_mass_divi_voro_coord,-0.01,0.005,-0.015,-0.034,0.038,-0.032,-0.045,0.004,0.031,-0.021
sum_atom_mass_mult_X,-0.001,0.008,0.042,0.004,0.035,-0.018,-0.002,-0.018,0.004,-0.01
sum_atom_mass_mult_atom_rad,-0.011,0.018,0.03,-0.016,0.011,-0.012,0.006,-0.008,0.014,-0.002
sum_atom_mass_mult_therm_cond,0.026,0.013,0.02,0.002,0.016,-0.025,-0.012,0.008,0.024,0.025
sum_atom_mass_mult_voro_coord,0.006,0.02,0.038,-0.003,-0.004,0.004,0.018,-0.012,-0.002,0.023
sum_atom_mass_subs_X,-0.008,0.018,0.034,-0.011,0.018,-0.015,0.005,-0.009,0.015,0.001
sum_atom_mass_subs_atom_rad,-0.008,0.017,0.034,-0.011,0.018,-0.015,0.005,-0.009,0.015,0.001
sum_atom_mass_subs_bp,-0.022,0.012,-0.026,0.02,-0.005,-0.004,0.003,-0.008,-0.007,0.021
sum_atom_mass_subs_elec_aff,-0.008,0.018,0.034,-0.011,0.018,-0.015,0.005,-0.009,0.015,0.001
sum_atom_mass_subs_first_ion_en,-0.008,0.018,0.034,-0.011,0.018,-0.015,0.005,-0.008,0.015,0.001
sum_atom_mass_subs_hfus,-0.008,0.017,0.034,-0.011,0.018,-0.015,0.005,-0.009,0.015,0.001
sum_atom_mass_subs_mol_vol,-0.006,0.018,0.035,-0.01,0.02,-0.015,0.004,-0.009,0.014,0.001
sum_atom_mass_subs_mp,-0.033,-0.003,0.001,0.014,0.02,0.016,-0.006,0.003,-0.006,0.007
sum_atom_mass_subs_polzbl,-0.007,0.017,0.034,-0.008,0.023,-0.017,0.006,-0.009,0.015,0.002
sum_atom_mass_subs_therm_cond,-0.02,0.016,0.029,-0.006,0.013,-0.005,0.009,-0.006,0.007,-0.002
sum_atom_mass_subs_voro_coord,-0.01,0.016,0.033,-0.012,0.02,-0.017,0.005,-0.008,0.016,0.0
sum_atom_rad,-0.01,0.029,0.01,-0.016,-0.007,0.011,0.001,-0.015,0.014,-0.033
sum_atom_rad_add_X,0.008,0.002,0.023,0.014,0.029,0.01,0.004,-0.023,0.006,-0.055
sum_atom_rad_add_therm_cond,0.029,-0.01,-0.017,-0.002,-0.004,-0.007,-0.011,0.0,0.005,0.005
sum_atom_rad_add_voro_coord,0.024,0.033,0.017,0.005,-0.022,0.03,0.014,-0.017,-0.019,0.009
sum_atom_rad_divi_atom_mass,0.013,-0.021,-0.028,-0.001,-0.02,0.013,0.001,-0.003,-0.009,-0.02
sum_atom_rad_divi_bp,-0.018,0.028,-0.015,0.011,-0.009,-0.003,0.012,-0.012,0.019,0.009
sum_atom_rad_divi_first_ion_en,-0.014,0.026,0.002,-0.023,-0.01,0.02,-0.011,-0.002,0.005,-0.021
sum_atom_rad_divi_hfus,-0.018,0.019,-0.003,-0.002,0.013,0.022,-0.044,-0.009,0.0,-0.004
sum_atom_rad_divi_mol_vol,0.034,0.013,0.0,0.011,0.008,0.023,-0.011,-0.006,-0.01,-0.019
sum_atom_rad_divi_mp,-0.024,0.003,0.006,0.018,0.018,0.02,-0.021,0.017,0.007,-0.004
sum_atom_rad_divi_polzbl,0.007,-0.017,0.004,0.026,0.04,0.014,0.03,-0.013,-0.003,-0.011
sum_atom_rad_divi_therm_cond,-0.021,0.016,-0.002,-0.025,-0.012,-0.007,-0.018,-0.018,-0.01,-0.019
sum_atom_rad_divi_voro_coord,-0.01,0.0,-0.022,-0.034,0.034,-0.029,-0.047,0.006,0.031,-0.022
sum_atom_rad_mult_X,0.006,-0.0,0.024,0.019,0.031,0.005,-0.003,-0.021,-0.004,-0.048
sum_atom_rad_mult_therm_cond,0.031,-0.004,-0.015,0.0,-0.003,-0.007,-0.013,0.002,0.009,0.007
sum_atom_rad_mult_voro_coord,0.015,0.032,0.019,0.002,-0.03,0.03,0.017,-0.017,-0.02,0.011
sum_atom_rad_subs_X,-0.015,0.025,-0.008,-0.025,-0.028,0.003,-0.002,0.004,0.008,0.011
sum_atom_rad_subs_atom_mass,0.008,-0.017,-0.034,0.011,-0.018,0.015,-0.005,0.009,-0.015,-0.001
sum_atom_rad_subs_bp,-0.022,0.011,-0.028,0.02,-0.006,-0.003,0.003,-0.007,-0.008,0.021
sum_atom_rad_subs_elec_aff,-0.015,0.023,-0.005,0.004,-0.032,0.018,-0.005,0.024,0.023,-0.029
sum_atom_rad_subs_first_ion_en,-0.017,0.019,-0.008,-0.019,-0.015,0.014,-0.027,0.024,-0.01,0.015
sum_atom_rad_subs_hfus,-0.013,0.033,0.01,-0.008,-0.0,0.016,-0.01,-0.01,0.008,-0.025
sum_atom_rad_subs_mol_vol,0.029,-0.007,-0.002,0.014,0.012,0.01,-0.014,0.007,-0.019,0.001
sum_atom_rad_subs_mp,-0.033,-0.005,-0.002,0.015,0.019,0.017,-0.007,0.003,-0.008,0.007
sum_atom_rad_subs_polzbl,0.012,-0.013,-0.012,0.029,0.026,-0.007,-0.0,0.0,-0.004,0.007
sum_atom_rad_subs_therm_cond,-0.029,0.01,0.017,0.002,0.004,0.007,0.011,-0.0,-0.004,-0.005
sum_atom_rad_subs_voro_coord,-0.026,-0.03,-0.016,-0.007,0.022,-0.03,-0.015,0.016,0.022,-0.014
sum_avg_ion_rad,-0.012,0.027,0.012,-0.014,-0.004,0.014,0.002,-0.012,0.018,-0.015
sum_block,0.011,0.029,0.006,-0.034,-0.009,0.013,-0.004,-0.013,-0.002,-0.021
