n_component,accuracy
2,0.22056737588652484
3,0.16099290780141845
4,0.23404255319148937
5,0.33900709219858155
6,0.3283687943262411
7,0.3432624113475177
8,0.38156028368794326
9,0.3900709219858156
10,0.39078014184397164
